id	norm	coords	pairings
55	10	0,1,1,1,3,-2,-5,0,-1,1,1,-4,-1,1,-3,0,-2	-2,0,0,-2,0,0,0,-2,0,1,0,-2,-1,-2,0,-1,-2
56	10	2,0,0,0,2,-3,-4,1,-2,1,1,-2,-1,1,-2,-1,-2	0,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-2,-2,1,-2,-2
57	10	2,0,1,1,3,-3,-6,1,-3,1,1,-3,-1,2,-3,-1,-2	2,1,1,2,1,-1,0,1,1,-1,3,3,1,2,-2,-1,2
58	10	0,1,0,0,1,-1,-2,0,1,1,1,-2,-1,1,-2,-1,-1	0,1,0,0,0,0,1,0,1,0,2,-1,0,0,-2,-2,0
59	10	2,-1,1,0,1,-1,-1,0,-2,0,0,-1,0,0,-1,0,-2	0,1,0,-2,-2,0,1,-4,-3,2,-2,-2,-2,-1,2,0,-4
60	10	0,1,1,1,1,-3,-4,1,1,1,-2,-3,-1,3,-2,-2,-2	0,-1,0,0,0,0,0,-2,1,0,-2,-1,-2,-1,-1,-2,0
61	10	2,0,0,0,3,-2,-4,1,-1,1,1,-3,-1,2,-2,-1,-2	3,1,0,1,2,0,1,1,2,0,2,0,1,2,-1,0,2
62	10	1,0,1,1,2,-3,-5,2,-1,2,-1,-3,-2,3,-3,-1,-3	-2,-2,-2,-2,-1,2,-1,-2,-2,2,-3,-1,-4,-2,0,-3,-2
63	10	1,-2,-1,-3,-3,2,6,-1,1,-2,0,4,2,-2,3,-1,2	0,-2,0,-2,-3,1,-2,-1,-1,1,0,-1,0,0,2,-1,0
64	10	2,-1,1,1,3,-2,-5,0,-3,1,1,-3,-1,1,-3,0,-2	-1,-3,-2,-2,-2,2,-2,-4,-2,3,-2,-2,-2,-1,1,-2,-1
65	10	1,0,1,1,3,-4,-6,1,-2,1,0,-4,-1,2,-3,-1,-3	-3,-2,-1,-2,-1,-1,-1,-3,-1,1,-1,-1,-3,-3,1,-2,-3
66	10	2,-1,1,0,2,0,-2,-1,-2,-1,2,-2,-1,-1,-2,0,0	1,-1,1,0,0,0,0,-1,1,-1,1,-1,-1,1,-1,-1,2
67	10	1,0,0,-1,1,1,0,-1,0,0,1,0,0,-1,-2,0,-1	0,2,-1,-2,-1,2,0,-1,-1,1,-1,-1,0,-1,-2,-1,-2
68	10	0,1,1,1,2,-3,-5,1,-1,1,0,-3,-1,3,-2,-2,-2	-2,0,1,0,0,0,0,-1,-1,0,2,1,-2,0,0,-4,-1
69	10	2,0,2,3,4,-4,-9,2,-4,2,1,-6,-2,2,-4,0,-3	0,-2,-1,0,-1,1,-2,-1,0,2,0,-1,-1,-2,1,-2,0
70	10	2,-1,1,0,2,-2,-3,0,-2,1,1,-2,-1,1,-3,0,-2	1,0,1,0,0,-2,2,-2,0,0,1,0,0,2,-2,1,0
71	10	0,0,1,0,0,0,-1,1,-1,-1,0,-1,0,0,1,0,1	0,-1,2,-1,0,1,-2,2,1,-1,1,0,0,0,2,0,2
72	10	0,0,0,1,-2,0,1,1,0,0,-1,1,0,0,2,0,1	2,0,0,2,-1,0,-1,1,0,0,0,1,0,0,2,0,1
73	10	2,0,0,0,2,-2,-3,0,-1,1,1,-2,-1,0,-2,0,-1	3,1,0,0,1,-2,0,-1,2,1,0,0,0,-1,0,1,1
74	10	1,1,2,2,3,-4,-7,1,-3,1,-1,-4,-1,3,-3,-1,-2	2,2,2,2,2,-2,2,-1,0,-1,0,2,0,2,-2,0,2
75	10	1,0,0,0,2,-2,-3,0,-1,1,1,-2,-1,2,-2,0,-2	1,1,0,0,0,-2,2,-2,0,-1,2,0,0,3,-1,2,-1
76	10	1,1,2,2,4,-4,-8,2,-2,1,-1,-5,-1,3,-3,-1,-4	0,1,2,0,2,-1,-1,0,2,-1,0,2,-1,-2,1,0,-2
77	10	2,-1,1,0,2,0,-2,-1,-2,0,2,-1,-1,-2,-3,1,-1	0,0,1,-1,0,-1,-1,-1,1,0,0,1,-1,-2,-1,0,-1
78	10	1,1,2,2,3,-3,-7,1,-2,1,-1,-4,-1,3,-3,-1,-2	3,1,2,2,2,0,0,0,2,-1,0,2,1,2,-2,0,3
79	10	1,1,1,1,2,0,-3,0,-1,1,1,-2,-2,0,-2,1,-1	2,3,1,-1,1,1,0,-1,0,1,-1,0,-2,-1,1,0,-1
80	10	0,0,0,1,1,0,-1,-1,1,1,1,-1,-1,1,-1,0,-1	1,-1,1,2,1,-1,1,-2,2,0,2,0,0,2,0,0,0
81	10	1,0,1,1,1,-2,-3,1,-1,1,0,-2,-1,1,-3,-1,-2	0,1,0,2,0,-1,2,1,0,-1,1,1,0,0,-4,-2,0
82	10	1,0,0,1,1,0,-1,0,0,1,1,-1,-1,0,-2,0,-2	1,2,-1,2,0,0,2,0,0,0,1,0,0,0,-2,-1,-2
83	10	0,1,1,1,1,-1,-3,0,0,2,0,-1,-2,2,-2,0,-1	1,1,2,0,1,0,0,-2,0,1,0,2,-2,1,0,-1,0
84	10	1,-1,0,0,0,1,1,-1,0,0,1,1,-2,-1,-1,1,0	0,-1,0,0,0,-1,0,-2,0,-1,-1,1,-4,0,0,0,-1
85	10	0,1,2,2,2,-5,-7,3,-1,2,-2,-5,-2,5,-3,-1,-4	-1,0,1,0,0,-2,2,-1,0,-2,0,0,-2,1,-1,1,-2
86	10	2,0,0,0,2,-3,-4,1,-1,0,0,-3,-1,2,-2,-2,-2	1,0,-2,0,-1,0,0,-1,0,-1,0,-1,-2,0,-1,-2,0
87	10	1,1,1,2,3,-4,-7,2,-2,2,1,-5,-2,3,-3,0,-3	2,2,1,2,1,-3,2,1,2,-2,4,1,1,2,-1,2,0
88	10	2,0,2,1,2,-1,-4,1,-2,1,1,-3,-2,1,-3,0,-2	2,2,2,0,0,1,1,0,0,0,1,0,-1,1,-1,-1,0
89	10	0,1,0,1,3,-1,-4,0,-1,1,1,-2,-1,1,-2,1,-2	0,2,0,0,2,-1,0,0,1,-1,1,2,0,0,0,2,-2
90	10	1,-1,0,-1,-1,2,3,-1,1,-1,0,2,0,-1,0,0,-1	0,1,0,-1,-2,1,0,-2,-1,-1,-1,0,-2,0,0,0,-4
91	10	1,-1,0,1,1,0,-1,0,-1,1,1,0,-2,0,-2,1,-1	0,-1,-1,2,1,-1,1,0,0,-1,0,2,-2,1,-2,0,0
92	10	1,0,-1,-1,0,1,1,-2,1,0,1,1,0,-1,-1,0,0	2,1,-2,-1,-2,1,-1,-3,0,1,-1,-1,0,0,-1,0,-1
93	10	2,-1,1,-1,2,0,-1,0,-1,0,1,-1,-1,0,-2,0,-2	0,1,2,-2,1,0,1,-1,0,0,0,0,-2,0,0,0,-2
94	10	1,1,1,1,3,-2,-5,0,-2,1,0,-3,-1,2,-3,0,-2	2,3,0,0,1,0,2,-2,-1,0,-1,0,0,2,-2,1,0
95	10	0,0,0,0,0,1,1,-1,1,0,1,0,-1,-1,-1,1,-1	-1,1,0,-1,-1,-1,1,-2,0,-1,0,-1,-2,-1,0,1,-4
96	10	1,0,-1,-1,0,0,1,-1,1,0,0,1,0,0,-1,-1,-1	1,2,-2,0,-1,0,1,-2,-1,0,-1,0,-1,0,-2,-1,-2
97	10	0,1,1,3,2,-2,-6,1,-1,2,0,-4,-2,2,-3,0,-2	-1,-2,-3,0,-2,3,-2,-2,-1,2,-2,-2,-2,-2,0,-3,-1
98	10	1,1,0,0,2,-2,-3,0,-1,1,1,-2,-1,0,-2,0,-1	1,3,0,-1,1,-2,1,-1,0,1,0,0,-1,-2,0,0,-1
99	10	1,0,1,1,3,-4,-6,2,-2,1,-1,-4,-1,4,-2,-1,-4	-2,-1,-1,-2,-1,0,0,-3,-2,0,-1,-1,-3,0,2,0,-4
