root	run_index	gauge_sign	restart	raw_max	slope_rank	A_max	B_max	A_strength	B_strength	surface_strength	delta_max	delta_vs_x6	jvar_max	jvar_rel	A_degree	B_degree	delta_degree	cusp_like	nonisotrivial	nullity_1e-6	nullity_1e-8	nullity_1e-10	nullity_1e-12	jacobian_smax	jacobian_smin
root-000027	27	1	10	2.1646889142301617e-11	3	0.0029272779126447617	8.643378918425645e-05	2.9999999973941485	1.9999999985052705	2.9999999973941485	4.216556481211509e-17	2.257619812686236e-08	1.0642259592156958e-16	8.394765454730839e-12	8	12	24	False	False	12	10	10	0	6.480259713816127	2.1003230099404393e-11
root-000026	26	1	9	4.631520861275717e-13	3	6.742986967110949e-06	9.404878129744829e-09	2.9999998655522297	1.9999998373782601	2.9999998655522297	7.282594666336211e-23	3.2933638562179258e-06	2.4198656881065772e-21	7.069522548133126e-10	8	12	24	False	False	11	10	6	0	3.5172842273723663	1.4817888129345002e-10
root-000024	24	1	7	2.746956134780376e-11	3	0.009308633954730897	0.00044534205510959456	2.9999408713429836	1.9999334662102217	2.9999408713429836	1.1355738737035305e-15	2.2901243784321793e-08	2.4399800485196826e-15	1.2111606863032047e-11	8	12	24	False	False	12	10	10	0	5.868314235295459	2.730473998658594e-11
root-000004	4	-1	3	3.9188877837270653e-13	3	0.005095359390535726	0.00015715188604699685	3.000000000004014	2.000000000003429	3.000000000004014	1.8615666598281386e-18	3.015083808702896e-10	2.2802126940085765e-18	3.761885672239431e-14	8	12	24	False	False	17	11	11	0	5.7161847468855065	1.6021476211763926e-11
root-000015	15	-1	14	2.4980018054066022e-14	3	0.015173156295942881	0.0011150871801651361	2.9999999999999796	1.9999999999999623	2.9999999999999796	2.5478751053409354e-18	8.19634972931197e-12	1.3010426069826053e-18	1.1030846942839523e-15	8	12	24	False	False	12	12	12	0	5.49317520807253	2.4862745323450364e-11
root-000031	31	1	14	5.073805958710764e-13	3	0.0023969581428943086	4.524351296922813e-05	2.9999999972639553	1.999999996933682	2.9999999972639553	1.869031137675817e-19	3.6522785215060076e-10	1.0394020705096325e-19	3.967311123985677e-14	8	11	20	False	False	14	12	10	0	6.911119516640061	1.064709757078594e-11
root-000021	21	1	4	9.992562333138721e-13	3	0.0674486973577674	0.011107825457582536	2.925786810534856	1.9256069509181766	2.925786810534856	1.2238474123016374e-15	3.677938560289855e-11	9.194034422677078e-16	1.4760999289594677e-14	8	12	24	False	False	16	12	10	0	4.6583818087010735	2.121339485513529e-10
root-000008	8	-1	7	2.4406171528212894e-13	3	0.032044467201198606	0.0034832792590004957	3.000000017646142	2.000000019019304	3.000000017646142	2.443791696782327e-16	8.056521990641933e-11	2.5760643618255585e-16	3.325486190127896e-14	8	12	24	False	False	17	13	11	0	4.661289539886125	3.851767703437692e-11
root-000025	25	1	8	2.0886070650760757e-15	3	0.012382150239093483	0.0005316680848188823	2.9999999999999454	2.000000000000255	2.9999999999999454	2.289530056428374e-18	3.239851901114746e-11	3.1146989657316725e-18	1.951645784842369e-14	7	10	20	False	False	13	13	11	0	6.023440533598666	1.4187116373393058e-10
root-000012	12	-1	11	1.0590747029359804e-13	3	0.00851440482493333	0.0003952668230416295	2.99999995252214	2.0000000591531797	2.99999995252214	1.2141696175104487e-18	3.108555688745276e-11	1.5585406229479126e-18	7.140112793758831e-15	8	12	24	False	False	19	13	10	0	6.650909420172444	1.7051004007531576e-11
