
RELATION -2
degree values: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79]
number eigenvalues: 1310
spectrum:
  -4.8059343021 x 1
  -4.7935848471 x 1
  -4.7714197898 x 1
  -4.7545332640 x 1
  -4.7237025004 x 1
  -4.7138010958 x 1
  -4.6932525217 x 1
  -4.6747554341 x 1
  -4.6673374268 x 1
  -4.6365367233 x 1
  -4.6167888591 x 1
  -4.6122874034 x 1
  -4.5856613344 x 1
  -4.5687943889 x 1
  -4.5658000069 x 1
  -4.5397506232 x 1
  -4.5305859049 x 1
  -4.5180476022 x 1
  -4.4920091971 x 1
  -4.4826265445 x 1
  -4.4583478557 x 1
  -4.4494771223 x 1
  -4.4333717098 x 1
  -4.4156241094 x 1
  -4.4125825496 x 1
  -4.3878803213 x 1
  -4.3754860653 x 1
  -4.3653052225 x 1
  -4.3284678383 x 1
  -4.3207034071 x 1
  -4.2998920588 x 1
  -4.2884236511 x 1
  -4.2618601142 x 1
  -4.2492064098 x 1
  -4.2264941672 x 1
  -4.2045506988 x 1
  -4.1809109023 x 1
  -4.1506407160 x 1
  -4.1319566210 x 1
  -4.1244930355 x 1
  -4.1060786866 x 1
  -4.0890565575 x 1
  -4.0686557231 x 1
  -4.0554244216 x 1
  -4.0379448688 x 1
  -4.0264077653 x 1
  -4.0200817343 x 1
  -3.9981776038 x 1
  -3.9742304918 x 1
  -3.9589563921 x 1
  -3.9398556619 x 1
  -3.9232368212 x 1
  -3.9103857299 x 1
  -3.9017091878 x 1
  -3.8888595618 x 1
  -3.8759262088 x 1
  -3.8707288160 x 1
  -3.8435186366 x 1
  -3.8168560430 x 1
  -3.8143991368 x 1
  -3.7910261490 x 1
  -3.7832623860 x 1
  -3.7677358817 x 1
  -3.7514362317 x 1
  -3.7403306975 x 1
  -3.7169887401 x 1
  -3.7039318025 x 1
  -3.6981933926 x 1
  -3.6797359716 x 1
  -3.6628964600 x 1
  -3.6338190817 x 1
  -3.6127184618 x 1
  -3.6084108504 x 1
  -3.5778049396 x 1
  -3.5668812076 x 1
  -3.5469008236 x 1
  -3.5258365404 x 1
  -3.5204303940 x 1
  -3.4968042695 x 1
  -3.4624006720 x 1
  -3.4388604241 x 1
  -3.4360857471 x 1
  -3.4081184703 x 1
  -3.4020210142 x 1
  -3.3940859220 x 1
  -3.3869101347 x 1
  -3.3597569366 x 1
  -3.3465729243 x 1
  -3.3230395897 x 1
  -3.3161134208 x 1
  -3.2980203022 x 1
  -3.2819612317 x 1
  -3.2654232737 x 1
  -3.2588634999 x 1
  -3.2424370716 x 1
  -3.1987891886 x 1
  -3.1822065200 x 1
  -3.1703493164 x 1
  -3.1551127637 x 1
  -3.1470617047 x 1
  -3.1209044994 x 1
  -3.1132240288 x 1
  -3.1044748551 x 1
  -3.0872381319 x 1
  -3.0580326719 x 1
  -3.0559826676 x 1
  -3.0319160884 x 1
  -3.0239629845 x 1
  -3.0080713862 x 1
  -2.9921842152 x 1
  -2.9701380874 x 1
  -2.9528308171 x 1
  -2.9432876304 x 1
  -2.9299305201 x 1
  -2.9193370975 x 1
  -2.8917353184 x 1
  -2.8845195148 x 1
  -2.8370753183 x 1
  -2.8186457639 x 1
  -2.8104951627 x 1
  -2.7970395265 x 1
  -2.7732809013 x 1
  -2.7679116741 x 1
  -2.7612166651 x 1
  -2.7426386356 x 1
  -2.7293029707 x 1
  -2.7192919059 x 1
  -2.6977455995 x 1
  -2.6742056478 x 1
  -2.6580072920 x 1
  -2.6430295784 x 1
  -2.6382117365 x 1
  -2.6212401439 x 1
  -2.6157140430 x 1
  -2.5864204583 x 1
  -2.5795621429 x 1
  -2.5429128906 x 1
  -2.5346930513 x 1
  -2.5183060236 x 1
  -2.4960774935 x 1
  -2.4808206326 x 1
  -2.4683767793 x 1
  -2.4569578286 x 1
  -2.4397815869 x 1
  -2.4128092049 x 1
  -2.3900913992 x 1
  -2.3852978032 x 1
  -2.3809035670 x 1
  -2.3593847971 x 1
  -2.3537311682 x 1
  -2.3290006396 x 1
  -2.3232409248 x 1
  -2.2859059316 x 1
  -2.2696371594 x 1
  -2.2593473922 x 1
  -2.2398243874 x 1
  -2.2196770310 x 1
  -2.2178310470 x 1
  -2.1973850592 x 1
  -2.1751514927 x 1
  -2.1548385747 x 1
  -2.1395917203 x 1
  -2.1327005820 x 1
  -2.1233984376 x 1
  -2.0956565019 x 1
  -2.0784960454 x 1
  -2.0633374953 x 1
  -2.0468481316 x 1
  -2.0211528867 x 1
  -2.0153244025 x 1
  -1.9975777890 x 1
  -1.9826042045 x 1
  -1.9744160133 x 1
  -1.9660288950 x 1
  -1.9380162522 x 1
  -1.9298743717 x 1
  -1.9230562286 x 1
  -1.9095303534 x 1
  -1.8921940950 x 1
  -1.8852886802 x 1
  -1.8761026518 x 1
  -1.8452934006 x 1
  -1.8415219416 x 1
  -1.8053695249 x 1
  -1.7856170375 x 1
  -1.7670915566 x 1
  -1.7421042155 x 1
  -1.7344639918 x 1
  -1.7220451487 x 1
  -1.7104822476 x 1
  -1.7038593807 x 1
  -1.6727612042 x 1
  -1.6645628000 x 1
  -1.6574341426 x 1
  -1.6308637109 x 1
  -1.6280778758 x 1
  -1.5958753105 x 1
  -1.5802092198 x 1
  -1.5620606290 x 1
  -1.5571630271 x 1
  -1.5393779430 x 1
  -1.5212808107 x 1
  -1.5096293183 x 1
  -1.5009327588 x 1
  -1.4956714555 x 1
  -1.4732626149 x 1
  -1.4532193348 x 1
  -1.4491703954 x 1
  -1.4412241605 x 1
  -1.4239724765 x 1
  -1.4015537409 x 1
  -1.3820911031 x 1
  -1.3691556239 x 1
  -1.3616214779 x 1
  -1.3543202994 x 1
  -1.3297793133 x 1
  -1.3216232521 x 1
  -1.3039335898 x 1
  -1.2988538361 x 1
  -1.2890369627 x 1
  -1.2565181857 x 1
  -1.2467072528 x 1
  -1.2339721639 x 1
  -1.2194407770 x 1
  -1.2121693810 x 1
  -1.1919409066 x 1
  -1.1646885954 x 1
  -1.1504424262 x 1
  -1.1418935226 x 1
  -1.1331740056 x 1
  -1.1060697801 x 1
  -1.1026385300 x 1
  -1.0816579733 x 1
  -1.0739397362 x 1
  -1.0645006705 x 1
  -1.0629390872 x 1
  -1.0526401693 x 1
  -1.0394032423 x 1
  -1.0219311299 x 1
  -1.0131170227 x 1
  -1.0041965762 x 1
  -0.9896047402 x 1
  -0.9807796312 x 1
  -0.9597010711 x 1
  -0.9519785891 x 1
  -0.9425165053 x 1
  -0.9091805243 x 1
  -0.9062862054 x 1
  -0.8944988831 x 1
  -0.8872665781 x 1
  -0.8771922363 x 1
  -0.8641117743 x 1
  -0.8322048832 x 1
  -0.8255377180 x 1
  -0.8133104680 x 1
  -0.7996100497 x 1
  -0.7912107422 x 1
  -0.7823874432 x 1
  -0.7693641062 x 1
  -0.7636399173 x 1
  -0.7496008660 x 1
  -0.7423616721 x 1
  -0.7189141782 x 1
  -0.7132026381 x 1
  -0.7068935485 x 1
  -0.6882844485 x 1
  -0.6657766406 x 1
  -0.6540697804 x 1
  -0.6413459369 x 1
  -0.6310570199 x 1
  -0.6276016190 x 1
  -0.6085015557 x 1
  -0.5963206761 x 1
  -0.5862042596 x 1
  -0.5801784061 x 1
  -0.5554887997 x 1
  -0.5459876610 x 1
  -0.5403721531 x 1
  -0.5295165758 x 1
  -0.5154036844 x 1
  -0.5079602557 x 1
  -0.5019630346 x 1
  -0.4893048794 x 1
  -0.4743031412 x 1
  -0.4642356908 x 1
  -0.4638399936 x 1
  -0.4535794590 x 1
  -0.4347371036 x 1
  -0.4077182871 x 1
  -0.3939977082 x 1
  -0.3856929584 x 1
  -0.3816303137 x 1
  -0.3727533527 x 1
  -0.3675641461 x 1
  -0.3503773344 x 1
  -0.3359308741 x 1
  -0.3285320434 x 1
  -0.3152122007 x 1
  -0.3052585015 x 1
  -0.2989517986 x 1
  -0.2836587283 x 1
  -0.2804583306 x 1
  -0.2682211363 x 1
  -0.2637409421 x 1
  -0.2541650263 x 1
  -0.2434082613 x 1
  -0.2377238628 x 1
  -0.2185663594 x 1
  -0.2075925630 x 1
  -0.1909493562 x 1
  -0.1859301458 x 1
  -0.1805630841 x 1
  -0.1647615447 x 1
  -0.1582151749 x 1
  -0.1381114440 x 1
  -0.1321914558 x 1
  -0.1269241947 x 1
  -0.1213853307 x 1
  -0.1056258912 x 1
  -0.1010303469 x 1
  -0.0846934091 x 1
  -0.0757635101 x 1
  -0.0740789929 x 1
  -0.0599216630 x 1
  -0.0582703936 x 1
  -0.0440609910 x 1
  -0.0271798797 x 1
  -0.0233983170 x 1
  -0.0111099165 x 1
  -0.0037557762 x 1
  -0.0004987611 x 1
  0.0000000000 x 2
  0.0151172995 x 1
  0.0245335362 x 1
  0.0363031070 x 1
  0.0498089217 x 1
  0.0534184771 x 1
  0.0656222320 x 1
  0.0719434128 x 1
  0.0859383776 x 1
  0.0948850140 x 1
  0.1026247347 x 1
  0.1093028747 x 1
  0.1147629775 x 1
  0.1281476740 x 1
  0.1410117145 x 1
  0.1469404562 x 1
  0.1497112181 x 1
  0.1727952542 x 1
  0.1870988515 x 1
  0.1960200820 x 1
  0.2071715593 x 1
  0.2169574834 x 1
  0.2241302437 x 1
  0.2327958581 x 1
  0.2442142641 x 1
  0.2488289729 x 1
  0.2615789238 x 1
  0.2752555594 x 1
  0.2789179623 x 1
  0.2904195393 x 1
  0.2963166283 x 1
  0.3061953497 x 1
  0.3146959873 x 1
  0.3291957564 x 1
  0.3399072468 x 1
  0.3432837577 x 1
  0.3559139893 x 1
  0.3799014885 x 1
  0.3809419164 x 1
  0.3868311249 x 1
  0.3892748898 x 1
  0.4043122319 x 1
  0.4147242721 x 1
  0.4203579561 x 1
  0.4309667328 x 1
  0.4372586507 x 1
  0.4452148083 x 1
  0.4507559586 x 1
  0.4632045196 x 1
  0.4738505516 x 1
  0.4791936434 x 1
  0.4958561183 x 1
  0.5120612822 x 1
  0.5267475314 x 1
  0.5293535293 x 1
  0.5366477188 x 1
  0.5447816918 x 1
  0.5503413366 x 1
  0.5711918376 x 1
  0.5756016813 x 1
  0.5818688986 x 1
  0.5885012929 x 1
  0.5933454974 x 1
  0.6154837571 x 1
  0.6264520405 x 1
  0.6316501766 x 1
  0.6412896424 x 1
  0.6571875406 x 1
  0.6628163937 x 1
  0.6779183180 x 1
  0.6838518132 x 1
  0.7002585469 x 1
  0.7025435073 x 1
  0.7121670620 x 1
  0.7190158743 x 1
  0.7249368339 x 1
  0.7428598446 x 1
  0.7648406222 x 1
  0.7657538638 x 1
  0.7767816521 x 1
  0.7835503596 x 1
  0.7885625103 x 1
  0.7967650023 x 1
  0.8131163902 x 1
  0.8152906344 x 1
  0.8173030902 x 1
  0.8307653442 x 1
  0.8365389003 x 1
  0.8511468581 x 1
  0.8614778583 x 1
  0.8758590148 x 1
  0.8856426298 x 1
  0.8887140192 x 1
  0.9069594642 x 1
  0.9153927747 x 1
  0.9186904962 x 1
  0.9252219116 x 1
  0.9472836163 x 1
  0.9506763712 x 1
  0.9537654372 x 1
  0.9681712551 x 1
  0.9736125240 x 1
  0.9842908368 x 1
  0.9943361309 x 1
  1.0039187376 x 1
  1.0106223666 x 1
  1.0293517215 x 1
  1.0327085119 x 1
  1.0460344378 x 1
  1.0572808027 x 1
  1.0632660898 x 1
  1.0822049177 x 1
  1.0964473537 x 1
  1.1011279725 x 1
  1.1125485682 x 1
  1.1232878301 x 1
  1.1247971968 x 1
  1.1330906149 x 1
  1.1527709320 x 1
  1.1566907436 x 1
  1.1621067505 x 1
  1.1747288072 x 1
  1.1792700634 x 1
  1.1886398342 x 1
  1.1954559550 x 1
  1.2024476129 x 1
  1.2049795205 x 1
  1.2185532595 x 1
  1.2297156212 x 1
  1.2379265428 x 1
  1.2524180578 x 1
  1.2618757979 x 1
  1.2660481947 x 1
  1.2784184317 x 1
  1.2842861462 x 1
  1.2977024519 x 1
  1.3076747501 x 1
  1.3175390302 x 1
  1.3209459270 x 1
  1.3291295920 x 1
  1.3390660497 x 1
  1.3480329279 x 1
  1.3586298195 x 1
  1.3723760694 x 1
  1.3787720309 x 1
  1.3881540453 x 1
  1.3965995541 x 1
  1.4144214240 x 1
  1.4198824224 x 1
  1.4321697907 x 1
  1.4393854822 x 1
  1.4462249868 x 1
  1.4589899416 x 1
  1.4693593134 x 1
  1.4748218692 x 1
  1.4974122652 x 1
  1.5061762811 x 1
  1.5119073503 x 1
  1.5252790905 x 1
  1.5315306304 x 1
  1.5349055166 x 1
  1.5405459490 x 1
  1.5486005076 x 1
  1.5641836369 x 1
  1.5767573415 x 1
  1.5770431504 x 1
  1.5894085012 x 1
  1.5976116940 x 1
  1.6055108642 x 1
  1.6167581753 x 1
  1.6272781328 x 1
  1.6350132900 x 1
  1.6519557811 x 1
  1.6626640364 x 1
  1.6640458079 x 1
  1.6740306081 x 1
  1.6879763968 x 1
  1.6925931893 x 1
  1.7053370166 x 1
  1.7117614944 x 1
  1.7261234509 x 1
  1.7399329459 x 1
  1.7481389075 x 1
  1.7617191137 x 1
  1.7678869960 x 1
  1.7711610723 x 1
  1.7820182059 x 1
  1.7870367293 x 1
  1.7890412875 x 1
  1.8119674600 x 1
  1.8213989508 x 1
  1.8327270415 x 1
  1.8404149525 x 1
  1.8635149139 x 1
  1.8638701163 x 1
  1.8678469193 x 1
  1.8803985493 x 1
  1.8858295518 x 1
  1.8951621501 x 1
  1.9098406761 x 1
  1.9143409204 x 1
  1.9220198105 x 1
  1.9382690337 x 1
  1.9385387510 x 1
  1.9434446926 x 1
  1.9476683632 x 1
  1.9671152536 x 1
  1.9795127292 x 1
  1.9887712676 x 1
  1.9969143302 x 1
  2.0047680733 x 1
  2.0108160013 x 1
  2.0264221442 x 1
  2.0271864484 x 1
  2.0398948336 x 1
  2.0554314218 x 1
  2.0622707517 x 1
  2.0673613673 x 1
  2.0751364517 x 1
  2.0824134238 x 1
  2.0857993393 x 1
  2.1132815927 x 1
  2.1196515576 x 1
  2.1277508029 x 1
  2.1352932768 x 1
  2.1573583495 x 1
  2.1670916978 x 1
  2.1694143814 x 1
  2.1815552908 x 1
  2.1879569456 x 1
  2.2038517119 x 1
  2.2069350407 x 1
  2.2141069201 x 1
  2.2221015620 x 1
  2.2367278483 x 1
  2.2398695043 x 1
  2.2423281223 x 1
  2.2568826563 x 1
  2.2698230939 x 1
  2.2736155445 x 1
  2.2814150533 x 1
  2.2869744155 x 1
  2.2953755181 x 1
  2.3114292321 x 1
  2.3195764281 x 1
  2.3315967985 x 1
  2.3413443414 x 1
  2.3537547035 x 1
  2.3596076080 x 1
  2.3709895556 x 1
  2.3787370075 x 1
  2.3882944972 x 1
  2.3968939216 x 1
  2.4005371962 x 1
  2.4072109862 x 1
  2.4254447573 x 1
  2.4326910363 x 1
  2.4387046686 x 1
  2.4495099018 x 1
  2.4598249534 x 1
  2.4666467873 x 1
  2.4710310625 x 1
  2.4833552266 x 1
  2.4867005353 x 1
  2.4998117194 x 1
  2.5068432032 x 1
  2.5201384114 x 1
  2.5230949269 x 1
  2.5349506249 x 1
  2.5421683248 x 1
  2.5647174526 x 1
  2.5712841445 x 1
  2.5780567918 x 1
  2.5897572867 x 1
  2.5999930517 x 1
  2.6141335828 x 1
  2.6170322487 x 1
  2.6301790671 x 1
  2.6375432543 x 1
  2.6463188514 x 1
  2.6602874946 x 1
  2.6690945508 x 1
  2.6717974408 x 1
  2.6803390455 x 1
  2.6936097042 x 1
  2.6995404161 x 1
  2.7205346492 x 1
  2.7277886046 x 1
  2.7287158478 x 1
  2.7455966329 x 1
  2.7552353833 x 1
  2.7655362784 x 1
  2.7775203542 x 1
  2.7780837587 x 1
  2.7869798908 x 1
  2.8040526846 x 1
  2.8114384835 x 1
  2.8157829737 x 1
  2.8258621215 x 1
  2.8328433945 x 1
  2.8376093431 x 1
  2.8497788249 x 1
  2.8641275820 x 1
  2.8674030093 x 1
  2.8737103187 x 1
  2.8807809242 x 1
  2.8852213881 x 1
  2.9165672972 x 1
  2.9198406114 x 1
  2.9329234508 x 1
  2.9362008307 x 1
  2.9387839978 x 1
  2.9552529590 x 1
  2.9636165109 x 1
  2.9771635550 x 1
  2.9821915515 x 1
  2.9848521077 x 1
  2.9973354875 x 1
  3.0009859689 x 1
  3.0190991282 x 1
  3.0358427077 x 1
  3.0374482984 x 1
  3.0434891018 x 1
  3.0625504283 x 1
  3.0674473805 x 1
  3.0742234788 x 1
  3.0773622998 x 1
  3.0958006183 x 1
  3.0988164885 x 1
  3.1035217956 x 1
  3.1162127753 x 1
  3.1297917581 x 1
  3.1377666475 x 1
  3.1500509994 x 1
  3.1631620539 x 1
  3.1713222310 x 1
  3.1879205774 x 1
  3.1985006800 x 1
  3.2047569965 x 1
  3.2110550662 x 1
  3.2167396983 x 1
  3.2405639838 x 1
  3.2442156612 x 1
  3.2505120667 x 1
  3.2550912483 x 1
  3.2650431568 x 1
  3.2742055762 x 1
  3.3020691753 x 1
  3.3044452569 x 1
  3.3111586251 x 1
  3.3200833671 x 1
  3.3299506327 x 1
  3.3430006035 x 1
  3.3458339679 x 1
  3.3491698729 x 1
  3.3606023272 x 1
  3.3726985158 x 1
  3.3815851334 x 1
  3.3855998453 x 1
  3.3985241917 x 1
  3.4134097165 x 1
  3.4180423251 x 1
  3.4316963802 x 1
  3.4394227391 x 1
  3.4478610711 x 1
  3.4577000053 x 1
  3.4614375107 x 1
  3.4741154354 x 1
  3.4878439819 x 1
  3.4904157098 x 1
  3.5002586778 x 1
  3.5149833681 x 1
  3.5156017997 x 1
  3.5271683790 x 1
  3.5409961502 x 1
  3.5461339036 x 1
  3.5551349722 x 1
  3.5633667904 x 1
  3.5724367073 x 1
  3.5815933756 x 1
  3.6012139336 x 1
  3.6186758686 x 1
  3.6287588347 x 1
  3.6328076688 x 1
  3.6480456897 x 1
  3.6507340569 x 1
  3.6539075062 x 1
  3.6588539072 x 1
  3.6667235558 x 1
  3.6798041012 x 1
  3.6937248833 x 1
  3.6958938215 x 1
  3.7078363400 x 1
  3.7134303489 x 1
  3.7228259452 x 1
  3.7316179000 x 1
  3.7470016861 x 1
  3.7575961624 x 1
  3.7728251262 x 1
  3.7772997592 x 1
  3.7830942196 x 1
  3.7957727321 x 1
  3.7976523812 x 1
  3.8112817800 x 1
  3.8214351548 x 1
  3.8323606927 x 1
  3.8500132182 x 1
  3.8622945711 x 1
  3.8686123424 x 1
  3.8765984590 x 1
  3.8836007780 x 1
  3.9006448390 x 1
  3.9128425739 x 1
  3.9259936016 x 1
  3.9311652088 x 1
  3.9421872429 x 1
  3.9445771122 x 1
