trial	row	vector
5	4	0 0 -1 0 0 -1 -1 0 1 0 0 1 0 -1 0 1 1 1 0 0 1
5	5	0 0 1 1 -1 0 1 -1 -1 1 -1 -1 0 0 0 -1 0 0 0 1 -1
5	6	0 1 -1 -1 -1 -1 -2 0 1 1 1 0 0 0 1 0 1 1 0 -1 0
5	7	1 0 -1 0 0 0 -1 -1 1 0 0 0 0 1 -1 0 0 1 0 -1 1
5	8	0 0 0 0 1 0 0 0 0 0 0 0 1 0 -1 0 -1 0 0 -1 1
5	9	0 0 1 1 -1 0 0 0 0 1 0 -1 0 0 0 -1 -1 0 0 0 -1
5	10	0 0 0 0 0 0 0 0 -1 0 0 1 1 0 0 0 0 0 0 0 1
5	11	-1 -2 1 1 1 1 0 1 -1 -2 0 1 0 0 0 1 0 0 0 0 0
5	12	1 -1 0 2 1 0 2 1 -1 -1 -2 0 0 1 -1 0 -1 0 -1 0 0
5	13	0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 1 0 0
5	14	-1 0 0 0 1 0 0 1 0 -1 0 0 0 0 0 1 0 0 -1 0 0
5	15	-1 3 -1 -2 0 -1 -2 -3 1 1 0 -2 0 -1 0 -1 2 1 1 0 1
5	16	0 -1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0
6	0	1 0 -1 0 1 -1 0 0 1 0 -1 1 0 1 0 1 0 1 -1 0 0
6	1	-1 1 0 -1 0 0 -1 -1 0 0 0 0 0 0 0 -1 1 1 1 0 1
6	2	-1 -1 0 1 2 1 0 2 -1 -2 0 1 1 0 -1 0 -1 0 0 -1 1
6	3	0 -1 0 1 2 0 0 1 -1 -2 -1 0 1 1 -1 0 -1 0 0 -1 1
6	4	-1 0 1 0 0 1 0 0 0 -1 0 -1 0 0 0 0 -1 0 0 0 0
6	5	-1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6	6	0 -1 1 1 1 0 1 1 -2 -1 0 0 1 0 -1 0 -1 -1 0 0 0
6	7	-1 0 1 0 -1 0 0 -1 -1 0 0 -1 -1 0 1 -1 1 0 1 1 -1
6	8	-1 -2 1 1 1 1 1 2 -1 -2 0 1 1 0 0 1 -1 -1 0 0 0
6	9	0 0 0 0 0 0 0 0 -1 0 0 0 0 -1 0 0 1 0 0 1 0
6	10	-1 0 -1 -1 1 0 -2 0 0 -1 0 0 0 0 0 0 1 1 1 -1 2
6	11	1 1 -2 0 0 -1 -1 0 1 0 0 0 0 0 1 0 1 1 -1 -1 0
6	12	1 -1 -1 0 1 0 -1 1 0 -1 1 1 2 0 -1 1 -1 0 0 -1 1
6	13	0 -3 1 2 2 1 1 2 -1 -2 0 2 2 0 -2 2 -2 -1 0 0 1
6	14	1 0 0 1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1
6	15	0 -1 1 1 0 0 0 0 -1 0 0 1 0 0 0 0 0 0 0 1 0
6	16	1 1 -1 0 0 -1 -1 -1 1 1 -1 0 0 0 0 0 0 1 0 0 0
7	0	-1 -1 1 1 0 1 -1 0 0 -1 0 0 1 -1 -1 0 0 0 1 0 1
7	1	0 0 0 1 1 0 2 0 -1 0 -2 1 0 0 0 0 0 0 -1 1 0
7	2	0 0 1 1 1 0 2 1 -2 0 -1 1 0 0 0 0 0 -1 -1 1 -1
7	3	0 1 -1 0 0 0 -1 -1 1 0 -1 0 0 -1 0 0 1 1 0 0 1
7	4	-1 1 0 0 0 1 -1 0 0 0 1 -1 0 -1 0 -1 0 0 0 0 0
7	5	0 0 0 0 1 0 1 1 -1 0 0 1 1 0 0 1 -1 -1 -1 0 0
7	6	0 0 1 1 0 0 1 1 -1 1 0 0 0 0 0 0 -1 -1 -1 1 -2
7	7	0 0 0 1 0 0 0 -1 0 0 -1 -1 0 0 0 -1 0 1 0 0 0
7	8	-1 0 -1 -1 0 0 -2 0 1 0 1 0 0 0 0 0 0 1 1 -1 1
7	9	0 0 -1 0 1 -1 0 1 0 -1 0 1 1 0 0 1 0 0 0 -1 1
7	10	0 0 0 0 0 -1 0 -1 0 0 -1 0 -1 0 1 0 1 1 0 0 0
7	11	0 1 0 0 0 0 -1 -1 0 -1 -1 -1 0 0 0 -1 1 1 0 -1 1
