ambient_rank=29
templates=100
LLL start
LLL done
ambient_reduced_min=46.3601302163|median=57.0258464395|max=75.0100934421
short_candidates=870

TOP SCALE CLUSTERS
 HIT|template=4|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=5|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=6|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
 HIT|template=7|tnorm=10.0|anorm=114.502559626|h=11.4502559626|ambient=[0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -2, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
SCALE|rank=7|h=12.5381938147|hits=2300|templates=100|candidates=23
 HIT|template=0|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=1|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=2|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=3|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=4|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=5|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=6|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
 HIT|template=7|tnorm=10.0|anorm=124.375069845|h=12.4375069845|ambient=[-1, 1, -1, 0, -2, -3, 0, -1, 3, 2, 0, -1, 0, 1, 1, -5, 0, 1, -1, 1, 2, 0, 2, 2, -2, -3, 1, 0, -1]
SCALE|rank=8|h=12.9949321651|hits=2300|templates=100|candidates=23
 HIT|template=0|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=1|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=2|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=3|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=4|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=5|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=6|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
 HIT|template=7|tnorm=10.0|anorm=129.235955676|h=12.9235955676|ambient=[2, -2, -2, 0, 0, -2, 1, -1, 1, 1, 0, -1, 0, 1, 0, 1, -2, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 0, -1]
SCALE|rank=9|h=9.31938958905|hits=2200|templates=100|candidates=22
 HIT|template=0|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=1|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=2|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=3|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=4|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=5|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=6|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
 HIT|template=7|tnorm=10.0|anorm=92.2136285367|h=9.22136285367|ambient=[0, -2, 1, -1, 0, 4, -1, 2, -1, -2, 1, 1, 1, -1, -1, 4, -1, -1, 1, 1, -3, -1, -2, -2, 2, 3, -3, 0, 1]
SCALE|rank=10|h=14.4792619519|hits=2200|templates=100|candidates=22
 HIT|template=0|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
 HIT|template=1|tnorm=10.0|anorm=143.576886196|h=14.3576886196|ambient=[0, 2, -1, 1, 0, -4, 1, -2, 1, 2, 0, -1, -1, 1, 1, -3, 1, 1, -1, -1, 3, 1, 2, 2, -2, -3, 3, 0, -1]
