priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
19192	74881	0x12481	8	9	1	9	19	-1 -1 1 1 0 -1 0 0 1 1 0 -1 0 -1 0 0 0	-7 -3 2 -3 1 3 4 -3 0 -1 2 0 2 -2 -3 4 -4	17 -55 -6 -38 -20 13 16 -18 -10 4 12 3 5 7 29 14 0	1 6 -2 -4 0 4 -4 -3 4 0 3 -2 -2 1 0 0 -1
19193	1228	0x004cc	8	9	1	9	19	-1 -1 1 1 0 -1 0 1 1 0 -1 0 0 0 -1 0 0	0 -1 1 3 -1 -2 0 0 0 -2 1 0 -1 0 2 0 0	19 3 -5 -23 -10 8 0 3 -7 -4 -3 10 -12 6 15 0 -2	0 4 -1 -1 0 2 -3 -1 2 0 1 0 0 2 -2 0 0
19194	53554	0x0d132	8	9	1	9	20	-1 -1 1 1 0 -1 0 1 1 0 -1 0 0 0 0 -1 0	-4 -2 -1 0 0 2 3 -1 1 -3 0 -1 1 -1 -1 1 -2	3 -12 -4 -4 1 2 8 -4 -6 -4 4 -3 1 4 3 -3 0	0 1 0 0 -1 1 -2 0 1 0 0 0 1 0 -1 1 0
19195	5715	0x01653	8	9	1	9	21	-1 -1 1 1 0 -1 0 1 1 0 0 -1 0 0 -1 0 0	-3 -2 2 0 0 0 2 -1 0 -2 1 0 1 -1 0 2 -2	24 -7 -5 -33 -17 12 2 -1 -8 -1 -1 12 -11 7 23 5 -2	1 5 -2 -2 1 2 -3 -2 2 -1 1 0 -1 2 -2 0 0
19196	50093	0x0c3ad	8	9	1	9	23	-1 -1 1 1 0 -1 0 1 1 0 0 -1 0 0 0 -1 0	-7 -3 0 -3 1 4 5 -2 1 -3 0 -1 3 -2 -3 3 -4	8 -22 -4 -14 -6 6 10 -8 -7 -1 6 -1 2 5 11 2 0	1 2 -1 -1 0 1 -2 -1 1 -1 0 0 0 0 -1 1 0
19197	58511	0x0e48f	8	9	1	9	21	-1 -1 1 1 0 -1 0 1 1 0 0 0 0 0 -1 -1 0	1 -1 3 0 0 -2 0 2 1 -1 0 -1 0 -1 2 0 0	3 -15 -1 -10 -4 2 3 -5 -1 2 4 1 2 1 7 5 0	1 3 -1 -1 0 2 -2 -1 2 0 1 0 0 1 -1 1 0
19198	79857	0x137f1	8	9	1	9	21	-1 -1 1 1 0 -1 1 0 1 -1 0 0 1 0 0 0 0	8 1 0 2 -2 -4 -5 4 0 1 -1 0 -3 2 4 -4 4	-6 18 5 5 -1 -4 -13 6 9 5 -8 5 -1 -10 -5 7 0	-1 2 0 0 1 1 -1 -1 1 1 1 0 -1 1 0 0 1
19199	12659	0x03173	8	9	1	9	23	-1 -1 1 1 0 -1 1 0 1 0 -1 0 0 -1 0 0 0	-7 -3 -1 -1 1 4 5 -4 0 -3 2 0 2 -2 -3 4 -4	4 -25 -4 -16 -8 3 5 -7 -4 1 2 2 3 0 11 8 0	1 5 -2 -2 -1 3 -3 -2 3 0 2 -2 -1 1 0 0 0
19200	22881	0x05961	8	9	1	9	22	-1 -1 1 1 0 -1 1 0 1 0 -1 0 0 0 -1 0 0	-3 -2 1 1 0 0 2 -2 0 -2 2 0 0 -1 0 2 -2	12 -15 -4 -24 -12 6 1 -3 -4 1 0 8 -4 2 16 8 -1	1 6 -2 -2 0 3 -3 -2 3 0 2 -1 -1 2 -1 0 0
19201	35999	0x08c9f	8	9	1	9	21	-1 -1 1 1 0 -1 1 0 1 0 -1 0 0 0 0 -1 0	-7 -3 -1 -2 1 4 5 -3 1 -3 1 -1 2 -2 -3 3 -4	-4 -30 -3 -5 -1 0 9 -10 -3 1 7 -5 9 0 4 5 1	1 3 -1 -1 -1 2 -2 -1 2 0 1 -1 0 0 0 1 0
