priority_rank	orbit_mask	orbit_hex	group_addition_upper_bound	support_count	maximum_absolute_coefficient	coefficient_l1	minimal_unoriented_count	section_basis_w	direct_alternate_w	historical_alternate_w	short_basis_w
51795	52080	0x0cb70	14	12	2	15	6	-2 1 1 1 1 0 -1 0 1 2 0 -2 -1 0 -1 0 -1	3 1 5 -1 -2 -3 -3 2 1 3 1 1 0 -1 1 -1 1	-3 -1 2 -3 -2 -2 -7 1 6 5 0 4 1 -5 1 8 0	2 0 0 0 1 -1 1 0 -1 -1 0 1 0 0 -1 1 0
51796	49807	0x0c28f	14	12	2	15	4	-2 1 1 1 1 0 -1 0 1 2 0 -2 0 -1 -1 0 -1	0 0 6 -2 -1 -1 0 0 1 3 1 2 1 -2 -1 1 -1	-5 9 3 4 2 -4 -9 4 7 4 -2 3 0 -6 -4 5 0	3 1 -1 -1 0 0 0 -1 0 -1 0 0 0 0 -1 1 0
51797	49950	0x0c31e	14	12	2	15	5	-2 1 1 1 1 0 0 -1 0 2 -2 -1 -1 0 0 1 -1	-2 0 1 1 -3 0 -1 -3 0 2 3 2 -1 0 -2 0 -1	-4 -11 -2 -3 0 -2 -1 -1 1 1 2 1 2 -3 1 5 0	2 1 -1 -1 -1 0 0 0 -1 -1 0 0 0 0 -1 1 0
51798	51937	0x0cae1	14	12	2	15	5	-2 1 1 1 1 0 0 -1 0 2 -2 -1 0 -1 0 1 -1	-5 -1 2 0 -2 2 2 -5 0 2 3 3 0 -1 -4 2 -3	-6 -1 -1 4 4 -4 -3 2 2 0 0 0 1 -4 -4 2 0	3 2 -2 -2 -2 1 -1 -1 0 -1 0 -1 0 0 -1 1 0
51799	41715	0x0a2f3	14	12	2	15	5	-2 1 1 1 1 0 0 -1 0 2 -2 -1 0 0 -1 1 -1	-1 0 4 2 -3 -2 -1 -3 0 3 3 3 -2 0 -1 0 -1	2 9 -1 -4 0 -1 -7 6 2 0 -2 6 -6 -2 1 2 -1	3 3 -2 -2 -1 1 -1 -1 0 -1 0 0 0 1 -2 1 0
51800	35886	0x08c2e	14	12	2	15	3	-2 1 1 1 1 0 0 -1 0 2 -2 0 -1 -1 0 1 -1	2 1 2 2 -3 -2 -3 -1 0 3 3 2 -2 0 0 -1 1	-17 -14 1 9 6 -9 -4 -2 7 4 2 -3 9 -9 -8 8 1	2 1 -1 -1 -2 1 0 0 0 0 1 -1 0 0 0 1 0
51801	45567	0x0b1ff	14	12	2	15	5	-2 1 1 1 1 0 0 -1 1 2 -2 -1 -1 0 0 0 -1	-2 0 0 0 -2 1 0 -2 1 1 2 1 0 -1 -2 0 -1	-15 -6 0 12 8 -8 -3 0 5 1 1 -4 7 -7 -10 3 1	1 -1 1 1 -1 -1 1 1 -1 0 0 0 1 -1 0 1 0
51802	53759	0x0d1ff	14	12	2	15	4	-2 1 1 1 1 0 0 0 1 2 -2 -1 -1 0 -1 0 -1	5 2 2 3 -4 -4 -5 1 1 3 2 2 -2 0 2 -3 3	-12 18 2 13 9 -9 -14 10 10 1 -4 3 -2 -9 -12 2 0	1 -1 1 1 -1 -1 1 1 -1 0 0 0 1 0 -1 1 0
51803	55296	0x0d800	14	12	2	15	4	-2 1 1 1 1 0 0 0 1 2 -2 -1 0 -1 -1 0 -1	2 1 3 2 -3 -2 -2 -1 1 3 2 3 -1 -1 0 -1 1	-14 28 3 20 13 -11 -16 13 11 0 -6 2 -3 -10 -17 -1 0	2 0 0 0 -2 0 0 0 0 0 0 -1 1 0 -1 1 0
51804	50016	0x0c360	14	12	2	15	3	-2 1 1 1 1 0 0 0 1 2 -1 -2 -1 0 -1 0 -1	2 1 3 0 -3 -2 -3 0 1 3 2 2 0 -1 0 -1 1	-7 8 2 3 2 -5 -12 6 9 4 -2 5 -1 -8 -4 7 0	2 0 0 0 0 -1 1 0 -1 -1 0 0 0 0 -1 1 0
