priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
19132	42781	0x0a71d	108863	9	9	1	3	-1 0 -1 1 1 0 0 0 1 -1 1 0 0 -1 0 1 0	-1 -1 -3 -1 -3 -1 -2 0 1 0 0 1 0 -1 0 1 -1
19133	51869	0x0ca9d	50627	9	9	1	4	-1 0 -1 1 1 0 0 1 0 -1 0 1 0 0 -1 1 0	1 1 2 0 0 0 1 -1 -1 0 -1 0 0 0 1 -1 0
19134	110713	0x1b079	8287	9	9	1	4	-1 0 0 -1 -1 -1 1 0 0 0 0 0 1 1 0 -1 1	1 1 1 -1 1 0 1 0 0 0 0 0 0 -1 0 0 0
19135	104569	0x19879	32735	9	9	1	4	-1 0 0 -1 -1 -1 1 0 0 0 0 1 1 0 0 -1 1	-1 -1 -1 -1 -1 0 -1 -1 1 1 -1 -1 1 1 -1 0 0
19136	19417	0x04bd9	1400	9	9	1	6	-1 0 0 -1 -1 0 1 -1 -1 1 0 -1 0 0 1 0 0	0 0 0 1 1 1 1 0 -1 0 -1 0 0 0 0 0 0
19137	21465	0x053d9	15653	9	9	1	4	-1 0 0 -1 -1 0 1 -1 -1 1 0 0 -1 0 1 0 0	-1 0 -1 4 2 1 0 2 -1 -2 1 1 -1 -1 0 0 0
19138	50137	0x0c3d9	53846	9	9	1	4	-1 0 0 -1 -1 0 1 -1 -1 1 0 0 0 0 1 -1 0	2 1 1 2 1 0 1 0 -2 -1 0 0 -1 0 1 -1 0
19139	82905	0x143d9	38218	9	9	1	6	-1 0 0 -1 -1 0 1 -1 -1 1 0 0 0 0 1 0 1	2 1 2 -3 0 0 1 -2 1 2 -1 -2 1 2 0 -1 0
19140	41945	0x0a3d9	35656	9	9	1	3	-1 0 0 -1 -1 0 1 -1 -1 1 0 0 0 1 0 -1 0	2 2 2 1 2 0 1 0 -1 -1 0 -1 0 0 0 -1 0
19141	74713	0x123d9	52308	9	9	1	4	-1 0 0 -1 -1 0 1 -1 -1 1 0 0 0 1 0 0 1	2 0 1 -2 -1 0 1 -2 0 2 -1 -1 0 2 1 -1 0
19142	18393	0x047d9	73311	9	9	1	4	-1 0 0 -1 -1 0 1 -1 -1 1 1 0 0 0 1 0 0	-1 1 -1 3 1 0 -1 2 -2 -3 1 1 -1 -2 0 0 -1
19143	51929	0x0cad9	50630	9	9	1	5	-1 0 0 -1 -1 0 1 -1 0 1 0 -1 0 0 1 -1 0	2 1 1 0 0 0 1 -1 -1 0 -1 0 0 0 1 -1 0
19144	123225	0x1e159	12456	9	9	1	4	-1 0 0 -1 -1 0 1 0 -1 0 0 0 0 1 1 -1 1	2 0 0 -1 0 -1 0 -1 0 0 0 0 -1 -1 0 0 0
19145	88409	0x15959	32859	9	9	1	3	-1 0 0 -1 -1 0 1 0 -1 0 0 1 -1 0 1 0 1	1 1 2 -3 -1 0 1 -2 0 2 -2 -2 2 2 0 -1 0
19146	117081	0x1c959	28456	9	9	1	5	-1 0 0 -1 -1 0 1 0 -1 0 0 1 0 0 1 -1 1	-2 0 0 -1 0 1 0 0 1 1 -1 -1 2 1 -1 0 0
