root	fingerprint_index	identity	score	curve_max	line_max	anchor_count	v_pairings	anchors
root-000029	1074	0	2.718099997302945e-09	3.530268127519972e-16	2.718099997302945e-09	9	1 2 1 1 0 1 0 2 2	V1:+2 V7:+2 V8:+2 D14:+2 D16:+2 D47:-2 D48:-2 D67:-2 D68:-2
root-000029	17	0	2.7381677767694655e-09	2.7381677767694655e-09	1.2219320793920019e-09	9	-2 -2 -2 -1 0 -1 0 -1 -1	V0:-2 V1:-2 V2:-2 D04:-2 D06:-2 D14:-2 D16:-2 D24:-2 D26:-2
root-000029	954	0	2.7489893943288103e-09	3.07674769207574e-12	2.7489893943288103e-09	9	1 2 2 0 0 2 1 1 1	V1:+2 V2:+2 V5:+2 D13:+2 D14:+2 D23:+2 D24:+2 D35:-2 D45:-2
root-000029	1046	0	2.778675989930357e-09	2.338900655602875e-15	2.778675989930357e-09	9	1 2 1 1 1 2 2 0 0	V1:+2 V5:+2 V6:+2 D17:+2 D18:+2 D57:+2 D58:+2 D67:+2 D68:+2
root-000029	1066	0	2.7805759609374352e-09	1.9444422034481153e-13	2.7805759609374352e-09	9	1 2 1 1 0 2 0 2 1	V1:+2 V5:+2 V7:+2 D14:+2 D16:+2 D45:-2 D47:-2 D56:+2 D67:-2
root-000029	1522	0	2.7993276240591926e-09	8.822981168038845e-11	2.7993276240591926e-09	9	1 1 1 0 2 2 2 1 0	V4:+2 V5:+2 V6:+2 D34:-2 D35:-2 D36:-2 D48:+2 D58:+2 D68:+2
root-000029	9	0	2.8013921223922563e-09	8.761284422984071e-10	2.8013921223922563e-09	9	-2 -2 -2 -1 -1 0 -1 0 -1	V0:-2 V1:-2 V2:-2 D05:-2 D07:-2 D15:-2 D17:-2 D25:-2 D27:-2
root-000029	1576	0	2.8065706186246716e-09	2.8065706186246716e-09	8.570973824438197e-10	9	1 1 0 2 2 1 0 2 1	V3:+2 V4:+2 V7:+2 D23:-2 D24:-2 D27:-2 D36:+2 D46:+2 D67:-2
root-000029	2143	0	2.8515000013878014e-09	5.774877214171253e-10	2.8515000013878014e-09	9	0 -2 0 -2 -1 -2 -1 -1 -1	V1:-2 V3:-2 V5:-2 D01:+2 D03:+2 D05:+2 D12:-2 D23:+2 D25:+2
root-000029	1466	0	2.889144586833068e-09	1.0181231312229838e-13	2.889144586833068e-09	9	1 1 1 2 1 2 2 0 0	V3:+2 V5:+2 V6:+2 D37:+2 D38:+2 D57:+2 D58:+2 D67:+2 D68:+2
root-000029	1475	0	2.9212711048023084e-09	5.907048990708575e-10	2.9212711048023084e-09	9	-1 -1 -1 -2 -1 0 0 -2 -2	V3:-2 V7:-2 V8:-2 D35:-2 D36:-2 D57:+2 D58:+2 D67:+2 D68:+2
root-000029	953	0	2.9284961748740125e-09	2.918670194224723e-12	2.9284961748740125e-09	9	-1 -2 -2 0 0 -2 -1 -1 -1	V1:-2 V2:-2 V5:-2 D13:-2 D14:-2 D23:-2 D24:-2 D35:+2 D45:+2
root-000029	981	0	2.9436007889518795e-09	2.6091684911715722e-14	2.9436007889518795e-09	9	-1 -2 -1 -2 -1 -1 0 -2 0	V1:-2 V3:-2 V7:-2 D16:-2 D18:-2 D36:-2 D38:-2 D67:+2 D78:-2
root-000029	22	0	2.9515048965878687e-09	2.9515048965878687e-09	1.1445766374615363e-09	9	2 2 2 0 1 1 1 1 0	V0:+2 V1:+2 V2:+2 D03:+2 D08:+2 D13:+2 D18:+2 D23:+2 D28:+2
root-000029	1073	0	2.9645043793726645e-09	3.747541066569401e-16	2.9645043793726645e-09	9	-1 -2 -1 -1 0 -1 0 -2 -2	V1:-2 V7:-2 V8:-2 D14:-2 D16:-2 D47:+2 D48:+2 D67:+2 D68:+2
root-000029	978	0	2.981941534868104e-09	6.168706927704448e-11	2.981941534868104e-09	9	1 2 1 2 1 2 0 0 1	V1:+2 V3:+2 V5:+2 D16:+2 D17:+2 D36:+2 D37:+2 D56:+2 D57:+2
root-000029	2304	0	3.0371002409533133e-09	1.2883742200291608e-09	3.0371002409533133e-09	9	0 1 1 2 2 1 1 0 2	V3:+2 V4:+2 V8:+2 D03:-2 D04:-2 D08:-2 D37:+2 D47:+2 D78:-2
root-000029	1515	0	3.0582303386530505e-09	2.0875113756796183e-10	3.0582303386530505e-09	9	-1 -1 -1 -1 0 -2 -2 0 -2	V5:-2 V6:-2 V8:-2 D45:+2 D46:+2 D48:+2 D57:-2 D67:-2 D78:+2
root-000029	1076	0	3.0617217591867036e-09	2.0150944811648763e-15	3.0617217591867036e-09	9	1 2 1 1 0 0 2 2 1	V1:+2 V6:+2 V7:+2 D14:+2 D15:+2 D46:-2 D47:-2 D56:-2 D57:-2
root-000029	1000	0	3.062548209584228e-09	2.3532746485720892e-11	3.062548209584228e-09	9	1 2 1 2 0 2 1 0 1	V1:+2 V3:+2 V5:+2 D14:+2 D17:+2 D34:+2 D37:+2 D45:-2 D57:+2
root-000029	929	0	3.07552196189173e-09	5.132784696153007e-12	3.07552196189173e-09	9	-1 -2 -2 0 -1 -2 -1 -1 0	V1:-2 V2:-2 V5:-2 D13:-2 D18:-2 D23:-2 D28:-2 D35:+2 D58:-2
root-000029	29	0	3.0756311628416502e-09	3.0756311628416502e-09	1.1245627601348093e-09	9	-2 -2 -2 0 0 -1 -1 -1 -1	V0:-2 V1:-2 V2:-2 D03:-2 D04:-2 D13:-2 D14:-2 D23:-2 D24:-2
root-000029	2451	0	3.0891864398595195e-09	3.348953396664483e-10	3.0891864398595195e-09	9	0 0 -2 -2 -2 -1 -1 -1 -1	V2:-2 V3:-2 V4:-2 D02:+2 D03:+2 D04:+2 D12:+2 D13:+2 D14:+2
root-000029	1484	0	3.1081945124018804e-09	6.387231297578648e-10	3.1081945124018804e-09	9	1 1 1 2 0 2 1 0 2	V3:+2 V5:+2 V8:+2 D34:+2 D37:+2 D45:-2 D48:-2 D57:+2 D78:-2
root-000029	1620	0	3.1143360986542832e-09	3.027874683504224e-09	3.1143360986542832e-09	9	1 1 0 2 0 1 1 2 2	V3:+2 V7:+2 V8:+2 D23:-2 D27:-2 D28:-2 D34:+2 D47:-2 D48:-2
root-000029	967	0	3.1270667774382843e-09	3.8994577977079402e-16	3.1270667774382843e-09	9	-1 -2 -1 -2 -2 0 -1 -1 0	V1:-2 V3:-2 V4:-2 D15:-2 D18:-2 D35:-2 D38:-2 D45:-2 D48:-2
root-000029	2349	0	3.1417067146725166e-09	1.0855781951919409e-09	3.1417067146725166e-09	9	0 -1 -1 -2 0 -1 -1 -2 -2	V3:-2 V7:-2 V8:-2 D03:+2 D07:+2 D08:+2 D34:-2 D47:+2 D48:+2
root-000029	971	0	3.1507915516572896e-09	1.2722571433370311e-15	3.1507915516572896e-09	9	-1 -2 -1 -2 -2 0 0 -1 -1	V1:-2 V3:-2 V4:-2 D15:-2 D16:-2 D35:-2 D36:-2 D45:-2 D46:-2
root-000029	2105	0	3.151675029579065e-09	1.1346169590446038e-12	3.151675029579065e-09	9	0 -2 -1 -1 -1 0 -2 -1 -2	V1:-2 V6:-2 V8:-2 D01:+2 D06:+2 D08:+2 D15:-2 D56:+2 D58:+2
root-000029	1623	0	3.1574714566251066e-09	6.888787541103043e-10	3.1574714566251066e-09	9	-1 -1 0 -1 -2 -2 -2 0 -1	V4:-2 V5:-2 V6:-2 D24:+2 D25:+2 D26:+2 D47:-2 D57:-2 D67:-2
root-000029	1059	0	3.1593745012499686e-09	1.6126470089123657e-14	3.1593745012499686e-09	9	-1 -2 -1 -1 0 -2 -2 0 -1	V1:-2 V5:-2 V6:-2 D14:-2 D17:-2 D45:+2 D46:+2 D57:-2 D67:-2
root-000029	1547	0	3.164164438174538e-09	1.6135544992925832e-14	3.164164438174538e-09	9	-1 -1 -1 0 -1 -2 -2 0 -2	V5:-2 V6:-2 V8:-2 D35:+2 D36:+2 D38:+2 D57:-2 D67:-2 D78:+2
root-000029	1665	0	3.1747125209938738e-09	3.1747125209938738e-09	2.896250159412615e-09	9	-1 -1 0 0 -2 -2 -1 -1 -2	V4:-2 V5:-2 V8:-2 D24:+2 D25:+2 D28:+2 D34:+2 D35:+2 D38:+2
root-000029	2149	0	3.1760393712621995e-09	3.1760393712621995e-09	1.8447905676007817e-09	9	0 -2 0 -2 -1 -1 -1 -1 -2	V1:-2 V3:-2 V8:-2 D01:+2 D03:+2 D08:+2 D12:-2 D23:+2 D28:+2
root-000029	1447	0	3.1897324309844965e-09	5.782573422590282e-13	3.1897324309844965e-09	9	-1 -1 -1 -2 -2 -1 -2 0 0	V3:-2 V4:-2 V6:-2 D37:-2 D38:-2 D47:-2 D48:-2 D67:-2 D68:-2
root-000029	1600	0	3.2012492870069564e-09	3.4910532483874213e-10	3.2012492870069564e-09	9	1 1 0 2 1 1 2 0 2	V3:+2 V6:+2 V8:+2 D23:-2 D26:-2 D28:-2 D37:+2 D67:+2 D78:-2
root-000029	2168	0	3.208170273506398e-09	3.208170273506398e-09	1.649750259457585e-09	9	0 2 0 1 1 1 2 1 2	V1:+2 V6:+2 V8:+2 D01:-2 D06:-2 D08:-2 D12:+2 D26:-2 D28:-2
root-000029	904	0	3.2203283747736686e-09	4.9340151698275666e-15	3.2203283747736686e-09	9	1 2 2 1 0 1 2 1 0	V1:+2 V2:+2 V6:+2 D14:+2 D18:+2 D24:+2 D28:+2 D46:-2 D68:+2
root-000029	1222	0	3.22618263673353e-09	4.501581826792057e-15	3.22618263673353e-09	9	1 2 0 1 1 1 0 2 2	V1:+2 V7:+2 V8:+2 D12:+2 D16:+2 D27:-2 D28:-2 D67:-2 D68:-2
root-000029	2190	0	3.267680842511317e-09	3.041952380258371e-13	3.267680842511317e-09	9	0 1 2 2 1 1 1 2 0	V2:+2 V3:+2 V7:+2 D02:-2 D03:-2 D07:-2 D28:+2 D38:+2 D78:+2
root-000029	2101	0	3.2846846809664646e-09	4.62619466406025e-15	3.2846846809664646e-09	9	0 -2 -1 -1 -1 -1 0 -2 -2	V1:-2 V7:-2 V8:-2 D01:+2 D07:+2 D08:+2 D16:-2 D67:+2 D68:+2
root-000029	1104	0	3.3040768670928038e-09	1.2306813290195863e-09	3.3040768670928038e-09	9	1 2 1 0 2 0 1 1 2	V1:+2 V4:+2 V8:+2 D13:+2 D15:+2 D34:-2 D38:-2 D45:+2 D58:-2
root-000029	18	0	3.3317957138706508e-09	3.3317957138706508e-09	9.845472553749574e-10	9	2 2 2 1 0 1 0 1 1	V0:+2 V1:+2 V2:+2 D04:+2 D06:+2 D14:+2 D16:+2 D24:+2 D26:+2
