index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
0,10,"[""-68548306460874836602827246687840804138969057812429748204307/2893614380861402727943236305311700"",""-2440836421795046332190927653932353270670256345504674437113/144680719043070136397161815265585"",""191888849622561526227936832112946368998809930149161278110809/1533615621856543445809915241815201""]",191888849622561526227936832112946368998809930149161278110809/1533615621856543445809915241815201,"[""-3717052775341269142292459399/19632511806912100874781312100"",""-132355097656070386286035541/981625590345605043739065605"",""1""]",0,-1009206062363154703358603337587588882710094179416724003015970999/44321491471654105583906550488459308900,-1009206062363154703358603337587588882710094179416724003015970999/153361562185654344580991524181520100,"{""place"":""real"",""sign"":-1}"
1,10,"[""192058491457507755929372854350321020970196253881621420857/163400702637942477605463654400"",""-52331095735465396583227152853940257146769129426226572161/81700351318971238802731827200"",""312830754466555264851036018188921333283068243322978459361/4085017565948561940136591360000""]",312830754466555264851036018188921333283068243322978459361/4085017565948561940136591360000,"[""1720641419804765167425/112105338210056641681"",""-133951827729867789150/16015048315722377383"",""1""]",1,314248445861313943171537239266805503196238567111935953203881/295142519139783600174868725760000,314248445861313943171537239266805503196238567111935953203881/1021254391487140485034147840000,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
2,10,"[""490814786615374902138232039357593485793249/55607601861268230400"",""34341347811994798828899325753168046470071/505523653284256640"",""1090731228188514907142896317817436041713/18382678301245696""]",1090731228188514907142896317817436041713/18382678301245696,"[""1562571357916947747769/10504257214866406332825"",""72886701795502339434/63662164938584280805"",""1""]",2,22762224515285405405939976818887309645436481/1004412308619157411600,22762224515285405405939976818887309645436481/3475475116329264400,"{""place"":""29"",""prime"":29,""valuation"":0,""unit_modulus"":29,""unit_residue"":11,""unit_is_square"":false,""is_square"":false}"
3,10,"[""669278108480213987399970868434695443150/18254162255121"",""-1971259914222196485290654383261771600525/36508324510242"",""22714776814084964260336253939139688356025/292066596081936""]",22714776814084964260336253939139688356025/292066596081936,"[""89295224517824224/189413140608679849"",""-2155786131124232/3105133452601309"",""1""]",3,2494900919936617990081904592723486111315625/84407246267679504,2494900919936617990081904592723486111315625/292066596081936,"{""place"":""5"",""prime"":5,""valuation"":5,""unit_modulus"":5,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
4,10,"[""616372448076942574162647183178072500939789729609337089729/2668211137695413417017999360000"",""-563928181282893059929069832486046278850956757846308174553/1334105568847706708508999680000"",""314577973555584354068031300709388885370592199851070051121/2668211137695413417017999360000""]",314577973555584354068031300709388885370592199851070051121/2668211137695413417017999360000,"[""27366344566169832935480521/13966959821304227806291129"",""-50075739003942820126659394/13966959821304227806291129"",""1""]",4,30860541191345392751713048682817683074284243088858653896841/192778254698493619379550453760000,30860541191345392751713048682817683074284243088858653896841/667052784423853354254499840000,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":2,""unit_is_square"":true,""is_square"":false}"
5,10,"[""22705385726315705907730391519330490836731012757083833/1489948637079374578182400"",""31961730923324591447516241773406320434262248446545253/3724871592698436445456000"",""5557204588922053354622756513096262598312288992580641/37248715926984364454560000""]",5557204588922053354622756513096262598312288992580641/37248715926984364454560000,"[""716691256650635425/7016484966706609"",""8586094150778510/149286914185247"",""1""]",5,11274806842801675956361060427513617880015007779912624889/672804931431155082960490000,11274806842801675956361060427513617880015007779912624889/2328044745436522778410000,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
6,10,"[""215803795431772081808443425491591273186502137384601/3406671022653928247296"",""6195489332567060138028341296450784218388112845475/1703335511326964123648"",""19871593175313154287679909741184843887995760539825/3406671022653928247296""]",19871593175313154287679909741184843887995760539825/3406671022653928247296,"[""5176766355098146047872649/476685754142272945691425"",""11889540928984303547862/19067430165690917827657"",""1""]",6,15794520282570447541327039991744630384041666764811641/246131981386746315867136,15794520282570447541327039991744630384041666764811641/851667755663482061824,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
7,10,"[""43661079580388530008579751636448617805667201/102113081903493376"",""-62292959195911543765128467813292607306919463/51056540951746688"",""121729652527238771612180691031690177948020849/102113081903493376""]",121729652527238771612180691031690177948020849/102113081903493376,"[""1743918585714280089/4862147375076516361"",""-93891185904107238/91738629718424837"",""1""]",7,459983564593403540809129420328938512629013969/1844417541881849104,459983564593403540809129420328938512629013969/6382067618968336,"{""place"":""3"",""prime"":3,""valuation"":7,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
8,10,"[""15784401254758937527935230799539597450563712286025/1984675825688025989376"",""-5675980706060940284178016957231776273947676663475/992337912844012994688"",""2278752951371174260624251419882378879321975853025/1984675825688025989376""]",2278752951371174260624251419882378879321975853025/1984675825688025989376,"[""8110453567164254329/1170885084891151249"",""-5832945731881736582/1170885084891151249"",""1""]",8,1421608915898244888115320395670541155250052419625/203682994894829371779,1421608915898244888115320395670541155250052419625/704785449463077411,"{""place"":""2"",""prime"":2,""valuation"":0,""unit_modulus"":8,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
9,10,"[""-76762825436829259945591439476639650005175900/770461088542838641"",""1250720902322334119264627876811463619486848800/770461088542838641"",""1510617092430830128338302356737647607422049600/770461088542838641""]",1510617092430830128338302356737647607422049600/770461088542838641,"[""-1690003827086438411/33257617250829299984"",""24093794256193090083/29100415094475637486"",""1""]",9,55197863299072855113264816919274614209131900100/222663254588880367249,55197863299072855113264816919274614209131900100/770461088542838641,"{""place"":""3"",""prime"":3,""valuation"":1,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
10,10,"[""2838521288298293872531843568379014076207329728324104291/7748492823436544087987302400"",""-197395541927734330376301019533316577966390080758752043/774849282343654408798730240"",""406816837765312913039303997233849295190483676511171249/3409336842312079398714413056""]",406816837765312913039303997233849295190483676511171249/3409336842312079398714413056,"[""45438609058144914249/14800592994487995025"",""-6319754511936146754/2960118598897599005"",""1""]",10,2001950993445720508200381345918148959322377920125185527721/6158114671426193413927908582400,2001950993445720508200381345918148959322377920125185527721/21308355264450496241965081600,"{""place"":""3"",""prime"":3,""valuation"":6,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
11,10,"[""5820628291269744025806436032515039392881132074136261696/15301874015199962581377462025"",""-18470762983360964465029458145010735091340489673804431872/76509370075999812906887310125"",""14406308579245967525172367017014439264177402919987024896/382546850379999064534436550625""]",14406308579245967525172367017014439264177402919987024896/382546850379999064534436550625,"[""530753097509589416445025/52545481480630928871376"",""-42106342203161566387645/6568185185078866108922"",""1""]",11,129666614605121343790988027028015751275612287180256899136/382546850379999064534436550625,37473651620880068355595539811096552118651950995094243850304/382546850379999064534436550625,"{""place"":""43"",""prime"":43,""valuation"":0,""unit_modulus"":43,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
13,10,"[""156576301620307773967696768002427935143408089149/584310121600655360000"",""-77323866299466229103954037248268976087067228037/292155060800327680000"",""6073336778044765100800912147659137695340344497441/59015322281666191360000""]",6073336778044765100800912147659137695340344497441/59015322281666191360000,"[""4046222777595709561/1553923914160215049"",""-3996384968031288386/1553923914160215049"",""1""]",13,957093807095116352005343669705033561627508807852489/4263857034850382325760000,957093807095116352005343669705033561627508807852489/14753830570416547840000,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
14,10,"[""113077590524880231218371020031507680180672225/401231314959794176"",""-33969862488547570760270825706230175116519625/200615657479897088"",""46444141097378825371058936719833074586320625/401231314959794176""]",46444141097378825371058936719833074586320625/401231314959794176,"[""1959177912870759126121/804689373003723826425"",""-78474734598188193982/53645958200248255095"",""1""]",14,7408123739433736008225282749387184845401539225/28988962505845129216,7408123739433736008225282749387184845401539225/100307828739948544,"{""place"":""19"",""prime"":19,""valuation"":0,""unit_modulus"":19,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
20,10,"[""91845297748463171186620235586711442811675415201600025/504176635497174886958881"",""-260879721704124742561264215798509580609000280106945200/504176635497174886958881"",""85807423561651168319588117921078063161664059425030400/504176635497174886958881""]",85807423561651168319588117921078063161664059425030400/504176635497174886958881,"[""25422028607125078681/23750794324410532096"",""-4513086074330396203/1484424645275658256"",""1""]",20,14010692054450355117185066140125320929970157242633475625/145707047658683542331116609,14010692054450355117185066140125320929970157242633475625/504176635497174886958881,"{""place"":""7"",""prime"":7,""valuation"":3,""unit_modulus"":7,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
21,10,"[""3358666402275332568847220163300877784915919039/19502594519856100"",""-2337999519262060152447159718220186416380061779/3900518903971220"",""1109256026916495490434786287570448501937267281/3120415123176976""]",1109256026916495490434786287570448501937267281/3120415123176976,"[""53344616646364/110112226162225"",""-5304813328372/3146063604635"",""1""]",21,1747441457439194579439110510894575487591024532729/22544999264953651600,1747441457439194579439110510894575487591024532729/78010378079424400,"{""place"":""19"",""prime"":19,""valuation"":0,""unit_modulus"":19,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
24,10,"[""266491486951017389326590050310849590602308226635609/34399670225755292962816"",""90403733339897494357107362061206096127714720722907/17199835112877646481408"",""15330084454012313428847523143573134894578483244801/34399670225755292962816""]",15330084454012313428847523143573134894578483244801/34399670225755292962816,"[""38317745913067063881/2204251579123325809"",""2363416642033008066/200386507193029619"",""1""]",24,21593797822399920190167275794592677925786296340157681/2485376173810819916563456,21593797822399920190167275794592677925786296340157681/8599917556438823240704,"{""place"":""59"",""prime"":59,""valuation"":0,""unit_modulus"":59,""unit_residue"":32,""unit_is_square"":false,""is_square"":false}"
25,10,"[""18849161322064193097092210876176569186777351/102829537440100"",""1875059985460493978360742664147570582645377/20565907488020"",""-97773562373476445114394846250606133720367/16452725990416""]",-97773562373476445114394846250606133720367/16452725990416,"[""-22738701927484/737182630175"",""-2261980221668/147436526035"",""1""]",25,23680192621941878878015814449884249594125819721/118870945280755600,23680192621941878878015814449884249594125819721/411318149760400,"{""place"":""41"",""prime"":41,""valuation"":0,""unit_modulus"":41,""unit_residue"":35,""unit_is_square"":false,""is_square"":false}"
26,10,"[""9811270428927150489739925399614716229116325/684841718216021902"",""-16852412121882828660302667247545734638396375/684841718216021902"",""3361351759882598058645405579705412630672902625/388990095946700440336""]",3361351759882598058645405579705412630672902625/388990095946700440336,"[""2408704487292680536/1452860453909497945"",""-827466350942758952/290572090781899589"",""1""]",26,1152611154941491209087949219587998771112892914025/112418137728596427257104,1152611154941491209087949219587998771112892914025/388990095946700440336,"{""place"":""13"",""prime"":13,""valuation"":3,""unit_modulus"":13,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
31,10,"[""32826246737974695854258426869954713030995625/479308843357966336"",""156450867883537689886544097188810716554199875/239654421678983168"",""237373823255154737007736438592281723974125025/479308843357966336""]",237373823255154737007736438592281723974125025/479308843357966336,"[""165251303537920825/1194968588148573681"",""525061750408909730/398322862716191227"",""1""]",31,6895284560172981025844452806501535167563312025/34630063932613067776,6895284560172981025844452806501535167563312025/119827210839491584,"{""place"":""37"",""prime"":37,""valuation"":0,""unit_modulus"":37,""unit_residue"":14,""unit_is_square"":false,""is_square"":false}"
32,10,"[""173076445738864648891791962237235427293239655361/2120476501647360000"",""66307303943617110953049090785742969239523386711/1060238250823680000"",""20739617222856429490114463479009283598579153361/2120476501647360000""]",20739617222856429490114463479009283598579153361/2120476501647360000,"[""45714405816382140601/5477922048575958601"",""35027285060407811902/5477922048575958601"",""1""]",32,569690943757865367123499145180179049025648582241/6128177089760870400,569690943757865367123499145180179049025648582241/21204765016473600,"{""place"":""17"",""prime"":17,""valuation"":-2,""unit_modulus"":17,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
36,10,"[""841202947973850007557027544001501083375225/1712789917696"",""-97902312089054501259056820682018701885325/856394958848"",""66655490315804606850055551035670200271025/1712789917696""]",66655490315804606850055551035670200271025/1712789917696,"[""32868715747921/2604461110729"",""-7650765549194/2604461110729"",""1""]",36,58430378886050333629301916116547234326394025/123749071553536,58430378886050333629301916116547234326394025/428197479424,"{""place"":""19"",""prime"":19,""valuation"":0,""unit_modulus"":19,""unit_residue"":3,""unit_is_square"":false,""is_square"":false}"
40,10,"[""29615023508317412084536180465718483861814982770681/118617477671104614400"",""92486900028564886018636291582425464652611223837/1078340706100951040"",""886234446863673153751482349480636962872529/39212389312761856""]",886234446863673153751482349480636962872529/39212389312761856,"[""58313497541049/5278749025"",""364222882746/95977255"",""1""]",40,2269404357699199241624279158619253325776748297763601/8570112761737308390400,2269404357699199241624279158619253325776748297763601/29654369417776153600,"{""place"":""31"",""prime"":31,""valuation"":0,""unit_modulus"":31,""unit_residue"":11,""unit_is_square"":false,""is_square"":false}"
41,10,"[""1622869463636515166059962486014685186137184164169/64278888763814560000"",""-2444417928130474974134267014116781953112799372427/32139444381907280000"",""2696649496345567862649596519671308404300770773681/64278888763814560000""]",2696649496345567862649596519671308404300770773681/64278888763814560000,"[""23119185844755361/38416115566361289"",""-23215238452211042/12805371855453763"",""1""]",41,3811695184199289787398129557740219300231994131569/290259357074100122500,3811695184199289787398129557740219300231994131569/1004357636934602500,"{""place"":""41"",""prime"":41,""valuation"":0,""unit_modulus"":41,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
42,10,"[""5850925162256658996016224618478617486216913271841/24984902280100000000"",""1065192761920600651840035098196801180248373047769/12492451140050000000"",""40075571741477395434193075428142168586153120721/24984902280100000000""]",40075571741477395434193075428142168586153120721/24984902280100000000,"[""19190608967571129/131444960431849"",""6987509565485922/131444960431849"",""1""]",42,112495482109609313305955014527202965838706085282561/451289797434306250000,112495482109609313305955014527202965838706085282561/1561556392506250000,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
44,10,"[""38952407255820320950528568946928754390010895190224094864438769/127377574819571115201466938818560000"",""1795336850598017633396230309419423746983377155752492378344567/63688787409785557600733469409280000"",""52204109132740684340501285945415653512588011156466048627837281/127377574819571115201466938818560000""]",52204109132740684340501285945415653512588011156466048627837281/127377574819571115201466938818560000,"[""10375116083732957041521/13904755327262047112929"",""8938215588056982858/129950984366935019747"",""1""]",44,2977551759471934178093420872682983030629686320067428019016121401/9203029780714013073305986329640960000,2977551759471934178093420872682983030629686320067428019016121401/31844393704892778800366734704640000,"{""place"":""11"",""prime"":11,""valuation"":0,""unit_modulus"":11,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
46,10,"[""5813525849207296947574586187736198468570201946598841/22353647228476088280678400"",""357176194017635812536190752817079223182854208137283/2235364722847608828067840"",""9467189072385500436332396138330816669849561698897/894145889139043531227136""]",9467189072385500436332396138330816669849561698897/894145889139043531227136,"[""37785543981366915490801/1538321572627546955425"",""4642998805962436797526/307664314525509391085"",""1""]",46,466099736727797454960171870330899048747690040024832801/1615051012257397378279014400,466099736727797454960171870330899048747690040024832801/5588411807119022070169600,"{""place"":""41"",""prime"":41,""valuation"":0,""unit_modulus"":41,""unit_residue"":22,""unit_is_square"":false,""is_square"":false}"
48,10,"[""4174851177289324881630790530814773568876679451143264227761/651644171360873308527860162560000"",""-8715926887096133968438213449245060779648981368599710883289/325822085680436654263930081280000"",""20515732770079422529769910740539272645679624265716299498561/651644171360873308527860162560000""]",20515732770079422529769910740539272645679624265716299498561/651644171360873308527860162560000,"[""17608448788961058066303409/86530085626790809552108609"",""-54421226482602841192382/64048916082006520763959"",""1""]",48,1004298085367048057557059776494653631384561760349359094429/376650331046584772329103173959680,1004298085367048057557059776494653631384561760349359094429/1303288342721746617055720325120,"{""place"":""5"",""prime"":5,""valuation"":-1,""unit_modulus"":5,""unit_residue"":4,""unit_is_square"":true,""is_square"":false}"
49,10,"[""109933896752068467331995094863363414928851225/200510386108561"",""-672567081089716975599397455660156965230706400/200510386108561"",""971302538930211642279464761485765636256190400/200510386108561""]",971302538930211642279464761485765636256190400/200510386108561,"[""16243275244849/143514738874816"",""-3105471941983/4484835589838"",""1""]",49,6211697876144126083892495030215912413977691225/57947501585374129,6211697876144126083892495030215912413977691225/200510386108561,"{""place"":""19"",""prime"":19,""valuation"":0,""unit_modulus"":19,""unit_residue"":15,""unit_is_square"":false,""is_square"":false}"
50,10,"[""9180311336539103012568813670930613984055219225/3406671022653928247296"",""60508484554222715900609573387071879502284794275/1703335511326964123648"",""73542216235264269372418494617844005152933202225/3406671022653928247296""]",73542216235264269372418494617844005152933202225/3406671022653928247296,"[""580061612424921/4646794097378801"",""7646505184679878/4646794097378801"",""1""]",50,2371713836726974054211582521985218799250351548025/246131981386746315867136,2371713836726974054211582521985218799250351548025/851667755663482061824,"{""place"":""3"",""prime"":3,""valuation"":1,""unit_modulus"":3,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
52,10,"[""33296449403036554694314903566539732835432137680065/26423850884197997850198016"",""19771475957228333833007209731002028209118105462183/13211925442098998925099008"",""12907167600061391200317340609985748381674856874545/26423850884197997850198016""]",12907167600061391200317340609985748381674856874545/26423850884197997850198016,"[""47072773118272685600213/18247476320457176725509"",""93172917696855612202922/30412460534095294542515"",""1""]",52,2938882233378851719606649647195515350551252064638089/1909123226383305344676806656,2938882233378851719606649647195515350551252064638089/6605962721049499462549504,"{""place"":""41"",""prime"":41,""valuation"":0,""unit_modulus"":41,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
55,10,"[""88930683666625048386429361625280449892025/238059718905856"",""-120183841676834093355923344858617548380925/119029859452928"",""459463695930484310065881497409855561526225/238059718905856""]",459463695930484310065881497409855561526225/238059718905856,"[""302966938638771121/1565289994773260809"",""-818878908503032234/1565289994773260809"",""1""]",55,4394347247997980062991709452703940034419225/17199814690948096,4394347247997980062991709452703940034419225/59514929726464,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
56,10,"[""64249480370179091346299734371968011615555721435414523/279272545350499981463784050"",""-14780149418448111978550429706494745559934463164355559/55854509070099996292756810"",""12503061210454724046916751497844122839484852907077233/89367214512159994068410896""]",12503061210454724046916751497844122839484852907077233/89367214512159994068410896,"[""1562264666971862616/950060736169490425"",""-359388201678335928/190012147233898085"",""1""]",56,121206482574572223666958378353755689551782615007485414241/645678124850355957144268723600,121206482574572223666958378353755689551782615007485414241/2234180362803999851710272400,"{""place"":""11"",""prime"":11,""valuation"":5,""unit_modulus"":11,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
57,10,"[""34620102172934352652969701781344863791731614461491/187158967203226794780050"",""-61754478081056915016992332637935124320515970168017/935794836016133973900250"",""-233312674083107476382632599562969833651273303906159/37431793440645358956010000""]",-233312674083107476382632599562969833651273303906159/37431793440645358956010000,"[""-4932103466200/166192786319"",""251364674840/23741826617"",""1""]",57,6480840679043257818060694501675705000157000958464601/37431793440645358956010000,1872962956243501509419540710984278745045373276996269689/37431793440645358956010000,"{""place"":""37"",""prime"":37,""valuation"":0,""unit_modulus"":37,""unit_residue"":24,""unit_is_square"":false,""is_square"":false}"
58,10,"[""111666058882709112540309751264172176933889147841/373730925557186560000"",""-208772269966576847269194140644416671658296878809/186865462778593280000"",""946083762814610630329094655848640836320235105841/373730925557186560000""]",946083762814610630329094655848640836320235105841/373730925557186560000,"[""153594414780865969/1301319159439687969"",""-4318226348622314/9784354582253293"",""1""]",58,194914733458435907756535676722530261516297980401/1080082374860269158400,194914733458435907756535676722530261516297980401/3737309255571865600,"{""place"":""13"",""prime"":13,""valuation"":1,""unit_modulus"":13,""unit_residue"":1,""unit_is_square"":true,""is_square"":false}"
59,10,"[""-345731012877447957851808955976852461564981208589375/5535652548325763607103684"",""158907671122816454633066494807928527251498201280125/1383913137081440901775921"",""84185741546885449870537761330996786500401224158025/1383913137081440901775921""]",84185741546885449870537761330996786500401224158025/1383913137081440901775921,"[""-18502449344776575/18021437019025444"",""8504244704505405/4505359254756361"",""1""]",59,-64468411116840026878687863928577057518959492151494975/1599803586466145682452964676,-64468411116840026878687863928577057518959492151494975/5535652548325763607103684,"{""place"":""real"",""sign"":-1}"
60,10,"[""75185348180313471321052143353357380713507919406798400/33021215301383099001422761"",""-31188976465117413856612010353441135368321294652800/272902605796554537201841"",""-68801416325357602530755226611439726085849661336000/272902605796554537201841""]",-68801416325357602530755226611439726085849661336000/272902605796554537201841,"[""-9876390730407038726289/1093573044649672502135"",""4097001949265756838/9037793757435309935"",""1""]",60,74260116636560689348508388482523667536811030166323200/33021215301383099001422761,21461173707966039221718924271449339918138387718067404800/33021215301383099001422761,"{""place"":""2"",""prime"":2,""valuation"":14,""unit_modulus"":8,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
61,10,"[""20746191482576109828039770590151389677778404/1050806000244947521"",""-71231412322865739594357266573126749779996480/1050806000244947521"",""76457482018421762488849863195595271444467200/1050806000244947521""]",76457482018421762488849863195595271444467200/1050806000244947521,"[""1848500331889/6812415715200"",""-26444871707/28385065480"",""1""]",61,10556971100913975375055092989912265816949284/1050806000244947521,3050964648164138883390921874084644821098343076/1050806000244947521,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
62,10,"[""6314370134006283084861198952101440540307436881/123543465468150016"",""1126891577130658219604328214374838784261370105/61771732734075008"",""-712339725509043331442119403182962278134694175/123543465468150016""]",-712339725509043331442119403182962278134694175/123543465468150016,"[""-92672759450041/10454643397175"",""-5707957718/1804079965"",""1""]",62,120836553254097597496346806274681450727518547609/2231503845018459664,120836553254097597496346806274681450727518547609/7721466591759376,"{""place"":""47"",""prime"":47,""valuation"":0,""unit_modulus"":47,""unit_residue"":31,""unit_is_square"":false,""is_square"":false}"
63,10,"[""2812845406727752553523379908249552731430804602424961/125212246515919880847360000"",""-2717943137068033856384390999348075923886900770337689/62606123257959940423680000"",""5961506215572378372894235907068666854726022574238961/125212246515919880847360000""]",5961506215572378372894235907068666854726022574238961/125212246515919880847360000,"[""326564265628384975681/692115853459654069681"",""-631092702395527029938/692115853459654069681"",""1""]",63,5893356785035324399730970347142349968395728546945201/361863392431008455648870400,5893356785035324399730970347142349968395728546945201/1252122465159198808473600,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":8,""unit_is_square"":false,""is_square"":false}"
64,10,"[""3041676896260597452601308168757155756600042681/1599033745926400"",""-2388049661503588205775789161048277008265073203/159903374592640"",""768202584382758399053947155253187192558499057/63961349837056""]",768202584382758399053947155253187192558499057/63961349837056,"[""8656267489/54655435825"",""-13592237014/10931087165"",""1""]",64,-10375945178837292584796018839489758889507044431/28882547035795600,-10375945178837292584796018839489758889507044431/99939609120400,"{""place"":""real"",""sign"":-1}"
66,10,"[""8445403224837892894840343645465159466240884409/16601747651962802176"",""6862177377442687434772231503940436820524508651/8300873825981401088"",""6030396242111135876091679428815279301080242689/16601747651962802176""]",6030396242111135876091679428815279301080242689/16601747651962802176,"[""6921459272592811489/4942231990133323369"",""1022531105756194322/449293817284847579"",""1""]",66,798734297664076346960113010450173288786709415201/1199476267854312457216,798734297664076346960113010450173288786709415201/4150436912990700544,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":21,""unit_is_square"":false,""is_square"":false}"
67,10,"[""1292244127194969059078903680261354618635201/6425638425606400"",""-1191949889083327327033889707864145511344679/16064096064016000"",""76910035365932195476452308741034747994161/160640960640160000""]",76910035365932195476452308741034747994161/160640960640160000,"[""568067838025/1352379681"",""-69863826530/450793227"",""1""]",67,34098677991677530878191732068969696178068314/181348584472680625,34098677991677530878191732068969696178068314/627503752500625,"{""place"":""2"",""prime"":2,""valuation"":1,""unit_modulus"":8,""unit_residue"":5,""unit_is_square"":false,""is_square"":false}"
68,10,"[""-1162899675018824402607489264102886919654320959/6601205264832962560000"",""3320805915497747919167651865016108843351394391/3300602632416481280000"",""4468034961082662048774070560522526405594297041/6601205264832962560000""]",4468034961082662048774070560522526405594297041/6601205264832962560000,"[""-11300296437500391/43417433711581609"",""64538828348923518/43417433711581609"",""1""]",68,428565119500739938405027279506115198920921441/19077483215367261798400,428565119500739938405027279506115198920921441/66012052648329625600,"{""place"":""23"",""prime"":23,""valuation"":1,""unit_modulus"":23,""unit_residue"":21,""unit_is_square"":false,""is_square"":false}"
70,10,"[""390002784614327387634896006423079754839540227249440162640625/3153727913557254225116947567930564"",""20434248337307901957037452386633597738597385784507913578125/788431978389313556279236891982641"",""-19265398284576882067208763190984040909965120759417340484375/788431978389313556279236891982641""]",-19265398284576882067208763190984040909965120759417340484375/788431978389313556279236891982641,"[""-67279077119614570929/13293835511558261084"",""-3525096291624243789/3323458877889565271"",""1""]",70,402027117910403665298619621689508227039938574490618675140625/3153727913557254225116947567930564,116185837076106659271301070668267877614542248027788797115640625/3153727913557254225116947567930564,"{""place"":""3"",""prime"":3,""valuation"":10,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
71,10,"[""188811436900998807040577211051580460871408575025/94841112752408542314496"",""120536125280940725415946687597227336484635534135/47420556376204271157248"",""94119233202001737264265943683775194455343061409/94841112752408542314496""]",94119233202001737264265943683775194455343061409/94841112752408542314496,"[""46206016754954557225/23032899583172242201"",""58995305747593580030/23032899583172242201"",""1""]",71,16927065785465656215632942405494479565841997554169/6852270396361517182222336,16927065785465656215632942405494479565841997554169/23710278188102135578624,"{""place"":""11"",""prime"":11,""valuation"":0,""unit_modulus"":11,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
72,10,"[""245927320395122302876220758866914731063048713456545625/491997220039628480494637056"",""-210684931829055480329284674745978093870781016811447125/245998610019814240247318528"",""1045434313623422209792673761042020092437836434189645025/491997220039628480494637056""]",1045434313623422209792673761042020092437836434189645025/491997220039628480494637056,"[""127633655913278859601425/542569256846150780414809"",""-218686464374745601443930/542569256846150780414809"",""1""]",72,14748010342559371606443706584456693133585485595470221025/35546799147863157715737527296,14748010342559371606443706584456693133585485595470221025/122999305009907120123659264,"{""place"":""13"",""prime"":13,""valuation"":1,""unit_modulus"":13,""unit_residue"":10,""unit_is_square"":true,""is_square"":false}"
73,10,"[""-12029589153103609699899359478970261083767975/1158702580425891361"",""3429755640589378605919497530304223706975800/1158702580425891361"",""39525154836763191812597781310586840032488400/1158702580425891361""]",39525154836763191812597781310586840032488400/1158702580425891361,"[""-140214076161762599/460695955618530256"",""4997053645029959/57586994452316282"",""1""]",73,-10193450982858187432718479181943281951075375/1158702580425891361,-2945907334046016168055640483581608483860783375/1158702580425891361,"{""place"":""real"",""sign"":-1}"
74,10,"[""2322909294687778101764024499970189675661473374322692201/73240369963080768111579136"",""-8645194012040386974841356412733323615186762723828968525/36620184981540384055789568"",""6101044119931668325748644420658689628820313917070994625/73240369963080768111579136""]",6101044119931668325748644420658689628820313917070994625/73240369963080768111579136,"[""11056338769732812677809/29039106603651330951625"",""-470268377655426513334/165937752020864748295"",""1""]",74,-38894901495991646273069368455371496455875291849414447959/5291616729832585496061592576,-38894901495991646273069368455371496455875291849414447959/18310092490770192027894784,"{""place"":""real"",""sign"":-1}"
