index,shell_norm,branch_ascending,constant_representative,monic_branch_ascending,extension_representative_index,value_at_control,homogeneous_value_at_3_17,small_witness
198,14,"[""6132385866822638674175253823200786231372786412953509090989809051349430625/302823045019474871371717152056233171525247696896"",""-22686979635481749558861604514134204586652023768048624975392089245139935625/151411522509737435685858576028116585762623848448"",""69006459607070392122964228641627691758910248720953619163751652548073200625/302823045019474871371717152056233171525247696896""]",69006459607070392122964228641627691758910248720953619163751652548073200625/302823045019474871371717152056233171525247696896,"[""205102766563969/2307978669895441"",""-1517569960296274/2307978669895441"",""1""]",198,19811432289059412734860688059496894714605271872796738069956646442092705625/21878965002657059456606564236062846642699146100736,19811432289059412734860688059496894714605271872796738069956646442092705625/75705761254868717842929288014058292881311924224,"{""place"":""41"",""prime"":41,""valuation"":0,""unit_modulus"":41,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
200,14,"[""1028671794200191289773119587887619864917008349031210261560840643953545/80403850760035351964515596694998331519303936"",""-1322731465096293455951797015100272143342704331139536476498451792767043/40201925380017675982257798347499165759651968"",""1366464354724639970546768065335435908208903661694587930078039125672705/80403850760035351964515596694998331519303936""]",1366464354724639970546768065335435908208903661694587930078039125672705/80403850760035351964515596694998331519303936,"[""1070003339326989/1421368244828261"",""-13758781884229206/7106841224141305"",""1""]",200,682287962017793398329176476356692599663826968941556001402121935044494/90768409647071159053691435331462960191714209,682287962017793398329176476356692599663826968941556001402121935044494/314077542031388093611389049589837232497281,"{""place"":""2"",""prime"":2,""valuation"":1,""unit_modulus"":8,""unit_residue"":7,""unit_is_square"":false,""is_square"":false}"
201,14,"[""608203437140495037027701810919058523686783123814305352359560321/23864072386670085456082735128678400"",""-5251784863673508783391782774633938053565344421120194006929837/477281447733401709121654702573568"",""883336059237817971185880585931599617840819765626128222346305/954562895466803418243309405147136""]",883336059237817971185880585931599617840819765626128222346305/954562895466803418243309405147136,"[""10132903058721/367917957625"",""-174993509274/14716718305"",""1""]",201,40644373136141031836718400103031495305725719738935907741067441761/1724179229936913674201977613047014400,40644373136141031836718400103031495305725719738935907741067441761/5966018096667521364020683782169600,"{""place"":""3"",""prime"":3,""valuation"":5,""unit_modulus"":3,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
202,14,"[""46551847918905114034605370642557641309645176911774536742041438139444900/174609510475029837068445080230012025968655281"",""-10290667892402247969809202286937381686461506742491346322924408800177600/174609510475029837068445080230012025968655281"",""-1720030800709544290168617858831934005909223726116336873769386102182400/174609510475029837068445080230012025968655281""]",-1720030800709544290168617858831934005909223726116336873769386102182400/174609510475029837068445080230012025968655281,"[""-2947939625923235027569/108922570894568994944"",""1404453101543827579/234746920031398696"",""1""]",202,44682282729566357823284308783169081198701509585123651986563689614432100/174609510475029837068445080230012025968655281,12913179708844677410929165238335864466424736270100735424116906298570876900/174609510475029837068445080230012025968655281,"{""place"":""11"",""prime"":11,""valuation"":3,""unit_modulus"":11,""unit_residue"":2,""unit_is_square"":false,""is_square"":false}"
203,14,"[""19408771138426210063544973355799821105260257225327544074612818944/13344292306774543304786466706519140625"",""-180170298599543804459621877785729157384043523604167174306555904/1906327472396363329255209529502734375"",""-30276917313917844685647367364469933929581761887658912108125184/272332496056623332750744218500390625""]",-30276917313917844685647367364469933929581761887658912108125184/272332496056623332750744218500390625,"[""-1148527745101485767041/87791240714578107399"",""107693987033671294/126682887034023243"",""1""]",203,5531461941869699800666041800448911749371165243200514976095981010944/3856500476657843015083288878184031640625,5531461941869699800666041800448911749371165243200514976095981010944/13344292306774543304786466706519140625,"{""place"":""23"",""prime"":23,""valuation"":0,""unit_modulus"":23,""unit_residue"":22,""unit_is_square"":false,""is_square"":false}"
204,14,"[""5480567699448237207308734547967861414875191379826622724851776/5717025876112317463117865437890625"",""-843648037763924279592620046117012009496869048496818941557632/5717025876112317463117865437890625"",""-327521274253226344775490119965452038454891561256295759377344/5717025876112317463117865437890625""]",-327521274253226344775490119965452038454891561256295759377344/5717025876112317463117865437890625,"[""-11862331801708129/708898464606351"",""608673741884026/236299488202117"",""1""]",204,1537910323746301377550021250931055268068495963245249539628327936/1652220478196459746841063111550390625,1537910323746301377550021250931055268068495963245249539628327936/5717025876112317463117865437890625,"{""place"":""31"",""prime"":31,""valuation"":0,""unit_modulus"":31,""unit_residue"":27,""unit_is_square"":false,""is_square"":false}"
205,14,"[""39986260524982616379599388177709491151716008762201111380390329225/47436630780758560384434234265873441"",""-1305245911639479391801150673002803301304509723720259487555597000/47436630780758560384434234265873441"",""3005942206986656402340063748158823025494084163305459404164994000/47436630780758560384434234265873441""]",3005942206986656402340063748158823025494084163305459404164994000/47436630780758560384434234265873441,"[""1457922405503612281/109598407945068240"",""-12793018288121/29461937619642"",""1""]",205,11516515230089242592343425072768329381708843293836137089704954645025/13709186295639223951101493702837424449,11516515230089242592343425072768329381708843293836137089704954645025/47436630780758560384434234265873441,"{""place"":""11"",""prime"":11,""valuation"":4,""unit_modulus"":11,""unit_residue"":10,""unit_is_square"":false,""is_square"":false}"
207,14,"[""145843797262458576831675691943039631192205572207174990888381596240625/80343260678673477576900899779850260175521"",""-6409479434462184366023333485870226303569123260932958577140049317000/4228592667298604082994784198939487377659"",""47330207503911265473931839775042286460318494022601032570381183099600/80343260678673477576900899779850260175521""]",47330207503911265473931839775042286460318494022601032570381183099600/80343260678673477576900899779850260175521,"[""63704902811625/20673942434896"",""-6649228635435/2584242804362"",""1""]",207,125827140845646620909837548033583338077964693336446175773795862191225/80343260678673477576900899779850260175521,36364043704391873442943051381705584704531796374232944798627004173264025/80343260678673477576900899779850260175521,"{""place"":""7"",""prime"":7,""valuation"":0,""unit_modulus"":7,""unit_residue"":6,""unit_is_square"":false,""is_square"":false}"
208,14,"[""-7996458858603570438918430708474394824058626113986129403062156920521776490096/106931995585437629966910183098259712226455473846025"",""100789730674967910474495949382706948428710834341257598109762853978596745074656/534659977927188149834550915491298561132277369230125"",""1058179091645289308151430273671815087382792806611625742563694826901498254029456/2673299889635940749172754577456492805661386846150625""]",1058179091645289308151430273671815087382792806611625742563694826901498254029456/2673299889635940749172754577456492805661386846150625,"[""-3259904876557775/17255453905897321"",""8217760895018230/17255453905897321"",""1""]",208,-78025682029364621027080700045297214422343168363406455834122154131882978756544/2673299889635940749172754577456492805661386846150625,-22549422106486375476826322313090894968057175657024465736061302544114180860641216/2673299889635940749172754577456492805661386846150625,"{""place"":""real"",""sign"":-1}"
209,14,"[""1206479333373398356646293732671978134949908057451225/212067210792307071232577536"",""-6854153467251069203788159098205577113464037423621725/106033605396153535616288768"",""29037567001237906021913409164862218060117080595482225/212067210792307071232577536""]",29037567001237906021913409164862218060117080595482225/212067210792307071232577536,"[""10398423866769/250269458735209"",""-6949963567434/14721732866777"",""1""]",209,-77087390400999809271965966082186178228161473396775/53016802698076767808144384,-22278255825888944879598164197751805507938665811667975/53016802698076767808144384,"{""place"":""real"",""sign"":-1}"
