mask	hex	bit_vector	representative_norm	half_representative_norm
41726	0x0a2fe	01111111010001010	70	35/2
41727	0x0a2ff	11111111010001010	94	47/2
41737	0x0a309	10010000110001010	42	21/2
41748	0x0a314	00101000110001010	38	19/2
41751	0x0a317	11101000110001010	70	35/2
41752	0x0a318	00011000110001010	38	19/2
41753	0x0a319	10011000110001010	58	29/2
41756	0x0a31c	00111000110001010	54	27/2
41758	0x0a31e	01111000110001010	66	33/2
41769	0x0a329	10010100110001010	34	17/2
41785	0x0a339	10011100110001010	46	23/2
41787	0x0a33b	11011100110001010	58	29/2
41791	0x0a33f	11111100110001010	74	37/2
41792	0x0a340	00000010110001010	22	11/2
41793	0x0a341	10000010110001010	38	19/2
41796	0x0a344	00100010110001010	34	17/2
41798	0x0a346	01100010110001010	46	23/2
41804	0x0a34c	00110010110001010	50	25/2
41809	0x0a351	10001010110001010	54	27/2
41811	0x0a353	11001010110001010	70	35/2
41814	0x0a356	01101010110001010	66	33/2
41815	0x0a357	11101010110001010	90	45/2
41816	0x0a358	00011010110001010	54	27/2
41825	0x0a361	10000110110001010	30	15/2
41832	0x0a368	00010110110001010	26	13/2
41840	0x0a370	00001110110001010	26	13/2
41841	0x0a371	10001110110001010	42	21/2
41844	0x0a374	00101110110001010	38	19/2
41846	0x0a376	01101110110001010	50	25/2
41855	0x0a37f	11111110110001010	94	47/2
41856	0x0a380	00000001110001010	22	11/2
41857	0x0a381	10000001110001010	38	19/2
41858	0x0a382	01000001110001010	30	15/2
41859	0x0a383	11000001110001010	50	25/2
41860	0x0a384	00100001110001010	34	17/2
41863	0x0a387	11100001110001010	66	33/2
41866	0x0a38a	01010001110001010	46	23/2
41867	0x0a38b	11010001110001010	70	35/2
41868	0x0a38c	00110001110001010	50	25/2
41870	0x0a38e	01110001110001010	62	31/2
41873	0x0a391	10001001110001010	54	27/2
41874	0x0a392	01001001110001010	46	23/2
41880	0x0a398	00011001110001010	54	27/2
41882	0x0a39a	01011001110001010	66	33/2
41886	0x0a39e	01111001110001010	86	43/2
41887	0x0a39f	11111001110001010	114	57/2
41888	0x0a3a0	00000101110001010	18	9/2
41891	0x0a3a3	11000101110001010	42	21/2
41892	0x0a3a4	00100101110001010	26	13/2
41893	0x0a3a5	10100101110001010	42	21/2
41894	0x0a3a6	01100101110001010	34	17/2
41895	0x0a3a7	11100101110001010	54	27/2
41897	0x0a3a9	10010101110001010	46	23/2
41899	0x0a3ab	11010101110001010	58	29/2
41901	0x0a3ad	10110101110001010	58	29/2
41909	0x0a3b5	10101101110001010	58	29/2
41910	0x0a3b6	01101101110001010	50	25/2
41913	0x0a3b9	10011101110001010	62	31/2
41917	0x0a3bd	10111101110001010	78	39/2
41919	0x0a3bf	11111101110001010	94	47/2
41923	0x0a3c3	11000011110001010	66	33/2
41924	0x0a3c4	00100011110001010	46	23/2
41931	0x0a3cb	11010011110001010	90	45/2
41933	0x0a3cd	10110011110001010	90	45/2
41934	0x0a3ce	01110011110001010	82	41/2
41935	0x0a3cf	11110011110001010	110	55/2
41936	0x0a3d0	00001011110001010	50	25/2
41937	0x0a3d1	10001011110001010	70	35/2
41943	0x0a3d7	11101011110001010	110	55/2
41950	0x0a3de	01111011110001010	110	55/2
41954	0x0a3e2	01000111110001010	34	17/2
41955	0x0a3e3	11000111110001010	54	27/2
41956	0x0a3e4	00100111110001010	34	17/2
41958	0x0a3e6	01100111110001010	46	23/2
41961	0x0a3e9	10010111110001010	58	29/2
41962	0x0a3ea	01010111110001010	50	25/2
41963	0x0a3eb	11010111110001010	74	37/2
41967	0x0a3ef	11110111110001010	90	45/2
41968	0x0a3f0	00001111110001010	38	19/2
41970	0x0a3f2	01001111110001010	50	25/2
41974	0x0a3f6	01101111110001010	66	33/2
41975	0x0a3f7	11101111110001010	90	45/2
41977	0x0a3f9	10011111110001010	78	39/2
41978	0x0a3fa	01011111110001010	70	35/2
41989	0x0a405	10100000001001010	50	25/2
41993	0x0a409	10010000001001010	54	27/2
41996	0x0a40c	00110000001001010	50	25/2
41997	0x0a40d	10110000001001010	70	35/2
42005	0x0a415	10101000001001010	66	33/2
42006	0x0a416	01101000001001010	62	31/2
42008	0x0a418	00011000001001010	50	25/2
42009	0x0a419	10011000001001010	70	35/2
42013	0x0a41d	10111000001001010	90	45/2
42015	0x0a41f	11111000001001010	110	55/2
42021	0x0a425	10100100001001010	38	19/2
42022	0x0a426	01100100001001010	34	17/2
42029	0x0a42d	10110100001001010	54	27/2
42037	0x0a435	10101100001001010	50	25/2
42038	0x0a436	01101100001001010	46	23/2
42041	0x0a439	10011100001001010	54	27/2
42044	0x0a43c	00111100001001010	50	25/2
42045	0x0a43d	10111100001001010	70	35/2
42049	0x0a441	10000010001001010	50	25/2
42053	0x0a445	10100010001001010	66	33/2
42055	0x0a447	11100010001001010	86	43/2
42061	0x0a44d	10110010001001010	90	45/2
42062	0x0a44e	01110010001001010	86	43/2
42068	0x0a454	00101010001001010	66	33/2
42069	0x0a455	10101010001001010	86	43/2
42076	0x0a45c	00111010001001010	90	45/2
42077	0x0a45d	10111010001001010	114	57/2
42078	0x0a45e	01111010001001010	110	55/2
42079	0x0a45f	11111010001001010	138	69/2
42085	0x0a465	10100110001001010	50	25/2
42092	0x0a46c	00110110001001010	50	25/2
42093	0x0a46d	10110110001001010	70	35/2
42094	0x0a46e	01110110001001010	66	33/2
42095	0x0a46f	11110110001001010	90	45/2
42097	0x0a471	10001110001001010	50	25/2
42101	0x0a475	10101110001001010	66	33/2
42103	0x0a477	11101110001001010	86	43/2
42109	0x0a47d	10111110001001010	90	45/2
42110	0x0a47e	01111110001001010	86	43/2
42113	0x0a481	10000001001001010	50	25/2
42117	0x0a485	10100001001001010	66	33/2
42129	0x0a491	10001001001001010	66	33/2
42133	0x0a495	10101001001001010	86	43/2
42134	0x0a496	01101001001001010	82	41/2
42135	0x0a497	11101001001001010	106	53/2
42138	0x0a49a	01011001001001010	86	43/2
42140	0x0a49c	00111001001001010	90	45/2
42141	0x0a49d	10111001001001010	114	57/2
42167	0x0a4b7	11101101001001010	86	43/2
42177	0x0a4c1	10000011001001010	66	33/2
42179	0x0a4c3	11000011001001010	86	43/2
42183	0x0a4c7	11100011001001010	106	53/2
42187	0x0a4cb	11010011001001010	114	57/2
42193	0x0a4d1	10001011001001010	86	43/2
42196	0x0a4d4	00101011001001010	86	43/2
42198	0x0a4d6	01101011001001010	106	53/2
42204	0x0a4dc	00111011001001010	114	57/2
42207	0x0a4df	11111011001001010	166	83/2
42213	0x0a4e5	10100111001001010	66	33/2
42215	0x0a4e7	11100111001001010	86	43/2
42219	0x0a4eb	11010111001001010	94	47/2
42221	0x0a4ed	10110111001001010	90	45/2
42222	0x0a4ee	01110111001001010	86	43/2
42229	0x0a4f5	10101111001001010	86	43/2
42233	0x0a4f9	10011111001001010	94	47/2
42234	0x0a4fa	01011111001001010	90	45/2
42236	0x0a4fc	00111111001001010	90	45/2
42237	0x0a4fd	10111111001001010	114	57/2
42238	0x0a4fe	01111111001001010	110	55/2
42239	0x0a4ff	11111111001001010	138	69/2
42255	0x0a50f	11110000101001010	114	57/2
42257	0x0a511	10001000101001010	70	35/2
42266	0x0a51a	01011000101001010	86	43/2
42268	0x0a51c	00111000101001010	94	47/2
42270	0x0a51e	01111000101001010	110	55/2
42274	0x0a522	01000100101001010	34	17/2
42302	0x0a53e	01111100101001010	86	43/2
42303	0x0a53f	11111100101001010	114	57/2
42308	0x0a544	00100010101001010	66	33/2
42310	0x0a546	01100010101001010	82	41/2
42313	0x0a549	10010010101001010	94	47/2
42314	0x0a54a	01010010101001010	86	43/2
42316	0x0a54c	00110010101001010	90	45/2
42319	0x0a54f	11110010101001010	138	69/2
42322	0x0a552	01001010101001010	82	41/2
42326	0x0a556	01101010101001010	106	53/2
42327	0x0a557	11101010101001010	134	67/2
42329	0x0a559	10011010101001010	118	59/2
42330	0x0a55a	01011010101001010	110	55/2
42345	0x0a569	10010110101001010	74	37/2
42356	0x0a574	00101110101001010	66	33/2
42358	0x0a576	01101110101001010	82	41/2
42361	0x0a579	10011110101001010	94	47/2
42362	0x0a57a	01011110101001010	86	43/2
42364	0x0a57c	00111110101001010	90	45/2
42367	0x0a57f	11111110101001010	138	69/2
42372	0x0a584	00100001101001010	70	35/2
42375	0x0a587	11100001101001010	110	55/2
42377	0x0a589	10010001101001010	98	49/2
42393	0x0a599	10011001101001010	122	61/2
42395	0x0a59b	11011001101001010	142	71/2
42398	0x0a59e	01111001101001010	138	69/2
42399	0x0a59f	11111001101001010	170	85/2
42401	0x0a5a1	10000101101001010	58	29/2
