rank	mask	hex	multiplicity	witness
27662	113929	0x1bd09	20	1 0 0 1 2 -2 -4 0 -1 0 1 -3 -1 1 -2 -1 -1
27663	113942	0x1bd16	20	2 -1 1 0 1 -2 -2 2 -3 0 -1 -1 1 1 0 -1 -1
27664	113967	0x1bd2f	20	1 1 1 1 2 -1 -4 0 -1 0 1 -3 -1 1 -2 -1 -1
27665	113972	0x1bd34	20	0 0 1 0 1 -1 -2 2 -1 0 -1 -1 1 1 0 -1 -1
27666	113974	0x1bd36	20	0 1 1 2 3 -3 -6 2 -1 0 -1 -5 -1 3 -2 -1 -3
27667	114009	0x1bd59	20	1 0 0 1 3 -4 -5 2 -1 2 -1 -3 -1 3 -2 -1 -3
27668	114063	0x1bd8f	20	1 -1 1 1 2 0 -2 -1 -1 0 1 -1 -1 -1 -2 1 -1
27669	114075	0x1bd9b	20	1 -1 0 -1 -1 0 2 1 -1 -2 -1 1 1 -1 2 -1 1
27670	114090	0x1bdaa	20	0 1 0 1 2 -3 -4 1 1 2 -1 -3 -1 3 -2 -1 -3
27671	114107	0x1bdbb	20	1 1 2 3 5 -5 -10 3 -3 2 -1 -7 -1 5 -4 -1 -5
27672	114110	0x1bdbe	20	0 1 1 1 1 -3 -4 1 1 2 -1 -3 -1 3 -2 -1 -3
27673	114114	0x1bdc2	20	2 -1 0 0 2 0 -1 -1 -1 0 1 -1 -1 -1 -2 1 -1
27674	114122	0x1bdca	20	2 -1 0 -1 2 0 -1 -1 -1 -2 1 -1 1 -1 0 -1 -1
27675	114132	0x1bdd4	20	2 -2 -1 -2 1 0 1 -1 -1 -2 1 1 1 -1 0 -1 -1
27676	114133	0x1bdd5	20	1 0 1 0 1 0 -1 -1 -1 0 1 -1 -1 -1 -2 1 -1
27677	114155	0x1bdeb	20	1 -1 0 1 2 1 -1 -1 -1 0 1 -1 -1 -1 -2 1 -1
27678	114170	0x1bdfa	20	2 -1 0 -1 1 1 1 -1 -1 -2 1 1 1 -1 0 -1 -1
27679	114171	0x1bdfb	20	1 1 2 3 5 -5 -11 3 -3 2 -1 -7 -1 5 -4 -1 -5
27680	114186	0x1be0a	20	0 1 0 1 2 -2 -4 0 0 1 1 -3 -1 1 -2 -1 -1
