priority	mask	hex	multiplicity	witness_index	representative
43	32909	0x0808d	29	4	3 -2 1 -1 2 -2 -2 1 -2 0 0 -2 0 0 -2 -1 -2
44	35269	0x089c5	29	1	1 0 1 2 2 -2 -5 1 -1 2 0 -3 -2 2 -2 1 -2
44	35269	0x089c5	29	2	1 -2 -1 -2 -2 2 5 -1 1 -2 0 3 2 -2 2 -1 2
44	35269	0x089c5	29	3	1 0 -1 -2 0 0 1 -1 1 0 0 1 0 0 0 -1 0
44	35269	0x089c5	29	4	1 0 1 0 0 0 -1 1 -1 0 0 -1 0 0 0 1 0
45	36805	0x08fc5	29	1	1 0 1 2 2 0 -3 1 -1 1 1 -3 -2 0 -2 1 -2
45	36805	0x08fc5	29	2	1 0 1 2 2 -2 -5 1 -3 1 1 -3 -2 2 -2 1 -2
45	36805	0x08fc5	29	3	1 0 -1 0 2 0 -1 -1 -1 -1 1 -1 0 0 0 -1 0
45	36805	0x08fc5	29	4	1 0 -1 -2 0 0 1 -1 1 -1 1 1 0 0 0 -1 0
46	43403	0x0a98b	29	1	1 1 2 3 4 -6 -10 3 -3 2 -2 -7 -2 5 -4 -1 -4
46	43403	0x0a98b	29	2	1 1 0 1 2 -2 -4 1 -1 0 0 -3 0 1 -2 -1 -2
46	43403	0x0a98b	29	3	1 -1 0 -1 2 -2 -2 1 -1 0 0 -1 0 1 -2 -1 -2
46	43403	0x0a98b	29	4	1 -1 0 1 2 0 -2 -1 -3 0 2 -1 0 -1 -2 1 0
47	47011	0x0b7a3	29	1	1 1 0 0 2 -3 -4 1 -1 1 -1 -2 -1 3 -2 -1 -2
47	47011	0x0b7a3	29	2	1 -1 0 0 0 -1 0 1 -1 -1 -1 0 1 1 2 -1 0
47	47011	0x0b7a3	29	3	1 -1 0 -2 -2 1 4 1 1 -1 -1 2 1 -1 2 -1 0
47	47011	0x0b7a3	29	4	1 1 2 2 4 -5 -10 3 -3 3 -1 -6 -1 5 -4 -1 -4
