case,arm,family,stratum,success,cpu_seconds,calls,initial_rank,rank_lower_bound,literal_hit,independent_replay_cpu,search_phase_cpu,status
a72c599dd5ebc846f058,adaptive_local,07ca9,shallow,True,3.357769000000019,4,19,20,False,1.9368397650000002,1.264843098,CERTIFIED_NEXT_DIRECTION
5248e0f4794009cf4928,adaptive_uniform,07ca9,shallow,True,3.333951000000013,5,18,19,True,1.8452555080000002,1.330784276,CERTIFIED_NEXT_DIRECTION
5248e0f4794009cf4928,adaptive_local,07ca9,shallow,True,3.5095039999999926,6,18,19,True,1.888944636,1.462729814,CERTIFIED_NEXT_DIRECTION
5248e0f4794009cf4928,factor_free,07ca9,shallow,True,6.034452999999985,4,18,19,True,1.8127553239999994,4.052376202,CERTIFIED_NEXT_DIRECTION
3ebee6d951af20b104e1,adaptive_local,07ca9,shallow,True,3.5702119999999695,8,18,19,True,1.927008119,1.488581967,CERTIFIED_NEXT_DIRECTION
3ebee6d951af20b104e1,factor_free,07ca9,shallow,True,3.5320730000000253,1,18,19,True,1.832510247,1.5465814119999999,CERTIFIED_NEXT_DIRECTION
3ebee6d951af20b104e1,adaptive_uniform,07ca9,shallow,True,5.024840999999981,42,18,19,False,2.422757090000001,2.4369535129999997,CERTIFIED_NEXT_DIRECTION
54e8e63611816a695ee4,adaptive_local,08234,shallow,True,3.4598829999999907,6,18,19,True,1.8467095320000004,1.4503492169999999,CERTIFIED_NEXT_DIRECTION
54e8e63611816a695ee4,adaptive_uniform,08234,shallow,True,3.7925559999999905,16,18,19,True,1.9914625110000002,1.6336398,CERTIFIED_NEXT_DIRECTION
54e8e63611816a695ee4,factor_free,08234,shallow,True,4.301628000000051,2,18,19,True,1.7650267230000005,2.3754452569999995,CERTIFIED_NEXT_DIRECTION
92472945d6d364731a71,factor_free,08234,shallow,True,5.2523499999999785,4,18,19,True,1.8894916109999995,3.2077771979999996,CERTIFIED_NEXT_DIRECTION
92472945d6d364731a71,adaptive_uniform,08234,shallow,True,4.1001790000000256,20,18,19,True,2.091207002,1.8413733049999998,CERTIFIED_NEXT_DIRECTION
92472945d6d364731a71,adaptive_local,08234,shallow,True,3.704192999999975,10,18,19,False,1.9503538640000002,1.5887973759999998,CERTIFIED_NEXT_DIRECTION
2ee610e039ec279419f8,factor_free,08234,shallow,False,30.545773999999994,48,18,18,False,1.665083983999999,28.713807171,SURROGATE_EXHAUSTED
2ee610e039ec279419f8,adaptive_local,08234,shallow,False,13.543043000000011,144,18,18,False,2.4964504530000013,10.882069952,CALL_CAP
2ee610e039ec279419f8,adaptive_uniform,08234,shallow,False,16.318084999999996,144,18,18,False,2.4706627610000034,13.683987989999999,CALL_CAP
0f416425c0204db3de3a,adaptive_uniform,08234,shallow,True,3.391343000000006,5,19,20,False,1.9068493270000002,1.324111125,CERTIFIED_NEXT_DIRECTION
0f416425c0204db3de3a,factor_free,08234,shallow,True,3.896069999999952,1,19,20,True,1.8441951060000004,1.889630385,CERTIFIED_NEXT_DIRECTION
0f416425c0204db3de3a,adaptive_local,08234,shallow,True,3.4159230000000207,4,19,20,False,1.9017964519999997,1.350829845,CERTIFIED_NEXT_DIRECTION
58bbcfce20ce86266ab9,adaptive_uniform,08234,shallow,False,16.01984600000003,144,18,18,False,2.459865775000001,13.39561007,CALL_CAP
58bbcfce20ce86266ab9,adaptive_local,08234,shallow,False,13.944814000000008,144,18,18,False,2.523830753000002,11.261915963999998,CALL_CAP
58bbcfce20ce86266ab9,factor_free,08234,shallow,False,28.846187999999984,48,18,18,False,1.6801532240000014,27.003849231,SURROGATE_EXHAUSTED
7dc571cca730b5fcba13,adaptive_local,08234,shallow,True,3.137535000000014,3,18,19,False,1.7416605600000001,1.229691102,CERTIFIED_NEXT_DIRECTION
7dc571cca730b5fcba13,factor_free,08234,shallow,True,4.971486999999968,3,18,19,True,1.745271157,3.063790171,CERTIFIED_NEXT_DIRECTION
7dc571cca730b5fcba13,adaptive_uniform,08234,shallow,True,3.1265710000000126,3,18,19,False,1.764208292,1.197123514,CERTIFIED_NEXT_DIRECTION
073992362cc603c0c553,adaptive_local,08f72,shallow,True,3.7745070000000283,13,18,19,False,1.9281387689999996,1.6829222110000002,CERTIFIED_NEXT_DIRECTION
073992362cc603c0c553,adaptive_uniform,08f72,shallow,True,3.6581189999999424,12,18,19,False,1.9478540290000002,1.5425932900000001,CERTIFIED_NEXT_DIRECTION
073992362cc603c0c553,factor_free,08f72,shallow,True,3.9055890000000204,1,18,19,True,1.811548457,1.9270197119999999,CERTIFIED_NEXT_DIRECTION
0fa3f3160a4fd268506a,factor_free,08f72,shallow,True,6.916754000000026,5,18,19,False,1.870167962,4.884126774,CERTIFIED_NEXT_DIRECTION
0fa3f3160a4fd268506a,adaptive_uniform,08f72,shallow,True,6.832331000000011,69,18,19,False,2.692902719,3.970471207,CERTIFIED_NEXT_DIRECTION
0fa3f3160a4fd268506a,adaptive_local,08f72,shallow,True,3.7257169999999746,9,18,19,False,1.9548930539999996,1.6076875410000002,CERTIFIED_NEXT_DIRECTION
4ac6b4d471ed7e27934a,factor_free,08f72,shallow,True,30.331326999999987,44,18,19,True,2.103348294,28.066242651,CERTIFIED_NEXT_DIRECTION
4ac6b4d471ed7e27934a,adaptive_local,08f72,shallow,True,6.503416000000016,62,18,19,True,2.6477256750000007,3.688365742,CERTIFIED_NEXT_DIRECTION
4ac6b4d471ed7e27934a,adaptive_uniform,08f72,shallow,True,5.182856000000015,45,18,19,True,2.5188252350000004,2.501427473,CERTIFIED_NEXT_DIRECTION
22aa8773cb0db345a6ea,adaptive_uniform,08f72,shallow,True,3.471467999999959,3,20,21,True,2.0182496179999996,1.28110092,CERTIFIED_NEXT_DIRECTION
22aa8773cb0db345a6ea,factor_free,08f72,shallow,True,4.54348200000004,2,20,21,True,1.9879102850000003,2.391007986,CERTIFIED_NEXT_DIRECTION
22aa8773cb0db345a6ea,adaptive_local,08f72,shallow,True,3.4223759999999857,3,20,21,True,1.9895964580000005,1.2689108919999998,CERTIFIED_NEXT_DIRECTION
881d9abe68c03d892a03,adaptive_uniform,08f72,shallow,True,3.2313879999999244,2,19,20,False,1.843629708,1.221563834,CERTIFIED_NEXT_DIRECTION
881d9abe68c03d892a03,adaptive_local,08f72,shallow,True,3.25311099999999,2,19,20,False,1.856822087,1.2308878719999998,CERTIFIED_NEXT_DIRECTION
881d9abe68c03d892a03,factor_free,08f72,shallow,True,3.6886510000001635,1,19,20,True,1.819114357,1.706987618,CERTIFIED_NEXT_DIRECTION
3272faa8de11a3831f74,adaptive_local,08f72,shallow,True,3.776794999999993,10,18,19,True,1.9920558729999995,1.6068388070000001,CERTIFIED_NEXT_DIRECTION
3272faa8de11a3831f74,factor_free,08f72,shallow,True,6.6174499999999625,5,18,19,True,1.917009085000001,4.5366724089999995,CERTIFIED_NEXT_DIRECTION
3272faa8de11a3831f74,adaptive_uniform,08f72,shallow,True,7.512092999999936,78,18,19,False,2.75541531,4.586657934000001,CERTIFIED_NEXT_DIRECTION
967c708460504a7bc591,adaptive_local,103b2,shallow,False,12.954408000000058,144,18,18,False,2.594930941000001,10.193412395,CALL_CAP
967c708460504a7bc591,adaptive_uniform,103b2,shallow,False,21.41142500000001,144,18,18,False,2.536185336999999,18.712386316,CALL_CAP
967c708460504a7bc591,factor_free,103b2,shallow,False,32.881877999999915,48,18,18,False,1.7331634780000016,30.988280647,SURROGATE_EXHAUSTED
8a064098f8a43a411917,factor_free,103b2,shallow,True,4.939358000000084,3,18,19,True,1.8521115709999996,2.923798261,CERTIFIED_NEXT_DIRECTION
8a064098f8a43a411917,adaptive_uniform,103b2,shallow,True,3.417622999999935,6,18,19,False,1.9034829039999996,1.349857143,CERTIFIED_NEXT_DIRECTION
8a064098f8a43a411917,adaptive_local,103b2,shallow,True,3.3924690000000055,4,18,19,True,1.894124508,1.335474283,CERTIFIED_NEXT_DIRECTION
b5e45faeb6de026f6c3f,factor_free,103b2,shallow,True,13.597525000000019,16,18,19,False,1.8801593059999995,11.552272168,CERTIFIED_NEXT_DIRECTION
b5e45faeb6de026f6c3f,adaptive_local,103b2,shallow,True,4.304326999999944,23,18,19,False,2.074268934000001,2.069712622,CERTIFIED_NEXT_DIRECTION
b5e45faeb6de026f6c3f,adaptive_uniform,103b2,shallow,True,3.8171140000000605,16,18,19,False,2.0470334809999997,1.605857467,CERTIFIED_NEXT_DIRECTION
a6547c064e2c20cb7ebf,adaptive_uniform,103b2,shallow,True,4.451163999999949,31,18,19,True,2.198582187,2.092356323,CERTIFIED_NEXT_DIRECTION
