trial	slot	rank_before	candidate_norm	orthogonal_height	orthogonal_ratio	new_block_dim	new_block_norm	new_block_projection_share	previous_coefficient	previous_abs_coefficient	previous_coeff_num	previous_coeff_den	previous_coeff_rational	previous_coeff_rational_error	previous_residual_corr	previous_energy_share	last_increment_corr	new_block_max_energy_share	new_block_last_energy_share	alpha_l2	alpha_max_abs	alpha_coefficients	alpha_rationals
109	3	19	59.482395671407495	2.2630587711110763	0.03804585786377301	2	19.761247681664962	0.34535960659765336	-4.0313096689918195	4.0313096689918195	-4	1	-4.0	0.03130966899181953	0.2772742262503656	0.9951535861715375	0.9975738499838183	0.9951535861715375	0.9951535861715375	13.730575167924385	13.12544234663026	13.1254423466303 -4.03130966899182	105/8:0.000442347 -4/1:0.0313097
109	4	20	66.10511505016771	3.8263785047293766	0.05788324400956729	3	9.223900833339018	0.14810674308733437	-1.5415368664522098	1.5415368664522098	-17	11	-1.5454545454545454	0.003917679002335639	0.3089858542362648	0.5830274981089925	0.7635623734240657	0.5830274981089925	0.5830274981089925	26.03409803574557	24.76584980285271	24.7658498028527 -7.87722084029135 -1.54153686645221	223/9:0.011928 -63/8:0.00222084 -17/11:0.00391768
110	1	17	57.00214362893214	0.6123097572334188	0.010741872467452847	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
110	2	18	65.33169856086866	0.6997944294242444	0.01071140724700821	1	21.713105559482276	0.33595026869893063	-5.954912464257346	5.954912464257346	-71	12	-5.916666666666667	0.0382457975906787	1.0	1.0	1.0	1.0	1.0	5.954912464257346	5.954912464257346	-5.95491246425735	-71/12:0.0382458
110	3	19	60.18075590205092	0.7475727980497808	0.012422123764389342	2	37.37711215132584	0.6288929887184446	-7.164188630823056	7.164188630823056	-43	6	-7.166666666666667	0.0024780358436107264	0.021297424377705168	0.960945509600536	0.9802782817141957	0.960945509600536	0.960945509600536	44.78289881608998	44.20613563335003	-44.20613563335 -7.16418863082306	-221/5:0.00613563 -43/6:0.00247804
110	4	20	65.62269142676797	2.8555158844519752	0.04351415375333401	3	39.437409865456765	0.6283126415154541	-7.15724580452197	7.15724580452197	-43	6	-7.166666666666667	0.009420862144697395	0.02585033244089883	0.9710396678221922	0.9854134501934668	0.9710396678221922	0.9710396678221922	328.259318579752	323.94627122992404	-323.946271229924 -52.5525206166676 -7.15724580452197	-3887/12:0.0296046 -473/9:0.00303494 -43/6:0.00942086
111	1	17	60.591037147948946	0.46683463917428014	0.007704681437196406	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
111	2	18	64.28202705108012	0.3925885552142816	0.006107283376461057	1	5.565430967851336	0.08711034403928067	3.4527717007073013	3.4527717007073013	38	11	3.4545454545454546	0.001773753838153258	1.0	1.0	1.0	1.0	1.0	3.4527717007073013	3.4527717007073013	3.4527717007073	38/11:0.00177375
111	3	19	65.3502258219614	1.116277471815863	0.017081463113180706	2	38.860236827962915	0.6049797315296883	9.350928998978784	9.350928998978784	103	11	9.363636363636363	0.01270736465757949	0.08880892816518186	0.8833680972564102	0.9398766393822171	0.8833680972564102	0.8833680972564102	36.61661723061265	35.40249686490003	-35.4024968649 9.35092899897878	-177/5:0.00249686 103/11:0.0127074
111	4	20	66.46991478213846	0.9197532391682302	0.013837135825776366	3	39.51773755797219	0.6028625502633894	5.542964095921923	5.542964095921923	61	11	5.545454545454546	0.002490449532622563	0.2009448943227948	0.8678890687934249	0.9316056401683197	0.8678890687934249	0.8678890687934249	216.25018028092458	209.0339704695488	209.033970469549 -55.1200073503216 5.54296409592192	209/1:0.0339705 -441/8:0.00499265 61/11:0.00249045
