any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[16, 18]",,24,24,"{""amplifier"": 11, ""deep amplifier"": 2, ""no seed"": 6, ""seed only"": 5}",compact_r17_wide,,"[2, 24]",ALL,0,4,"[13, 18]",5,"{""17"": 6, ""18"": 2, ""19"": 5, ""20"": 2, ""21"": 1, ""22"": 1, ""23"": 2, ""24"": 1, ""25"": 3, ""26"": 1}",24,"[18, 24]",0
"[4, 4]",,4,4,"{""amplifier"": 4}",compact_r17_wide,,"[0, 4]",074d9,0,1,"[4, 4]",1,"{""19"": 1, ""22"": 1, ""23"": 1, ""25"": 1}",4,"[4, 4]",0
"[4, 4]",,4,4,"{""amplifier"": 1, ""deep amplifier"": 2, ""seed only"": 1}",compact_r17_wide,,"[2, 4]",07ca9,0,1,"[3, 4]",0,"{""19"": 1, ""24"": 1, ""25"": 1, ""26"": 1}",4,"[4, 4]",0
"[3, 3]",,4,4,"{""amplifier"": 2, ""no seed"": 1, ""seed only"": 1}",compact_r17_wide,,"[0, 4]",08234,0,1,"[2, 3]",2,"{""17"": 1, ""19"": 2, ""25"": 1}",4,"[3, 4]",0
"[2, 2]",,4,4,"{""amplifier"": 2, ""no seed"": 2}",compact_r17_wide,,"[0, 4]",08f72,0,0,"[2, 2]",1,"{""17"": 2, ""19"": 1, ""20"": 1}",4,"[2, 4]",0
"[2, 3]",,4,4,"{""amplifier"": 1, ""no seed"": 1, ""seed only"": 2}",compact_r17_wide,,"[0, 4]",103b2,0,1,"[1, 3]",1,"{""17"": 1, ""18"": 1, ""21"": 1, ""23"": 1}",4,"[3, 4]",0
"[1, 2]",,4,4,"{""amplifier"": 1, ""no seed"": 2, ""seed only"": 1}",compact_r17_wide,,"[0, 4]",11952,0,0,"[1, 2]",0,"{""17"": 2, ""18"": 1, ""20"": 1}",4,"[2, 4]",0
"[4, 5]",,0,60,"{""amplifier"": 4, ""no seed"": 55, ""seed only"": 1}",corrected60_mw16,,"[0, 60]",ALL,0,0,"[4, 5]",0,"{""16"": 55, ""17"": 1, ""18"": 1, ""19"": 1, ""20"": 1, ""23"": 1}",60,"[5, 60]",0
"[0, 1]",,0,12,"{""no seed"": 11, ""seed only"": 1}",corrected60_mw16,,"[0, 12]",a1-fibration-01,0,0,"[0, 1]",0,"{""16"": 11, ""17"": 1}",12,"[1, 12]",0
"[1, 1]",,0,12,"{""amplifier"": 1, ""no seed"": 11}",corrected60_mw16,,"[0, 12]",a1-fibration-02,0,0,"[1, 1]",0,"{""16"": 11, ""19"": 1}",12,"[1, 12]",0
