attribution,batch_cpu_lower,batch_cpu_upper,batch_elapsed_lower,batch_elapsed_upper,call,deep_event,directions,id,point_search_cpu_sum,point_search_elapsed_sum,rank_after_call_attribution,rank_from_earlier_calls,timing_scope
ORIGINATING_CALL; may be certified by later reconciliation,0.0,186.61785686599998,0.0,200.0948038380011,47,False,1,broad-rank-v1:b-e7b3f865d871b05128c5,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,161.88315786399997,0.0,187.67551044598804,1,False,1,broad-rank-v1:b-bc2eef18d778fe12becc,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,161.88315786399997,0.0,187.67551044598804,6,False,1,broad-rank-v1:b-bc2eef18d778fe12becc,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,161.88315786399997,0.0,187.67551044598804,27,False,1,broad-rank-v1:b-bc2eef18d778fe12becc,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,134.842675813,0.0,151.3926002040098,1,False,1,broad-rank-v1:b-881a67d3e3564f617253,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.813729965,0.0,317.16464651501155,1,False,3,broad-rank-v1:b-d697f3aaef5558b4d618,,,20,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,237.813729965,0.0,317.16464651501155,2,False,1,broad-rank-v1:b-d697f3aaef5558b4d618,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,165.962967327,0.0,183.20625850500073,37,False,1,broad-rank-v1:b-cf7c189ed67cbefeccf7,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,167.711884339,0.0,189.57805504300632,5,False,1,broad-rank-v1:b-b0b4045b027fd7fa44a0,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,167.711884339,0.0,189.57805504300632,30,False,1,broad-rank-v1:b-b0b4045b027fd7fa44a0,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,167.711884339,0.0,189.57805504300632,31,False,1,broad-rank-v1:b-b0b4045b027fd7fa44a0,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,233.719076295,0.0,308.17735617900325,9,False,1,broad-rank-v1:b-cac4427829cba4f89872,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,181.73124081,0.0,193.32570321299136,57,False,1,broad-rank-v1:b-f405194f716e636ef1e2,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,178.013466299,0.0,198.60761877600453,7,False,1,broad-rank-v1:b-221578503a65b689155c,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,178.013466299,0.0,198.60761877600453,32,False,1,broad-rank-v1:b-221578503a65b689155c,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,178.013466299,0.0,198.60761877600453,39,False,1,broad-rank-v1:b-221578503a65b689155c,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,156.520407153,0.0,170.67633263899188,23,False,1,broad-rank-v1:b-91c07104aa9478c702d2,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,113.93000917999998,0.0,131.34401942099794,1,False,1,broad-rank-v1:b-78caba56c253b9926996,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,227.115368637,0.0,322.5799230779958,14,False,1,broad-rank-v1:b-b50415de075f9f9a1afc,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
