marked_U	frame_class	PGL2_family	deep_equation_rank	equation_support_count	equation_coordinate_input_bits	exact_quotient_target_count	exact_quotient_curve_ids	rigid_transfer_status	rigid_transfer_rank_vector	norm8_off_diagonal_status	norm8_off_diagonal_tests	norm8_off_diagonal_hits	rigid_branch_graph_edges	fitted_norm8_branch_graph_edges	native_branch_character_status	inherited_branch_character_count	complete_smooth_norm10_character_count	full_smooth_marking_saturation_index	low_genus_base_rank_status	maximum_certified_base_Jacobian_rank_lower_bound	marked_minimum_class_status	marked_norm8_class_count	Tate_quotient_status	matched_exact_curve_parameter_count	marked_quotient_transport_count	matched_parameter_height_bits_range	selected_initial_transport_count
norm12-orbit-135b7	alternate-Q80	norm12-orbit-08f72	28	11	3776	3	363,364,378	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	363:2,364:1,378:6	UNKNOWN			18	0	EXACT_COMPLETE_SMOOTH_LAYER	127	39147	2	UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	3	3	113-116	0
norm12-orbit-090d4	published-R17	norm12-orbit-0e80b	29	13	4404	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	102-102	0
norm12-orbit-103b2	published-R17	norm12-orbit-0e80b	30	14	4687	2	393,404	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	393:2,404:1	UNKNOWN			4	0	EXACT_COMPLETE_SMOOTH_LAYER		39120		EXACT_COMPLETE_NATIVE_RIGID_ATLAS	9	EXACT_MARKED_MINIMUM_CLASSES	63925	UNKNOWN	2	2	64-70	0
norm12-orbit-1aa9d	published-R17	norm12-orbit-0e80b	31	15	4975	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	94-100	0
norm12-orbit-04724	published-R17	norm12-orbit-08234	32	15	4992	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	110-111	0
norm12-orbit-0666f	published-R17	norm12-orbit-0e80b	33	13	4395	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	130-132	0
norm12-orbit-10f72	alternate-Q80	norm12-orbit-11952	34	13	4361	2	12,395	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	12:0,395:2	UNKNOWN			2	0	EXACT_COMPLETE_SMOOTH_LAYER	118	39147	2	UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	2	2	77-88	0
norm12-orbit-0f983	published-R17	norm12-orbit-0e80b	35	15	4999	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	110-118	0
norm12-orbit-1183a	alternate-Q80	norm12-orbit-11952	36	14	4692	2	12,395	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	12:0,395:2	UNKNOWN			2	0	EXACT_COMPLETE_SMOOTH_LAYER	120	39147		UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	2	2	113-114	0
norm12-orbit-0f09b	published-R17	norm12-orbit-0e80b	37	13	4371	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	119-119	0
norm12-orbit-09952	alternate-Q80	norm12-orbit-08f72	38	15	4986	3	363,364,378	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	363:2,364:1,378:6	UNKNOWN			18	0	EXACT_COMPLETE_SMOOTH_LAYER	125	39147	2	UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	3	3	121-125	0
norm12-orbit-098fc	alternate-Q80	norm12-orbit-11952	39	14	4667	2	12,395	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	12:0,395:2	UNKNOWN			2	0	EXACT_COMPLETE_SMOOTH_LAYER	95	39147		UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	2	2	84-92	0
norm12-orbit-0698f	published-R17	norm12-orbit-0e80b	40	16	5307	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	125-133	0
norm12-orbit-0ae21	alternate-Q80	norm12-orbit-08f72	41	15	4986	3	363,364,378	EXACT_COMPLETE_FIXED_NATIVE_INVENTORY_ON_LABELLED_TARGETS	363:2,364:1,378:6	UNKNOWN			18	0	EXACT_COMPLETE_SMOOTH_LAYER	120	39147	2	UNKNOWN		EXACT_MARKED_NORM_TEN_COUNT_ONLY		UNKNOWN	3	3	100-107	0
norm12-orbit-06867	published-R17	norm12-orbit-0e80b	42	15	4986	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	125-126	0
norm12-orbit-13654	published-R17	norm12-orbit-0e80b	43	15	4995	0		UNKNOWN		UNKNOWN			0	0	UNKNOWN				UNKNOWN		FRAME_REFERENCE_ONLY_MARKED_MINIMUM_TRANSPORT_UNKNOWN		UNKNOWN	2	0	78-83	0
