rank	shell_id	eligible_id	ade	root_rank	mw_rank	root_count	root_det	d_f	d_o	mw_height	short_norm	section_p_o	fiber_twist	vertical_integral	support_fibres	support_components	vertical_l1	vertical_max	reflection_count	nearest_section_lifts	section_root_shift	section_nonzero_pairings	root_coefficients	reduced	v
109	7697	7695	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-33779,371,2786,-50015,-11460,-18034,12685,-6567,20275,-4616,-23269,-12432,-27554,-19729,6640,-4736,-8495	-1591,20,132,-2354,-544,-850,599,-309,954,-218,-1096,-586,-1300,-930,311,-222,-400
110	7714	7712	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-39718,440,3279,-58809,-13475,-21209,14916,-7726,23841,-5426,-27363,-14619,-32397,-23195,7805,-5570,-9986	-7530,89,625,-11148,-2559,-4025,2830,-1468,4520,-1028,-5190,-2773,-6143,-4396,1476,-1056,-1891
111	7738	7736	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-24695,273,2039,-36565,-8378,-13187,9274,-4804,14823,-3374,-17012,-9090,-20143,-14422,4853,-3463,-6209	7493,-78,-615,11096,2538,3997,-2812,1454,-4498,1024,5161,2756,6111,4377,-1476,1051,1886
112	7807	7805	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-23591,259,1949,-34930,-8001,-12599,8858,-4590,14160,-3223,-16251,-8683,-19239,-13776,4635,-3309,-5930	8597,-92,-705,12731,2915,4585,-3228,1668,-5161,1175,5922,3163,7015,5023,-1694,1205,2165
113	7808	7806	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-31328,344,2586,-46388,-10626,-16728,11764,-6093,18805,-4280,-21581,-11530,-25552,-18296,6158,-4394,-7877	860,-7,-68,1273,290,456,-322,165,-516,118,592,316,702,503,-171,120,218
114	7810	7808	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-35229,389,2911,-52163,-11949,-18815,13229,-6855,21147,-4812,-24270,-12966,-28731,-20572,6922,-4942,-8855	-3041,38,257,-4502,-1033,-1631,1143,-597,1826,-414,-2097,-1120,-2477,-1773,593,-428,-760
115	7826	7824	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-2417,21,198,-3578,-818,-1289,906,-468,1449,-332,-1662,-889,-1970,-1413,476,-338,-609	29771,-330,-2456,44083,10098,15895,-11180,5790,-17872,4066,20511,10957,24284,17386,-5853,4176,7486
116	7827	7825	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-20820,225,1716,-30828,-7061,-11114,7817,-4046,12496,-2846,-14340,-7662,-16982,-12161,4094,-2919,-5237	11368,-126,-938,16833,3855,6070,-4269,2212,-6825,1552,7833,4184,9272,6638,-2235,1595,2858
117	7828	7826	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R4:1	0,0,0,0,0	2,2,-14055,151,1160,-20811,-4766,-7505,5277,-2733,8436,-1921,-9681,-5172,-11462,-8209,2763,-1971,-3534	18133,-200,-1494,26850,6150,9679,-6809,3525,-10885,2477,12492,6674,14792,10590,-3566,2543,4561
118	7845	7843	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-275,0,20,-405,-93,-143,102,-50,163,-39,-187,-101,-225,-162,55,-37,-71	31913,-351,-2634,47256,10823,17041,-11984,6208,-19158,4359,21986,11745,26029,18637,-6274,4477,8024
119	7846	7844	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-14163,156,1168,-20971,-4804,-7560,5318,-2753,8501,-1935,-9755,-5213,-11553,-8272,2785,-1986,-3562	18025,-195,-1486,26690,6112,9624,-6768,3505,-10820,2463,12418,6633,14701,10527,-3544,2528,4533
120	7851	7849	A1+A1+A1+A1	4	13	8	16	2	0	19/3	8	2	0	1	0	0	0	0	6	18	0,0,0,0,0	O:2;R2:1;R5:1	0,0,0,0,0	2,2,-11913,130,982,-17638,-4041,-6359,4473,-2315,7150,-1628,-8206,-4384,-9717,-6958,2342,-1670,-2996	20275,-221,-1672,30023,6875,10825,-7613,3943,-12171,2770,13967,7462,16537,11841,-3987,2844,5099
