observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
rank_jump_retrospective_report_v1.json:a1-fibration-02:199/3254,a1-fibration-02,199/3254,,16,17,1,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-03:3290/1563,a1-fibration-03,3290/1563,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-3076/1981,a1-fibration-04,-3076/1981,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:2714/3419,a1-fibration-05,2714/3419,,16,17,1,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:published-R17:-1561/3133,published-R17,-1561/3133,-1561/3133,17,17,0,UNKNOWN,compact-r17-top64-v1,historic_or_prior,43,93955181295586,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
rank_jump_retrospective_report_v1.json:ICARM-351,published-R17,,,17,25,8,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-356,published-R17,,,17,29,12,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-376,published-R17,,,17,22,5,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-377,published-R17,,,17,23,6,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-385,published-R17,,,17,29,12,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-398,curve398-p16875,,,16,30,14,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-400,curve400-p53042,,,16,28,12,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-401,curve401-p57487,,,16,27,11,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:ICARM-542,curve542-p30486,,,16,26,10,UNKNOWN,,historic_or_prior,,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
