parameter,generic_subgroup_rank,best_retained_quotient_rank,full_curve_rank,compatible_cover_count,co_split_triples,eligible_total_degree_6,eligible_total_degree_8,degree_6_incidence_count,degree_8_incidence_count,pair_incidence_count,pair_relation_rank,triple_relation_rank,combined_relation_rank,extra_relation_rank_beyond_pairs,native_quotient_upper_bound
-7726/2611,17,1,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-79649/42198,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-8382/14489,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-8387/1750,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-841/8544,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-848/9373,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-8921/2715,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-894/749,17,3,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-903/470,17,6,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-94057/48789,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-94199/50700,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
-9529/5471,17,11,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
-9795/13063,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
10126/11795,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
10126/15275,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1101/2566,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
11744/9849,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
11992/8347,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1207/1194,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1217/151,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1229/894,17,6,UNKNOWN,2,0,0,0,0,0,1,1,0,1,0,1
12344/8655,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1263/710,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
129/70,17,6,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1348/1431,17,5,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
13591/9675,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
13833/10535,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
13969/15813,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1452/7817,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
14771/6673,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
14981/15381,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1501/732,17,3,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
1576/2331,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
15850/13287,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1641/15448,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
1966/3615,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2051/2045,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2108/1939,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2139/3865,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2263/1084,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2291/2392,17,6,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2456/135,17,10,UNKNOWN,2,0,0,0,0,0,0,0,0,0,0,2
2762/3203,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
2798/7213,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
28/117,17,6,UNKNOWN,11,165,0,30,0,0,1,1,0,1,0,10
3/8,17,4,UNKNOWN,25,2300,26,438,4,7,7,7,11,13,6,12
3056/609,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
3243/1708,17,1,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
33/119,17,7,UNKNOWN,7,35,0,5,0,0,0,0,0,0,0,7
3419/3564,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
4120/14827,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
4197/4819,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
4250/9093,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
4251/1375,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
4298/8873,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
44/35,17,6,UNKNOWN,3,1,0,0,0,0,0,0,0,0,0,3
444/2623,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
461/4420,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
5653/7526,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
5735/11074,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
611/4020,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
6695/1353,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
7127/1266,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
754/3427,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
8/39,17,5,UNKNOWN,7,35,0,7,0,0,2,2,0,2,0,5
825/2224,17,2,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
85/2016,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
8524/2211,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
856/1327,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
8637/3040,17,2,UNKNOWN,1,0,0,0,0,0,0,0,0,0,0,1
9181/3402,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
9446/3605,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
9629/2857,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
9783/7559,17,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
