orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
79082	genus_one	8	2 1 -2 1 -2 1 -1 1 0 -2 1 0 -1 1 2 0 -1	0 1 0 2 1 3 1 -1 -2 0 -1 1 1 -4 -1 2 -1	2O+4F+phi(w)
79083	genus_one	8	1 1 -2 1 -2 1 -1 1 2 -2 1 0 -1 1 0 0 -1	1 1 0 0 1 1 -1 -1 0 0 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79084	rational	10	-2 0 1 -1 2 -1 1 -1 0 2 -1 0 1 -1 -2 0 1	0 0 0 -3 -1 -3 -1 1 2 0 1 -1 -1 4 1 -2 1	2O+4F+phi(w)
79085	rational	10	1 0 -1 1 -2 1 -1 1 2 -2 1 0 -1 1 0 0 -1	1 0 0 1 1 1 -1 -1 0 0 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79086	genus_one	8	2 1 -1 -1 0 1 -3 1 2 -2 1 0 -1 1 0 0 1	0 -1 0 3 -1 1 1 -1 0 2 -1 -1 1 -2 -1 0 1	2O+4F+phi(w)
79087	genus_one	8	1 1 -1 -1 0 -1 -1 1 2 0 1 0 -1 1 0 0 1	1 -1 -2 1 -1 -1 1 -1 0 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
79088	rational	10	0 0 -2 2 -1 -1 1 -1 0 2 -1 2 -1 -1 0 2 -1	0 2 1 0 1 3 0 -1 0 -2 -1 3 1 -4 -1 2 -1	2O+4F+phi(w)
79089	rational	10	-1 0 -2 2 -1 -1 1 -1 0 2 -1 2 -1 -1 0 2 -1	-1 2 1 0 1 3 0 -1 0 -2 -1 3 1 -4 -1 2 -1	2O+4F+phi(w)
79090	rational	10	0 -1 -2 2 -1 -1 1 -1 0 2 -1 2 -1 -1 0 2 -1	0 1 1 0 1 3 0 -1 0 -2 -1 3 1 -4 -1 2 -1	2O+4F+phi(w)
79091	rational	10	1 1 2 -2 1 1 -1 -1 -2 0 1 -2 1 1 2 -2 1	-1 -1 1 0 -1 -1 0 1 0 2 -1 -3 -1 2 1 0 1	2O+4F+phi(w)
79092	genus_one	8	0 0 1 -2 1 1 -1 -1 0 0 -1 0 1 -1 0 0 1	-2 0 1 1 -1 1 0 1 0 2 -1 -1 -1 0 -1 0 1	2O+4F+phi(w)
79093	genus_one	8	1 0 1 -2 1 1 -1 -1 0 0 -1 0 1 -1 0 0 1	-1 0 1 1 -1 1 0 1 0 2 -1 -1 -1 0 -1 0 1	2O+4F+phi(w)
79094	genus_one	8	0 1 -1 2 -1 1 -1 1 0 -2 1 0 -1 1 0 0 -1	0 1 1 1 1 1 0 -1 0 0 -1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79095	genus_one	8	1 -1 1 -2 1 1 -1 -1 0 0 -1 0 1 -1 0 0 1	-1 -1 1 1 -1 1 0 1 0 2 -1 -1 -1 0 -1 0 1	2O+4F+phi(w)
79096	rational	10	0 0 2 -1 1 1 -1 1 0 -2 1 -2 1 1 0 -2 1	0 -2 0 0 -1 -3 0 1 0 2 1 -3 -1 4 1 -2 1	2O+4F+phi(w)
79098	genus_one	8	0 1 -2 1 -1 -1 1 1 2 0 -1 2 -1 -1 -2 0 1	0 -1 0 0 -1 -1 0 1 0 0 1 -1 -1 2 1 -2 1	2O+4F+phi(w)
79099	genus_one	8	1 1 -2 3 -3 -1 1 1 0 0 -1 2 -1 1 0 0 -1	1 1 0 0 1 1 0 -1 0 -2 1 1 1 -2 -1 0 -1	2O+4F+phi(w)
79100	genus_one	8	0 0 1 -1 1 1 -1 1 0 -2 1 -2 1 1 0 0 1	0 0 0 1 -1 -1 0 1 0 2 -1 -1 1 0 -1 0 1	2O+4F+phi(w)
79101	genus_one	8	1 0 -1 -1 1 -1 -1 1 2 0 1 0 -1 1 0 0 1	1 -2 -2 1 -1 -1 2 -1 0 0 1 -1 1 0 1 0 1	2O+4F+phi(w)
