atlas	direction	subgroup_rank	height	coordinate	cheap_representatives	contained	base_orbit	parity	extension_bits	quartic_bits	old_policy_parity_selected	old_policy_exact_centre_selected
earliest_support	residual-strict-03	25	4294281	4294281/70522	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 1639, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	614	0	123		
earliest_support	residual-strict-04	25	1215	1215/1103	1	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	residual-strict-05	25	262960073	168382853/262960073	0	False	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 117420}"	95909	0	120		
earliest_support	residual-strict-06	25	2945	2945/581	1	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 117420}"	95909	0	120		
earliest_support	residual-strict-07	25	16705612	2464361/16705612	0	False	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 128766, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	83780	0	120		
earliest_support	recovered-local-01	26	1	-1/0	42	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 115350, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	94938	0	132		
earliest_support	recovered-local-02	26	1	-1/0	43	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 89501, ""category"": ""rational_bisection"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 5/2>/<bound method Rational.denominator of 5/2>"", ""minimum_generic_MW17_norm"": 10}"	101481	0	128		
earliest_support	recovered-local-03	26	1215	1215/1103	3	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	recovered-local-04	26	43	43/1	14	True	"{""M_over_2M_orbit_mask_in_degree_two_LLL_coordinates"": 109599, ""category"": ""genus_one_bisection_lattice_candidate"", ""minimum_distance_in_generic_reduced_metric"": ""<bound method Rational.numerator of 2>/<bound method Rational.denominator of 2>"", ""minimum_generic_MW17_norm"": 8}"	115603	0	125		
earliest_support	recovered-strict-01	26	1215	1215/1103	1	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	recovered-strict-02	26	1215	1215/1103	1	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
earliest_support	recovered-strict-03	26	1215	1215/1103	1	True	"{""generic_shell"": ""rational norm-10"", ""orbit_mask"": 64677}"	13511560	103	119		
