mask	representative
2862	0 1 1 1 2 -1 -4 0 -1 1 0 -3 0 2 -2 0 -2
2862	0 1 1 3 2 -3 -6 2 -1 1 0 -5 -2 2 -2 0 -2
2862	2 -1 1 1 2 -3 -4 2 -3 1 0 -3 -2 2 -2 0 -2
2867	1 -1 2 2 3 -1 -4 0 -3 -1 0 -3 0 0 -2 0 -2
2867	1 -1 0 0 1 3 2 -2 -1 -1 2 1 0 -2 0 2 0
2867	1 1 2 2 3 -3 -8 2 -3 1 0 -5 -2 2 -4 0 -2
2867	1 1 2 2 3 -3 -6 2 -3 1 0 -5 -2 2 -2 0 -2
2878	2 -1 -1 -1 1 1 2 -2 -1 -1 2 1 0 -2 0 0 0
2878	2 -1 1 1 3 -1 -4 0 -3 -1 2 -3 0 0 -2 0 -2
2878	2 -1 1 1 3 -1 -4 0 -3 -1 0 -3 0 0 -2 0 -2
2878	2 -1 1 1 1 -1 -2 0 -1 1 0 -1 0 0 -2 0 -2
2882	0 1 0 2 2 -2 -5 0 -1 1 0 -3 0 2 -2 0 -2
2882	2 -1 0 0 2 0 -1 0 -1 -1 0 -1 0 0 0 0 -2
2882	0 1 0 2 2 -2 -5 2 -1 1 0 -3 -2 2 -2 0 -2
2882	0 1 0 0 2 -4 -5 2 -1 1 -2 -3 0 4 -2 -2 -2
2935	1 -1 -1 0 1 1 1 -2 -1 -1 2 1 0 -2 0 0 0
2935	1 1 1 2 3 -5 -7 2 -1 1 -2 -5 0 4 -2 -2 -4
2935	1 -1 1 0 1 -1 -1 0 -1 1 0 -1 0 0 -2 0 -2
2935	1 -1 -1 -2 -3 1 5 0 1 -1 0 3 0 -2 2 0 2
2945	1 0 0 2 2 -2 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2945	1 0 2 2 4 -4 -8 3 -3 3 0 -5 -2 4 -4 0 -4
2945	1 0 0 0 2 -4 -4 1 -1 1 0 -3 0 2 -2 -2 -2
2945	1 0 0 0 2 -2 -4 1 -1 1 0 -3 0 2 -2 0 -2
2953	1 0 0 1 2 -2 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2953	1 0 0 1 2 -2 -4 1 -1 1 0 -3 0 2 -2 0 -2
2953	1 0 2 1 2 -2 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2953	3 -2 0 -1 0 2 2 -1 -1 -1 2 1 0 -2 0 0 0
2973	1 0 1 1 1 -2 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2973	1 0 1 1 3 -2 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2973	3 -2 -1 -1 1 2 2 -1 -1 -1 2 1 0 -2 0 0 0
2973	1 -2 -1 -1 -1 2 4 -1 1 -1 0 3 0 -2 0 0 0
2975	1 1 1 1 1 -2 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2975	1 -1 -1 -1 1 2 2 -1 -1 -1 2 1 0 -2 0 0 0
2975	1 -1 -1 -1 1 2 2 -1 1 -1 2 1 0 -2 0 0 0
2975	1 -1 -1 -1 -1 2 4 -1 1 -1 0 3 0 -2 0 0 0
2980	0 0 1 2 2 -1 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2980	2 0 1 0 2 -3 -4 1 -1 1 0 -3 0 2 -2 -2 -2
2980	2 -2 -1 0 0 1 2 -1 -1 -1 2 1 0 -2 0 0 0
2980	2 -2 -1 -2 2 1 2 -1 -1 -1 2 1 0 -2 0 0 0
2985	1 0 0 1 2 -3 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2985	1 2 2 3 4 -5 -10 3 -3 3 0 -7 -2 4 -4 0 -4
2985	1 0 0 1 2 -3 -4 1 -1 1 0 -3 0 2 -2 -2 -2
2985	1 0 0 1 4 -3 -6 1 -3 1 0 -3 0 2 -2 0 -2
2991	1 1 1 1 2 -1 -4 1 -1 1 0 -3 -2 2 -2 0 -2
2991	1 1 3 3 4 -5 -10 3 -3 3 0 -7 -2 4 -4 0 -4
2991	1 -1 -1 -1 0 1 2 -1 -1 -1 2 1 0 -2 0 0 0
2991	1 -1 -1 -1 0 1 2 -1 1 -1 2 1 0 -2 0 0 0
3031	1 1 1 2 1 -2 -5 1 -1 1 0 -3 -2 2 -2 0 -2
3031	1 -1 -1 0 1 2 1 -1 -1 -1 2 1 0 -2 0 0 0
3031	1 -1 -1 -2 1 2 3 -1 1 -1 2 1 0 -2 0 0 0
3031	1 -1 1 0 -1 0 1 1 -1 1 0 1 0 0 0 0 0
3047	1 1 1 2 4 -5 -9 3 -3 3 0 -5 -2 4 -4 0 -4
3047	1 1 1 2 2 -1 -5 1 -1 1 0 -3 -2 2 -2 0 -2
3047	1 1 1 0 2 -3 -5 1 -1 1 0 -3 0 2 -2 -2 -2
3047	1 -1 -1 0 0 1 1 -1 -1 -1 2 1 0 -2 0 0 0
3113	1 0 0 1 4 -1 -4 0 -2 0 1 -3 0 0 -2 0 -2
3113	3 -2 0 -1 2 -1 -2 0 -2 0 1 -1 0 0 -2 0 -2
3113	1 0 2 1 2 -1 -4 0 -2 0 1 -3 0 0 -2 0 -2
3113	1 0 0 1 2 -3 -4 2 -2 2 1 -3 -2 2 -2 0 -2
3142	2 -1 1 0 2 -2 -3 0 -2 0 1 -3 0 0 -2 0 -2
3142	2 -1 1 2 4 -2 -5 0 -4 0 1 -3 0 0 -2 0 -2
3142	2 -1 1 0 2 0 -3 0 -2 0 1 -1 0 0 -2 0 -2
3142	2 -1 1 0 2 0 -1 0 -2 0 1 -1 0 0 -2 0 -2
3166	2 -1 1 1 3 0 -3 0 -2 0 1 -3 0 0 -2 0 -2
3166	0 1 1 1 3 -2 -5 0 -2 0 -1 -3 0 2 -2 0 -2
3166	0 1 1 1 1 -4 -5 2 0 2 -1 -3 -2 4 -2 -2 -2
3166	0 1 1 3 1 -2 -5 2 0 2 -1 -3 -2 2 -2 0 -2
3169	1 0 0 0 2 -1 -3 0 -2 0 1 -1 0 0 -2 0 -2
3169	1 0 0 2 2 -3 -5 2 -2 2 1 -3 -2 2 -2 0 -2
3169	1 0 0 0 2 -1 -3 0 -2 0 1 -1 0 0 -2 0 0
3169	1 0 2 2 2 -3 -5 2 -2 2 -1 -3 -2 2 -2 0 -2
3194	2 -1 0 1 3 -1 -3 0 -2 0 1 -3 0 0 -2 0 -2
3194	2 -1 0 -1 3 -1 -3 0 -2 0 1 -1 0 0 -2 0 -2
3194	2 -1 0 -1 1 1 1 -2 -2 -2 1 1 2 -2 0 0 0
3194	0 1 0 1 1 -3 -5 2 0 2 -1 -3 -2 4 -2 0 -2
3201	1 0 0 0 2 0 -2 -1 0 0 1 -1 0 0 -2 0 -2
3201	1 0 0 0 2 0 -2 -1 -2 0 1 -1 0 0 -2 0 0
3201	1 0 0 0 0 -2 -2 1 0 0 -1 -1 0 2 0 -2 -2
3201	1 0 0 0 2 -2 -2 1 0 0 -1 -1 0 2 0 -2 -2
3205	1 0 1 2 2 -2 -4 1 -2 2 1 -3 -2 2 -2 0 -2
3205	1 -2 -1 -2 -2 2 6 -1 0 -2 1 3 2 -4 2 0 2
3205	1 0 1 0 2 -4 -4 1 -2 0 -1 -3 0 2 -2 -2 -2
3205	1 0 1 0 2 -2 -4 1 0 0 -1 -3 0 2 -2 -2 -2
3206	2 -1 1 0 2 0 -2 -1 -2 0 1 -1 0 0 -2 0 -2
3206	0 1 1 2 2 -2 -4 1 0 2 -1 -3 -2 2 -2 0 -2
3206	2 -1 1 0 2 -4 -4 1 -2 0 -1 -3 0 2 -2 -2 -2
3206	0 1 1 0 2 -2 -4 1 0 0 -1 -3 0 2 -2 -2 -2
3240	0 2 2 3 4 -5 -10 3 -2 2 -1 -7 -2 4 -4 0 -4
3240	0 0 2 1 0 -1 -2 1 -2 0 -1 -1 0 0 0 0 0
3240	2 -2 0 -1 2 -1 -2 1 -2 0 1 -1 0 0 -2 0 -2
3240	0 0 0 1 0 1 0 -1 -2 0 1 1 0 -2 0 2 2
3246	0 1 1 1 2 -1 -4 1 0 2 1 -3 -2 2 -2 0 -2
3246	2 1 3 3 4 -5 -10 3 -4 2 -1 -7 -2 4 -4 0 -4
3246	2 -1 1 1 2 -3 -4 1 -2 0 -1 -3 0 2 -2 -2 -2
3246	0 1 1 1 2 -1 -4 -1 -2 0 1 -3 0 0 -2 0 0
3253	1 0 1 2 3 -1 -4 -1 -2 0 1 -3 0 0 -2 0 -2
3253	1 -2 -1 -2 -1 3 6 -1 0 -2 1 3 2 -4 2 0 2
3253	1 0 1 0 1 -3 -4 1 0 0 -1 -3 0 2 -2 -2 -2
3253	1 0 1 0 3 -3 -4 1 -2 0 -1 -3 0 2 -2 -2 -2
3254	0 1 1 2 1 -1 -4 1 0 2 1 -3 -2 2 -2 0 -2
3254	0 1 1 2 1 -3 -4 1 0 2 -1 -3 -2 2 -2 0 -2
3254	0 1 1 0 1 -3 -4 1 0 0 -1 -3 0 2 -2 -2 -2
3254	2 -1 1 0 3 -3 -4 1 -2 0 -1 -3 0 2 -2 -2 -2
3257	1 0 0 1 3 -1 -4 1 -2 0 1 -3 0 0 -2 0 -2
3257	1 0 2 1 1 -3 -4 1 -2 0 -1 -3 0 2 -2 -2 -2
3257	1 0 0 -1 1 -3 -2 1 0 0 -1 -1 0 2 0 -2 -2
3257	1 0 0 1 1 -1 -2 1 0 0 -1 -1 0 2 0 -2 -2
3259	1 1 2 3 5 -5 -10 3 -4 2 -1 -7 -2 4 -4 0 -4
3259	1 -1 0 -1 -1 1 2 -1 0 -2 1 1 0 -2 0 0 0
3259	3 -3 0 -1 1 1 2 -1 -2 -2 1 1 0 -2 0 0 0
3259	1 -1 0 -1 1 3 2 -1 0 -2 1 1 0 -2 0 0 0
3262	0 1 1 1 1 -3 -4 1 0 0 -1 -3 0 2 -2 -2 -2
3262	0 1 1 1 3 -1 -4 -1 -2 0 1 -3 0 0 -2 0 0
3262	2 -1 -1 -1 1 1 2 -1 0 0 1 1 0 -2 0 0 0
3262	0 1 1 1 1 -3 -4 1 -2 0 -1 -3 0 2 0 0 0
3317	1 -2 -1 -2 -1 3 5 -1 0 -2 1 3 2 -4 2 0 2
3317	1 0 1 0 1 -3 -3 1 0 0 -1 -3 0 2 -2 -2 -2
3317	1 0 1 0 3 -3 -5 1 -2 0 -1 -3 0 2 -2 -2 -2
3317	1 0 1 0 1 -1 -3 -1 -2 0 1 -1 0 0 -2 0 0
3319	1 1 1 2 3 -3 -7 1 -2 2 1 -5 -2 2 -4 0 -2
3319	1 -1 -1 -2 -1 3 5 -1 0 -2 1 3 2 -4 2 0 2
3319	1 1 3 4 5 -5 -11 3 -4 2 -1 -7 -2 4 -4 0 -4
3319	1 1 1 0 3 -3 -5 1 -2 0 -1 -3 0 2 -2 -2 -2
3350	2 -1 1 0 3 -2 -4 0 -3 0 1 -3 0 0 -2 0 -2
3350	2 -1 1 2 3 -2 -4 0 -3 0 1 -3 0 0 -2 0 -2
3350	2 -1 1 0 1 0 -2 0 -1 0 1 -1 0 0 -2 0 -2
3350	2 -1 1 0 3 0 -2 0 -3 0 1 -1 0 0 -2 0 -2
3351	3 -1 1 0 3 -2 -4 0 -3 0 1 -3 0 0 -2 0 -2
3351	1 -1 1 2 3 -2 -4 0 -3 0 1 -3 0 0 -2 0 -2
3351	1 -1 1 0 1 0 -2 0 -1 0 1 -1 0 0 -2 0 -2
3351	1 1 1 2 3 -4 -8 2 -3 2 1 -5 -2 2 -4 0 -2
3369	1 0 0 -1 2 -1 -2 0 -1 0 1 -1 0 0 -2 0 -2
3369	1 0 0 -1 0 -3 -2 2 -1 0 -1 -1 0 2 0 -2 0
3369	1 -2 0 -1 0 1 2 -2 -1 -2 1 1 2 -2 0 0 0
3369	1 0 0 1 2 -3 -4 2 -1 2 1 -3 -2 2 -2 0 -2
3371	1 -1 0 -1 2 -1 -2 0 -1 0 1 -1 0 0 -2 0 -2
3371	1 -1 0 -1 0 1 2 -2 -1 -2 1 1 2 -2 0 0 0
3371	1 1 2 3 4 -5 -10 4 -3 2 -1 -7 -2 4 -4 0 -4
3371	1 -3 -2 -3 -2 3 8 -2 1 -2 1 5 2 -4 2 0 2
3379	1 -1 0 0 1 -1 -2 0 -1 0 1 -1 0 0 -2 0 -2
3379	1 -1 2 2 3 -1 -4 0 -3 0 1 -3 0 0 -2 0 -2
3379	1 -1 0 -2 1 1 2 -2 -1 -2 1 1 2 -2 0 0 0
3379	1 1 2 2 3 -3 -8 2 -3 2 1 -5 -2 2 -4 0 -2
3391	3 -1 1 1 3 -1 -4 0 -3 0 1 -3 0 0 -2 0 -2
3391	1 -1 1 1 1 -1 -2 0 -1 0 -1 -1 0 0 -2 0 -2
3391	1 -1 -1 -1 1 1 2 -2 -1 -2 1 1 2 -2 0 0 0
3391	1 1 1 1 1 -3 -4 2 -1 2 -1 -3 -2 2 -2 0 -2
3414	2 -1 1 2 3 -2 -5 0 -3 0 1 -3 0 0 -2 0 -2
3414	2 -1 1 0 3 -2 -3 0 -3 0 1 -3 0 0 -2 0 -2
3414	2 -1 1 0 1 0 -1 0 -1 0 1 -1 0 0 -2 0 -2
3414	2 -1 1 0 3 0 -3 0 -3 0 1 -1 0 0 -2 0 -2
3439	1 1 1 1 2 -3 -5 0 -1 0 -1 -3 0 2 -2 -2 -2
3439	1 -1 1 1 2 -1 -3 0 -1 0 1 -3 0 0 -2 0 -2
3439	1 -1 1 1 2 -1 -3 0 -3 0 1 -1 0 0 -2 0 -2
3439	1 -1 -1 -1 2 1 1 -2 -1 -2 1 1 2 -2 0 0 0
3462	2 -1 1 0 2 0 -2 -1 -1 0 1 -1 0 0 -2 0 -2
3462	0 1 1 2 2 -2 -4 1 -1 2 1 -3 -2 2 -2 0 -2
3462	0 1 3 4 4 -4 -10 3 -3 2 -1 -7 -2 4 -4 0 -4
3462	2 -1 1 0 2 0 -2 -1 -3 -2 1 -1 0 -2 -2 0 0
3484	2 0 1 1 3 -4 -6 1 -3 0 -1 -3 0 2 -2 -2 -2
3484	0 0 1 1 1 0 -2 -1 -1 0 1 -1 0 0 -2 0 0
3484	2 -2 -1 -1 1 2 2 -1 -1 -2 1 1 0 -2 0 0 0
3484	2 -2 -1 -1 -1 2 4 -1 1 0 1 3 0 -2 0 0 0
3505	1 0 2 2 3 -5 -8 3 -3 2 -1 -5 -2 4 -4 0 -4
3505	1 0 0 0 3 -3 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3505	1 0 0 0 1 -1 -2 -1 -1 0 1 -1 0 0 -2 0 0
3505	1 0 2 0 1 -3 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3511	1 1 3 4 3 -5 -10 3 -3 2 -1 -7 -2 4 -4 0 -4
3511	1 1 1 0 1 -3 -4 1 -1 0 -1 -3 0 2 -2 -2 -2
3511	1 -1 -1 0 -1 1 2 -1 1 0 1 1 0 -2 0 0 0
3511	1 -1 -1 -2 -1 1 4 -1 1 0 1 3 0 -2 0 0 0
3540	2 -2 -1 -2 -1 2 5 -1 -1 -2 1 3 2 -4 2 0 2
3540	2 0 1 0 3 -4 -5 1 -3 0 -1 -3 0 2 -2 -2 -2
3540	0 0 1 0 1 0 -1 -1 -1 0 1 -1 0 0 -2 0 0
3540	0 0 1 0 -1 2 1 -1 -1 0 1 1 0 -2 0 2 2
3541	1 -2 -1 -2 -1 2 5 -1 -1 -2 1 3 2 -4 2 0 2
3541	1 0 1 0 1 -2 -3 1 -1 0 -1 -1 0 2 -2 -2 -2
3541	1 0 1 0 1 0 -1 -1 -1 0 1 -1 0 -2 -2 0 0
3541	1 0 -1 0 1 -2 -1 1 1 0 -1 -1 0 2 0 -2 -2
3554	0 1 0 2 2 -3 -5 1 -1 2 1 -3 -2 2 -2 0 -2
3554	0 1 0 0 2 -1 -3 -1 -1 0 1 -1 0 0 -2 0 0
3554	2 -1 0 0 2 -1 -3 1 -3 0 1 -1 0 0 -2 0 -2
3554	0 1 0 2 2 -3 -5 1 -1 2 -1 -3 0 2 -2 0 -2
3563	1 1 0 1 2 -3 -5 1 -1 2 1 -3 -2 2 -2 0 -2
3563	1 1 2 3 4 -5 -9 3 -3 2 -1 -7 -2 4 -4 0 -4
3563	1 1 0 1 2 -3 -5 1 -1 0 -1 -3 0 2 -2 -2 -2
3563	1 -1 0 -1 0 1 1 -1 -1 -2 1 1 0 -2 0 0 0
3570	0 1 0 0 1 -1 -3 -1 -1 0 1 -1 0 0 -2 0 0
3570	2 -1 0 0 3 -1 -3 1 -3 0 1 -1 0 0 -2 0 -2
3570	0 1 0 0 1 -1 -1 1 1 0 -1 -1 0 2 0 -2 -2
3570	2 -1 0 0 1 1 1 -1 -1 -2 1 -1 0 -2 0 0 0
3571	1 1 2 2 3 -3 -7 1 -3 2 1 -5 -2 2 -4 0 -2
3571	1 1 2 2 3 -5 -9 3 -3 2 -1 -5 -2 4 -4 0 -4
3571	1 1 0 0 3 -3 -5 1 -1 0 -1 -3 0 2 -2 -2 -2
3571	1 -1 0 0 1 -1 -1 1 1 0 -1 -1 0 2 0 -2 -2
3583	1 1 3 3 3 -5 -9 3 -3 2 -1 -7 -2 4 -4 0 -4
3583	1 1 1 1 1 -3 -5 1 -1 0 -1 -3 0 2 -2 -2 -2
3583	1 -1 -1 -1 1 1 1 -1 -1 -2 1 1 0 -2 0 0 0
3583	1 -1 -1 -1 -1 1 3 -1 1 0 1 1 0 -2 0 0 0
3590	0 1 1 0 0 -4 -4 4 0 1 -3 -3 0 4 0 -2 -2
3590	2 -1 1 0 4 -2 -4 0 -4 -1 1 -3 0 0 -2 0 -2
3590	2 -1 1 0 2 0 -2 0 -2 -1 1 -1 0 0 -2 0 -2
3590	2 -1 1 0 2 0 -2 0 -2 1 1 -1 0 0 -2 0 -2
3611	1 1 2 3 3 -4 -8 2 -2 3 -1 -5 -2 4 -4 0 -4
3611	1 -1 0 -1 1 2 2 -2 0 -1 1 1 0 -2 0 0 0
3611	1 -1 0 -1 1 2 2 -2 0 -1 1 1 2 -2 0 0 0
3611	1 -1 0 -1 -1 0 2 0 0 -1 -1 1 2 0 2 -2 0
3613	1 0 1 1 3 -4 -6 2 -2 1 -1 -3 0 4 -2 -2 -4
3613	3 -2 1 1 3 -2 -4 0 -4 -1 1 -3 0 0 -2 0 -2
3613	1 0 1 1 3 0 -4 0 -2 -1 1 -3 0 0 -2 0 -2
3613	1 0 1 1 3 -2 -4 0 -2 1 1 -3 0 0 -2 0 -2
3623	1 -1 -1 0 0 1 2 -2 0 -1 1 1 0 -2 0 0 0
3623	1 -1 -1 -2 0 3 4 -2 2 -1 1 3 0 -2 0 0 0
3623	1 1 1 2 4 -5 -8 2 -2 1 -1 -5 0 4 -2 -2 -4
3623	3 -1 1 0 4 -1 -4 0 -4 -1 1 -3 0 0 -2 0 -2
3636	0 0 1 0 -1 -1 0 2 0 1 -1 -1 0 0 0 0 0
3636	2 0 1 0 3 -1 -4 0 -2 -1 1 -3 0 0 -2 0 -2
3636	0 0 1 0 1 -1 -2 0 0 1 -1 -1 0 2 -2 0 -2
3636	0 0 1 0 1 -1 -2 0 -2 -1 -1 -1 2 0 0 0 0
3638	2 -1 1 2 3 -1 -4 0 -4 -1 1 -3 0 0 -2 0 -2
3638	2 -1 1 0 3 -1 -4 0 -2 -1 1 -3 0 0 -2 0 -2
3638	2 -1 1 0 1 -1 -2 0 -2 1 1 -1 0 0 -2 0 -2
3638	0 1 1 2 3 -3 -6 0 -2 1 -1 -3 0 2 -2 0 -2
3655	1 1 1 2 4 -4 -7 2 -2 1 -1 -5 0 4 -2 -2 -4
3655	3 -1 1 0 4 -2 -5 0 -4 -1 1 -3 0 0 -2 0 -2
3655	1 -1 -1 -2 -2 2 5 0 0 -1 1 3 0 -2 2 0 2
3655	1 -1 -1 -2 0 2 3 -2 0 -1 1 3 2 -2 0 0 0
3674	0 1 0 1 3 -2 -5 0 -2 1 1 -3 0 2 -2 0 -2
3674	2 -1 2 1 3 -2 -5 0 -4 -1 1 -3 0 0 -2 0 -2
3674	0 1 2 3 1 -4 -7 4 -2 3 -1 -5 -2 4 -2 0 -2
3674	0 1 0 1 1 -4 -5 2 0 3 -1 -3 -2 4 -2 0 -2
3676	2 0 1 1 3 -2 -5 0 -4 -1 1 -3 0 0 -2 0 -2
3676	0 0 1 1 3 -2 -5 0 -2 1 1 -3 0 2 -2 0 -2
3676	0 0 1 1 1 -2 -3 2 0 1 -1 -3 -2 2 -2 0 -2
3676	2 -2 -1 -3 -1 2 5 -2 0 -3 1 3 2 -4 2 0 2
3686	2 -1 1 0 2 -1 -3 0 -2 -1 1 -3 0 0 -2 0 -2
3686	2 -1 1 2 4 -1 -5 0 -4 -1 1 -3 0 0 -2 0 -2
3686	2 -1 1 0 2 -1 -3 0 -2 1 1 -1 0 0 -2 0 -2
3686	0 1 1 2 2 -3 -5 0 -2 1 -1 -3 0 2 -2 0 -2
3741	1 0 1 1 3 -2 -4 1 -2 1 1 -3 -2 2 -2 0 -2
3741	1 0 1 -1 1 -2 -2 1 0 1 -1 -1 0 2 -2 -2 -2
3741	1 0 1 1 1 0 -2 -1 -2 -1 1 -1 0 -2 -2 0 0
3741	1 0 -1 -1 1 2 2 -1 0 -1 1 1 0 -2 0 0 0
3749	1 0 1 2 2 -1 -4 1 -2 1 1 -3 -2 2 -2 0 -2
3749	1 -2 -1 -2 -2 3 6 -1 0 -3 1 3 2 -4 2 0 2
3749	1 0 1 2 2 -1 -4 1 -2 1 1 -3 -2 0 -2 2 -2
3749	1 0 1 0 2 -3 -4 1 -2 -1 -1 -3 0 2 -2 -2 -2
3761	1 0 2 2 3 -5 -8 3 -2 3 -1 -5 -2 4 -4 0 -4
3761	1 0 0 0 1 -1 -2 1 0 -1 -1 -1 0 2 0 -2 -2
3761	1 0 0 0 1 -3 -2 1 0 1 -1 -1 0 2 0 -2 -2
3761	1 0 0 0 1 1 0 -1 0 -1 1 -1 0 -2 0 0 0
3764	0 2 3 4 3 -5 -10 3 -2 3 -1 -7 -2 4 -4 0 -4
3764	0 0 1 2 1 -3 -4 3 -2 1 -1 -3 0 2 0 0 -2
3764	0 2 1 2 3 -5 -8 1 -2 1 -1 -5 0 4 -2 -2 -2
3764	2 -2 -1 -2 1 1 2 -1 0 -1 1 1 0 -2 0 0 0
3767	1 1 1 2 3 -5 -8 3 -2 3 -1 -5 -2 4 -4 0 -4
3767	1 1 1 2 3 -3 -6 1 -2 1 1 -5 -2 2 -2 0 -2
3767	1 -1 -1 -2 -1 -1 2 1 0 -1 -1 1 2 0 2 -2 0
3767	1 1 1 0 1 -3 -4 1 0 1 -1 -3 0 2 -2 -2 -2
3769	1 0 0 -1 1 -3 -2 1 0 1 -1 -1 0 2 -2 -2 -2
3769	1 0 0 1 1 1 0 -1 0 -1 1 -1 0 -2 0 0 0
3769	1 0 0 -1 -1 1 2 -1 0 -1 1 1 0 -2 0 0 0
3769	3 -2 0 -1 1 1 2 -1 -2 -1 1 1 0 -2 0 0 0
3788	2 0 1 1 2 -2 -5 1 -2 1 1 -3 -2 2 -2 0 -2
3788	2 0 1 1 2 -4 -5 1 -2 1 -1 -3 0 2 -2 -2 -2
3788	2 -2 -1 -1 0 2 3 -1 0 -1 1 1 0 -2 0 0 0
3788	0 0 1 1 0 -2 -3 1 -2 1 -1 -1 0 2 0 0 0
3803	1 1 0 1 3 -2 -5 1 -2 1 1 -3 -2 2 -2 0 -2
3803	1 1 2 3 3 -4 -9 3 -2 3 -1 -5 -2 4 -4 0 -4
3803	1 -1 0 -1 1 -2 -1 1 0 -1 -1 -1 0 2 0 -2 -2
3803	1 -1 0 -1 -1 2 3 -1 0 -1 1 1 0 -2 0 0 0
3827	1 1 2 2 3 -5 -9 3 -2 3 -1 -5 -2 4 -4 0 -4
3827	1 -1 0 0 1 -1 -1 1 0 -1 -1 -1 0 2 0 -2 -2
3827	1 -1 0 0 1 1 1 -1 0 -1 1 -1 0 -2 0 0 0
3827	1 -1 0 0 -1 1 1 -1 0 -1 1 1 0 -2 0 0 0
3828	2 0 1 0 3 -3 -5 1 -2 -1 -1 -3 0 2 -2 -2 -2
3828	0 0 1 0 -1 -1 -1 1 0 1 -1 -1 0 2 0 0 0
3828	2 -2 -1 -2 1 1 3 -1 0 -1 1 1 0 -2 0 0 0
3828	2 -2 -1 -2 -1 1 3 -1 0 -1 1 3 0 -2 0 0 0
3851	1 -1 0 1 2 0 -2 0 -1 1 1 -1 0 0 -2 0 -2
3851	1 -1 0 -1 0 2 2 -2 1 -1 1 1 0 -2 0 0 0
3851	1 -1 0 -1 2 -2 -2 0 -1 -1 -1 -1 2 2 0 -2 -2
3851	1 1 2 3 4 -6 -10 4 -3 3 -1 -7 -2 4 -4 0 -4
3854	0 1 1 1 0 -4 -4 4 -1 1 -3 -3 0 4 0 -2 -2
3854	2 -1 1 1 2 -2 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3854	2 -1 1 1 4 0 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3854	0 1 1 1 2 -2 -4 0 -1 1 -1 -3 0 2 -2 0 -2
3855	1 -1 1 1 2 0 -2 0 -1 1 1 -1 0 0 -2 0 -2
3855	1 1 1 1 2 -2 -4 2 -1 1 -1 -3 -2 2 -2 0 -2
3855	1 -3 -1 -3 -2 4 8 -2 1 -3 1 5 2 -4 2 0 2
3855	1 -1 -1 -3 -2 0 4 0 1 -1 -1 3 2 0 2 -2 0
3894	2 -1 1 0 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3894	2 -1 1 2 3 -1 -4 0 -3 -1 1 -3 0 0 -2 0 -2
3894	2 -1 1 0 1 -1 -2 0 -1 1 1 -1 0 0 -2 0 -2
3894	0 1 1 2 1 -3 -4 2 -1 1 -1 -3 -2 2 -2 0 -2
3930	0 1 0 1 3 -2 -5 0 -1 1 1 -3 0 2 -2 0 -2
3930	2 -1 2 1 3 0 -3 0 -3 -1 1 -3 0 0 -2 0 -2
3930	0 1 0 -1 -1 -2 -1 2 1 1 -1 -1 0 2 0 -2 0
3930	0 1 0 1 1 0 -3 0 -1 1 1 -1 -2 0 -2 2 0
3933	1 0 1 1 3 -2 -5 0 -3 -1 1 -3 0 0 -2 0 -2
3933	1 0 1 1 3 -2 -5 0 -3 1 1 -3 0 2 -2 0 -2
3933	1 -2 -1 -3 -1 4 7 -4 1 -3 1 5 2 -4 2 0 2
3933	1 0 1 1 3 -2 -5 2 -3 1 1 -3 -2 2 -2 0 -2
3934	0 1 1 1 1 -4 -5 4 -1 1 -3 -3 0 4 0 -2 -2
3934	2 -1 1 1 3 -2 -5 0 -3 -1 1 -3 0 0 -2 0 -2
3934	2 -1 1 1 3 0 -3 0 -3 -1 1 -3 0 0 -2 0 -2
3934	0 1 1 1 3 -2 -5 0 -1 1 -1 -3 0 2 -2 0 -2
3951	1 -1 -1 -1 0 1 3 -2 1 -1 1 1 0 -2 0 0 0
3951	1 -1 -1 -1 0 3 3 -2 1 -1 1 3 0 -2 0 0 0
3951	1 -1 -1 -1 2 1 1 -2 -1 -1 1 1 2 -2 0 0 0
3951	1 1 1 1 2 -3 -5 2 -1 1 -1 -3 -2 2 -2 0 -2
3973	1 0 1 0 2 -2 -4 1 -1 1 1 -3 -2 2 -2 0 -2
3973	1 0 1 2 2 -2 -4 1 -1 1 -1 -3 -2 2 -2 0 -2
3973	1 0 1 0 2 -2 -4 1 -1 -1 -1 -3 0 2 -2 -2 -2
3973	1 0 1 0 2 -4 -4 1 -1 1 -1 -3 0 2 -2 -2 -2
3974	0 1 1 2 2 -2 -4 1 -1 1 -1 -3 -2 2 -2 0 -2
3974	2 -1 1 0 2 0 -2 -1 -3 -1 1 -1 0 -2 -2 0 0
3974	0 1 1 0 2 -4 -6 1 -1 1 -1 -3 0 4 -2 -2 -2
3974	0 1 1 0 0 -2 -2 1 -1 1 -1 -1 0 2 0 0 0
