mask	representative
52907	1 -1 0 -1 0 -1 0 1 -2 -1 -1 1 2 0 1 -1 0
52907	1 1 2 3 2 -5 -8 3 -2 3 -1 -5 -2 4 -3 -1 -4
52907	1 1 2 3 4 -3 -8 1 -4 1 1 -5 -2 2 -3 1 -2
52907	1 -1 0 -1 0 1 2 -1 0 -1 1 1 0 -2 -1 -1 0
57522	0 1 0 0 1 -1 -2 -1 0 0 0 -2 0 1 -1 -1 0
57522	0 1 0 0 1 -1 -2 -1 0 0 0 0 0 1 -1 -1 0
57522	2 -1 2 2 3 -3 -6 1 -4 0 0 -4 0 1 -3 -1 -2
57522	0 1 2 2 1 -5 -6 3 -2 2 -2 -4 0 3 -1 -1 -2
63375	1 1 1 1 2 -4 -6 1 -1 1 -1 -4 -1 3 -3 -1 -2
63375	1 -1 1 -1 0 0 0 1 -1 -1 -1 0 1 1 1 -1 0
63375	1 -1 -1 -1 0 2 2 -1 1 1 1 2 -1 -1 -1 1 0
63375	1 1 1 3 4 -6 -10 3 -3 3 -1 -6 -1 5 -3 -1 -4
108819	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 -1 -3
108819	1 -1 0 -2 -1 0 2 0 -1 -2 0 1 2 -1 2 -1 1
108819	1 1 2 2 3 -4 -8 2 -3 2 0 -5 -2 3 -4 1 -3
108819	1 1 0 0 3 -2 -4 0 -1 0 0 -3 0 1 -2 -1 -1
7140	0 0 1 0 0 -1 -1 1 -1 -1 -2 -1 1 0 0 0 0
7140	0 0 1 0 0 -1 -1 1 -1 1 0 -1 1 0 0 0 0
7140	0 0 1 2 2 -3 -5 1 -3 1 0 -3 -1 2 -2 0 -2
7140	2 0 1 2 2 -3 -5 1 -3 1 0 -3 -1 2 -2 0 -2
8297	1 0 0 1 2 -1 -3 0 -2 0 0 -2 0 1 -2 0 -2
8297	1 0 2 1 2 -1 -3 0 -2 0 0 -2 0 1 -2 0 -2
8297	1 -2 -2 -3 -2 5 9 -4 2 -2 2 6 2 -5 2 0 2
8297	1 -2 0 -1 -2 3 5 -2 0 -2 0 4 2 -3 2 0 2
12498	2 -1 0 0 1 0 -1 -1 -2 0 2 0 -1 -1 -2 0 0
12498	0 1 2 2 3 -6 -9 3 -2 2 -2 -6 -1 5 -4 -2 -4
12498	2 -1 0 0 3 -2 -3 1 -2 0 0 -2 -1 1 -2 0 -2
12498	0 1 0 2 1 -2 -3 1 0 2 0 -2 -1 1 -2 0 -2
15326	2 -1 1 1 3 -2 -5 1 -3 1 2 -3 -1 1 -2 0 -2
15326	0 1 1 1 1 -4 -5 3 -1 1 -2 -3 1 3 0 -2 -2
15326	2 -1 1 1 3 -2 -5 1 -3 -1 0 -3 -1 1 -2 0 -2
15326	0 1 1 1 1 -4 -5 3 1 3 -2 -3 -1 5 -2 -2 -4
15358	0 1 1 1 1 -1 -3 -1 -1 1 0 -1 -1 1 -2 0 0
15358	2 -1 -1 -1 1 1 1 -1 -1 -1 2 1 -1 -1 0 0 0
15358	2 -1 1 -1 1 -1 -1 1 -3 -1 0 -1 1 -1 0 0 0
