priority	mask	hex	multiplicity	witness
38	15358	0x03bfe	29	0 1 1 1 1 -1 -3 -1 -1 1 0 -1 -1 1 -2 0 0
39	21578	0x0544a	29	2 -1 2 1 2 0 -3 0 -2 0 1 -2 -1 0 -3 0 -2
40	22733	0x058cd	29	1 0 -1 -1 2 0 -1 -1 0 0 2 -1 -1 0 -1 0 0
41	26400	0x06720	29	0 0 0 0 0 1 0 -2 1 -1 1 0 0 -1 -1 0 0
42	28216	0x06e38	29	0 0 0 1 1 1 0 -2 0 -1 1 -1 0 -1 -1 0 0
43	32909	0x0808d	29	1 -2 -1 -3 -2 2 6 -1 0 -2 0 4 2 -2 2 -1 2
44	35269	0x089c5	29	1 0 1 2 2 -2 -5 1 -1 2 0 -3 -2 2 -2 1 -2
45	36805	0x08fc5	29	1 0 1 2 2 0 -3 1 -1 1 1 -3 -2 0 -2 1 -2
46	43403	0x0a98b	29	1 1 2 3 4 -6 -10 3 -3 2 -2 -7 -2 5 -4 -1 -4
47	47011	0x0b7a3	29	1 1 0 0 2 -3 -4 1 -1 1 -1 -2 -1 3 -2 -1 -2
48	51153	0x0c7d1	29	1 0 2 2 3 -2 -5 1 -3 1 1 -4 -2 0 -3 1 -2
49	52905	0x0cea9	29	1 0 2 1 2 -1 -4 1 -2 1 1 -3 -2 0 -3 1 -2
50	57125	0x0df25	29	1 0 1 2 4 -5 -8 2 -3 1 -1 -5 -1 4 -3 -1 -4
51	57818	0x0e1da	29	0 1 0 1 1 -2 -3 1 1 2 0 -2 -2 3 -1 -1 -2
52	59354	0x0e7da	29	0 1 0 1 1 -2 -3 1 1 1 -1 -2 -2 3 -1 -1 -2
53	93383	0x16cc7	29	1 -1 -1 0 0 0 1 -1 0 0 1 1 0 -1 -1 0 -1
54	122669	0x1df2d	29	1 0 1 1 2 -3 -4 2 -1 1 -1 -3 -1 2 -3 -1 -3
55	5953	0x01741	28	1 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 2 -2 0 -2
56	7769	0x01e59	28	1 0 0 1 1 0 -1 0 0 1 1 -1 -1 0 -2 0 -2
57	12934	0x03286	28	2 -1 1 0 2 0 -2 -1 -2 -1 2 -2 -1 -1 -2 0 0
58	15294	0x03bbe	28	0 1 1 1 1 -3 -4 1 1 1 -2 -3 -1 3 -2 -2 -2
59	15342	0x03bee	28	0 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 3 -2 -2 -2
60	18550	0x04876	28	2 -1 1 0 1 -1 -1 0 -2 0 0 -1 0 0 -1 0 -2
61	30278	0x07646	28	2 -1 1 0 2 -2 -3 0 -2 1 1 -2 -1 1 -3 0 -2
62	30558	0x0775e	28	0 1 1 1 3 -2 -5 0 -1 1 1 -4 -1 1 -3 0 -2
63	32606	0x07f5e	28	2 -1 1 1 3 -2 -5 0 -3 1 1 -3 -1 1 -3 0 -2
64	40848	0x09f90	28	2 0 0 0 3 -2 -4 1 -1 1 1 -3 -1 2 -2 -1 -2
65	46752	0x0b6a0	28	2 0 0 0 2 -3 -4 1 -2 1 1 -2 -1 1 -2 -1 -2
66	49565	0x0c19d	28	1 -2 -1 -3 -3 2 6 -1 1 -2 0 4 2 -2 3 -1 2
67	57276	0x0dfbc	28	2 0 1 1 3 -3 -6 1 -3 1 1 -3 -1 2 -3 -1 -2
68	59874	0x0e9e2	28	0 1 2 2 2 -5 -7 3 -1 2 -2 -5 -2 5 -3 -1 -4
69	60643	0x0ece3	28	1 -1 0 0 0 1 1 -1 0 0 1 1 -2 -1 -1 1 0
70	62429	0x0f3dd	28	1 0 1 1 1 -2 -3 1 -1 1 0 -2 -1 1 -3 -1 -2
71	62807	0x0f557	28	1 1 1 2 3 -4 -7 2 -1 2 -1 -4 -1 3 -3 -1 -4
72	63219	0x0f6f3	28	1 1 2 2 3 -3 -7 1 -2 1 -1 -4 -1 3 -3 -1 -2
73	63443	0x0f7d3	28	1 1 2 2 3 -4 -7 1 -3 1 -1 -4 -1 3 -3 -1 -2
74	65027	0x0fe03	28	1 1 2 2 4 -4 -8 2 -2 1 -1 -5 -1 3 -3 -1 -4
75	66632	0x10448	28	2 0 2 3 4 -4 -9 2 -4 2 1 -6 -2 2 -4 0 -3
76	67710	0x1087e	28	0 1 1 1 1 -1 -3 0 0 2 0 -1 -2 2 -2 0 -1
77	68808	0x10cc8	28	0 0 0 1 -2 0 1 1 0 0 -1 1 0 0 2 0 1
78	71488	0x11740	28	2 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 0 -2 0 -1
79	74937	0x124b9	28	1 0 0 -1 1 1 0 -1 0 0 1 0 0 -1 -2 0 -1
80	84932	0x14bc4	28	0 0 1 0 0 0 -1 1 -1 -1 0 -1 0 0 1 0 1
81	98264	0x17fd8	28	0 0 0 1 1 0 -1 -1 1 1 1 -1 -1 1 -1 0 -1
82	100175	0x1874f	28	1 1 1 1 2 0 -3 0 -1 1 1 -2 -2 0 -2 1 -1
83	112434	0x1b732	28	0 1 0 0 1 -1 -2 0 1 1 1 -2 -1 1 -2 -1 -1
84	119453	0x1d29d	28	1 0 1 1 3 -4 -6 1 -2 1 0 -4 -1 2 -3 -1 -3
85	120966	0x1d886	28	2 -1 1 0 2 0 -2 -1 -2 0 2 -1 -1 -2 -3 1 -1
86	126317	0x1ed6d	28	1 0 1 1 2 -3 -5 2 -1 2 -1 -3 -2 3 -3 -1 -3
87	13902	0x0364e	27	2 -1 1 1 2 -2 -3 0 -2 1 1 -2 -1 1 -2 0 -2
88	8526	0x0214e	27	0 1 1 1 0 -2 -3 2 -1 0 -2 -2 0 1 0 0 0
89	91569	0x165b1	26	1 0 0 0 3 -3 -4 1 -1 0 -1 -2 0 3 -1 -2 -3
90	71491	0x11743	27	1 1 0 0 2 -2 -3 0 -1 1 1 -2 -1 0 -2 0 -1
91	83635	0x146b3	26	1 -1 0 0 1 1 0 -1 0 -1 1 0 0 -2 -1 0 -1
92	128480	0x1f5e0	27	0 0 0 0 0 1 1 -1 1 0 1 0 -1 -1 -1 1 -1
93	63372	0x0f78c	26	0 2 1 1 2 -4 -6 1 -1 1 -1 -4 -1 3 -3 -1 -2
94	35357	0x08a1d	26	1 0 1 1 3 -2 -4 0 -2 -1 0 -3 0 0 -2 -1 -2
95	38173	0x0951d	26	1 0 1 1 3 -4 -6 2 -1 2 -1 -4 -1 4 -2 -1 -4
96	16782	0x0418e	27	0 1 1 3 2 -2 -6 1 -1 2 0 -4 -2 2 -3 0 -2
97	94144	0x16fc0	26	2 -2 0 0 2 0 -1 -1 -1 -1 1 -1 0 -1 -1 0 -1
