observation_id,family,parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,realizable_defect_span_exact,collision_support_size,rational_relation_component_count,split_triple_count,split_triples_with_some_fourth,triple_fourth_incidences,split_quartet_count,simultaneous_carrier_genus,simultaneous_carrier_degree
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:38,published-R17,1207/1194,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94349353689705,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:39,published-R17,1263/710,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94339107849230,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:40,published-R17,-1513/3735,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94329691866281,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:41,published-R17,1229/894,17,23,6,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94263443259744,COMPLETE_NATIVE_ATLAS,39120,2,1,5,UNKNOWN_NO_COMMON_RELATION_DICTIONARY,0,0,0,0,1,4
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:42,published-R17,129/70,17,23,6,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94239572897951,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:43,published-R17,-3162/2135,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94231043920479,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:44,published-R17,-339/7,17,20,3,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94228577918214,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:45,published-R17,-3381/3083,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94216973469498,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:46,published-R17,-2221/1361,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94179586502154,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:47,published-R17,-639/2575,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94145893555494,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:48,published-R17,1348/1431,17,22,5,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94139618237078,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:49,published-R17,1966/3615,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94104425700992,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:50,published-R17,2139/3865,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94049078766149,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:51,published-R17,-4021/2640,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94047398590772,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:52,published-R17,-2416/9,17,21,4,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94031081689835,COMPLETE_NATIVE_ATLAS,39120,2,1,4,UNKNOWN_NO_COMMON_RELATION_DICTIONARY,0,0,0,0,1,4
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:53,published-R17,-3958/1267,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94028160456937,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
