RATIONAL_NAGAO_LOCAL_TABLE_V1
F CURVE302_DET1092_MW17 8 12
B D 8
P 149
1 -13 387241564904
1 -7 208514688795
1 -12 357453752219
1 -16 476605002959
1 -16 476605002959
1 -16 476605002959
1 -20 595756253699
1 -16 476605002959
1 -18 536180628329
1 -16 476605002959
1 -6 178726876110
1 -6 178726876110
1 -8 238302501480
1 -19 565968441014
1 -18 536180628329
1 -19 565968441014
1 -15 446817190274
1 -14 417029377589
1 -25 744695317124
1 -14 417029377589
1 -14 417029377589
1 -21 625544066384
1 -11 327665939535
1 -17 506392815644
1 -18 536180628329
1 -26 774483129809
1 -19 565968441014
1 -12 357453752219
1 -26 774483129809
1 -17 506392815644
1 -24 714907504439
1 -12 357453752219
1 4 -119151250740
1 0 0
1 -5 148939063425
1 -4 119151250740
1 -22 655331879069
1 -12 357453752219
1 19 -565968441014
1 -18 536180628329
1 3 -89363438055
1 -16 476605002959
1 -14 417029377589
1 -25 744695317124
1 -6 178726876110
1 -22 655331879069
1 -12 357453752219
1 -13 387241564904
1 -24 714907504439
1 -18 536180628329
1 -12 357453752219
1 -21 625544066384
1 3 -89363438055
1 -16 476605002959
1 -18 536180628329
1 8 -238302501480
1 -11 327665939535
1 -16 476605002959
1 -21 625544066384
1 -12 357453752219
1 -12 357453752219
1 -18 536180628329
1 -18 536180628329
1 -26 774483129809
1 -11 327665939535
1 -15 446817190274
1 -19 565968441014
1 -13 387241564904
1 -25 744695317124
1 -9 268090314165
1 -14 417029377589
1 -11 327665939535
1 -3 89363438055
1 -18 536180628329
1 -21 625544066384
1 -18 536180628329
1 -21 625544066384
1 -4 119151250740
1 -18 536180628329
1 2 -59575625370
1 -18 536180628329
1 -11 327665939535
P 181
1 -13 373372714953
1 -14 402093693026
1 -20 574419561466
1 -10 287209780733
1 -20 574419561466
1 -15 430814671099
1 -25 718024451832
1 -17 488256627246
1 -2 57441956147
1 -22 631861517612
1 -8 229767824586
1 -20 574419561466
1 -10 287209780733
1 -25 718024451832
1 -22 631861517612
1 -23 660582495686
1 -7 201046846513
1 -13 373372714953
1 -11 315930758806
1 -10 287209780733
1 -6 172325868440
1 0 0
1 -21 603140539539
1 -7 201046846513
1 -26 746745429906
1 -23 660582495686
1 12 -344651736880
1 -18 516977605319
1 -22 631861517612
1 -9 258488802660
1 -6 172325868440
1 -10 287209780733
1 6 -172325868440
1 -21 603140539539
1 -23 660582495686
1 -7 201046846513
1 -18 516977605319
1 8 -229767824586
1 -26 746745429906
1 -18 516977605319
1 -10 287209780733
1 -8 229767824586
1 -2 57441956147
1 -20 574419561466
1 -20 574419561466
1 -24 689303473759
1 -20 574419561466
1 -22 631861517612
1 -16 459535649173
1 -12 344651736880
1 -20 574419561466
1 -15 430814671099
1 7 -201046846513
1 -2 57441956147
1 -23 660582495686
1 -22 631861517612
1 -19 545698583393
1 -13 373372714953
1 -26 746745429906
1 -11 315930758806
1 -25 718024451832
1 -4 114883912293
1 5 -143604890366
1 -2 57441956147
1 -13 373372714953
1 -22 631861517612
1 -22 631861517612
1 -21 603140539539
1 -24 689303473759
1 -16 459535649173
1 -20 574419561466
1 -16 459535649173
1 -22 631861517612
1 -4 114883912293
1 -19 545698583393
1 -3 86162934220
1 -15 430814671099
1 -18 516977605319
1 -25 718024451832
1 -16 459535649173
1 -15 430814671099
1 -8 229767824586
1 -10 287209780733
1 -19 545698583393
1 -10 287209780733
1 -6 172325868440
1 -3 86162934220
1 -19 545698583393
1 -26 746745429906
1 -8 229767824586
1 -26 746745429906
1 -18 516977605319
1 -7 201046846513
1 -22 631861517612
1 -17 488256627246
1 -6 172325868440
1 -6 172325868440
1 -22 631861517612
1 -25 718024451832
1 -20 574419561466
1 -26 746745429906
1 -10 287209780733
1 -17 488256627246
1 -23 660582495686
1 -10 287209780733
1 -16 459535649173
1 -14 402093693026
1 -11 315930758806
1 -23 660582495686
1 -4 114883912293
1 -5 143604890366
1 -25 718024451832
1 0 0
1 -19 545698583393
1 -10 287209780733
1 -26 746745429906
1 -23 660582495686
1 -14 402093693026
1 -23 660582495686
1 -22 631861517612
1 -10 287209780733
1 -20 574419561466
1 -26 746745429906
1 -25 718024451832
1 -8 229767824586
1 -23 660582495686
1 -14 402093693026
1 -13 373372714953
1 -18 516977605319
1 -19 545698583393
1 -21 603140539539
1 2 -57441956147
1 -19 545698583393
1 -23 660582495686
1 -11 315930758806
1 -16 459535649173
1 -18 516977605319
1 -23 660582495686
1 -18 516977605319
1 -22 631861517612
1 -14 402093693026
1 -12 344651736880
1 -20 574419561466
1 -19 545698583393
1 -14 402093693026
1 -16 459535649173
1 -17 488256627246
1 -26 746745429906
1 -3 86162934220
1 -5 143604890366
1 -22 631861517612
1 -23 660582495686
1 -12 344651736880
1 -6 172325868440
1 -5 143604890366
1 -25 718024451832
1 -16 459535649173
1 -21 603140539539
1 -16 459535649173
1 -6 172325868440
1 0 0
1 7 -201046846513
1 -8 229767824586
1 -16 459535649173
1 -16 459535649173
1 -8 229767824586
1 -23 660582495686
1 -7 201046846513
1 -20 574419561466
1 -20 574419561466
1 -11 315930758806
1 -26 746745429906
1 -14 402093693026
1 -18 516977605319
1 -25 718024451832
1 -16 459535649173
1 -22 631861517612
1 -23 660582495686
1 -8 229767824586
1 -22 631861517612
1 -10 287209780733
1 -7 201046846513
P 191
1 -20 549976275188
1 -16 439981020151
1 -21 577475088948
1 -23 632472716466
1 -10 274988137594
1 -18 494978647669
1 -22 604973902707
1 3 -82496441278
1 -23 632472716466
1 -10 274988137594
1 -6 164992882556
1 -22 604973902707
1 -21 577475088948
1 -22 604973902707
1 4 -109995255038
1 -22 604973902707
1 -10 274988137594
1 -24 659971530226
1 -14 384983392632
1 -22 604973902707
1 -16 439981020151
1 -13 357484578872
1 -16 439981020151
1 -15 412482206391
1 -15 412482206391
1 -20 549976275188
1 -19 522477461429
1 4 -109995255038
1 -21 577475088948
1 -14 384983392632
1 -24 659971530226
1 -14 384983392632
1 -22 604973902707
1 -19 522477461429
1 -4 109995255038
1 -26 714969157745
1 -15 412482206391
1 -18 494978647669
1 -17 467479833910
1 -24 659971530226
1 -19 522477461429
1 -16 439981020151
1 -4 109995255038
1 -9 247489323835
1 -18 494978647669
1 -12 329985765113
1 -19 522477461429
1 -22 604973902707
1 1 -27498813759
1 3 -82496441278
1 -3 82496441278
1 -20 549976275188
1 0 0
1 -24 659971530226
1 -16 439981020151
1 -20 549976275188
1 -6 164992882556
1 0 0
1 -20 549976275188
1 -15 412482206391
1 -3 82496441278
1 -3 82496441278
1 -5 137494068797
1 -15 412482206391
1 -9 247489323835
1 -24 659971530226
1 -20 549976275188
1 -22 604973902707
1 7 -192491696316
1 -9 247489323835
1 -20 549976275188
1 -15 412482206391
1 -4 109995255038
1 -16 439981020151
1 -24 659971530226
1 -24 659971530226
1 -18 494978647669
1 -25 687470343985
1 -18 494978647669
1 -27 742467971504
1 -16 439981020151
1 -13 357484578872
1 -16 439981020151
1 -16 439981020151
1 -19 522477461429
1 -22 604973902707
1 -24 659971530226
1 -3 82496441278
1 -25 687470343985
1 -24 659971530226
1 -12 329985765113
1 -24 659971530226
1 -16 439981020151
1 -14 384983392632
1 -19 522477461429
1 -3 82496441278
1 -8 219990510075
1 -18 494978647669
1 -20 549976275188
1 -25 687470343985
1 -22 604973902707
1 -20 549976275188
1 -13 357484578872
1 -24 659971530226
1 -6 164992882556
1 -25 687470343985
1 -16 439981020151
1 -21 577475088948
1 -18 494978647669
1 -19 522477461429
1 -25 687470343985
1 -12 329985765113
1 -13 357484578872
1 -12 329985765113
1 -17 467479833910
1 -16 439981020151
1 -3 82496441278
1 -20 549976275188
1 -27 742467971504
1 -16 439981020151
1 -18 494978647669
1 -24 659971530226
1 -18 494978647669
1 -24 659971530226
1 -21 577475088948
1 -23 632472716466
1 -12 329985765113
1 -18 494978647669
1 -20 549976275188
1 -24 659971530226
1 -24 659971530226
1 -27 742467971504
1 -11 302486951353
1 -25 687470343985
1 -15 412482206391
1 -12 329985765113
1 -11 302486951353
1 -27 742467971504
1 -23 632472716466
1 -24 659971530226
1 -21 577475088948
1 -12 329985765113
1 -21 577475088948
1 -18 494978647669
1 -25 687470343985
1 -20 549976275188
1 -20 549976275188
1 -20 549976275188
1 -20 549976275188
1 -20 549976275188
1 -24 659971530226
1 -26 714969157745
1 3 -82496441278
1 -15 412482206391
1 -8 219990510075
1 -18 494978647669
1 -11 302486951353
1 -20 549976275188
1 -24 659971530226
1 -10 274988137594
1 -23 632472716466
1 -8 219990510075
1 -22 604973902707
1 -18 494978647669
1 -9 247489323835
1 -12 329985765113
1 -20 549976275188
1 -8 219990510075
1 -12 329985765113
1 -15 412482206391
1 -17 467479833910
1 -20 549976275188
1 -5 137494068797
1 -27 742467971504
1 -8 219990510075
1 -15 412482206391
1 -26 714969157745
1 -10 274988137594
1 -18 494978647669
1 5 -137494068797
