parameter,generic_subgroup_rank,best_retained_quotient_rank,full_curve_rank,compatible_cover_count,eligible_degree_one_pairs,rational_degree_one_components_at_parameter_mod_conjugation,pair_relation_rank,native_quotient_upper_bound,co_split_triples,zero_residual_triples,triple_total_intersection_degree_lower_bound
4197/4819,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
4250/9093,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
4251/1375,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
4298/8873,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
44/35,17,6,UNKNOWN,3,1,0,0,3,1,0,6
444/2623,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
461/4420,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
5653/7526,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
5735/11074,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
611/4020,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
6695/1353,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
7127/1266,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
754/3427,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
8/39,17,5,UNKNOWN,7,4,2,2,5,35,0,6
825/2224,17,2,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
85/2016,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
8524/2211,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
856/1327,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
8637/3040,17,2,UNKNOWN,1,0,0,0,1,0,0,NOT_APPLICABLE
9181/3402,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
9446/3605,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
9629/2857,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
9783/7559,17,0,UNKNOWN,0,0,0,0,0,0,0,NOT_APPLICABLE
